# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_UP (set)
# _SET1_  NGENES = 159
# _SET1_  P-VALUE = 7.324e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2023       1    8921059    8939151     26       5  1000       0.4017      0.32691    -1.028e-06       0.4017
_SET1_   79727      1   26737269   26756219     28       8  1000       1.1208      0.12154    -1.028e-06       1.1208
_SET1_   83667      1   28585963   28609002     27       5  1000      0.16132      0.41647    -1.028e-06      0.16132
_SET1_   6513       1   43391046   43424847    114      14  1000     -0.17092      0.55288    -1.028e-06     -0.17092
_SET1_   5236       1   64058947   64125916    184      30  1000      0.12015      0.44344    -1.028e-06      0.12015
_SET1_   205        1   65613232   65697828    164      13  1000       1.1097      0.12424    -1.028e-06       1.1097
_SET1_   84722      1  109822176  109825790      2       1  1000   -0.0053665      0.48493    -1.028e-06   -0.0053655
_SET1_   126868     1  116654376  116677861     50       7  1000         1.48     0.064483    -1.028e-06         1.48
_SET1_   6281       1  151955386  151966714     12       3  1000      0.42246      0.31785    -1.028e-06      0.42246
_SET1_   5202       1  161070346  161087866     23       3  1000      -1.0916      0.84828    -1.028e-06      -1.0916
_SET1_   10560      1  169433147  169455208     39      11  1000   -0.0057126      0.48992    -1.028e-06   -0.0057115
_SET1_   6646       1  179262849  179327815    230      16  1000      0.82139      0.19087    -1.028e-06      0.82139
_SET1_   23612      1  201434607  201438299      8       4  1000       0.8213       0.1966    -1.028e-06       0.8213
_SET1_   89796      1  201508243  201796102    415      41  1000       1.4713     0.068278    -1.028e-06       1.4713
_SET1_   10440      1  201924619  201939789     40       8  1000        1.932     0.024105    -1.028e-06        1.932
_SET1_   1510       1  206317459  206332104     21       3  1000      0.34824      0.34525    -1.028e-06      0.34824
_SET1_   5784       1  214521640  214725024    586      46  1000      -1.5822      0.94233    -1.028e-06      -1.5822
_SET1_   89780      1  228194723  228248972     87      10  1000     -0.25614      0.58484    -1.028e-06     -0.25613
