# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KEGG_HUNTINGTONS_DISEASE (set)
# _SET1_  NGENES = 167
# _SET1_  P-VALUE = 1.93789e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   842        1   15817896   15851407    104       5  1000      0.93601      0.15714   -2.7312e-06      0.93602
_SET1_   440567     1   16133657   16134194      4       1  1000      0.01747      0.48917   -2.7312e-06     0.017472
_SET1_   6390       1   17345217   17380665     89       7  1000     -0.13238      0.53203   -2.7312e-06     -0.13237
_SET1_   3065       1   32757708   32799227     22       2  1000     0.021628      0.39197   -2.7312e-06      0.02163
_SET1_   7802       1   38022520   38032458     11       4  1000      0.57776      0.27298   -2.7312e-06      0.57776
_SET1_   4725       1   39491967   39500308     34       5  1000      -1.3562      0.90864   -2.7312e-06      -1.3562
_SET1_   7388       1   46769324   46782448     13       4  1000       1.1504      0.11992   -2.7312e-06       1.1504
_SET1_   515        1  111991467  112004540     20       3  1000      0.16483      0.41699   -2.7312e-06      0.16483
_SET1_   148327     1  153940315  153946840      8       2  1000       1.2842     0.090843   -2.7312e-06       1.2842
_SET1_   4720       1  161167209  161184185     17       4  1000     -0.39046      0.63941   -2.7312e-06     -0.39046
_SET1_   6391       1  161284166  161334541    217       7  1000      0.98634      0.15642   -2.7312e-06      0.98634
_SET1_   9167       2   42577640   42596150     25       5  1000       2.4076      0.00727   -2.7312e-06       2.4076
_SET1_   1639       2   74588281   74619214     31       6  1000        1.314     0.095644   -2.7312e-06        1.314
_SET1_   5433       2  128603840  128615729     31       5  1000     -0.14237      0.54243   -2.7312e-06     -0.14236
_SET1_   518        2  176040986  176046490     10       2  1000       1.2047      0.10895   -2.7312e-06       1.2047
_SET1_   4709       2  201936462  201950473      5       1  1000     -0.17416       0.5536   -2.7312e-06     -0.17416
_SET1_   841        2  202098166  202152434    119      18  1000     0.066937      0.47564   -2.7312e-06     0.066939
_SET1_   4719       2  206987803  207024243     76       5  1000     -0.20736      0.55682   -2.7312e-06     -0.20735
_SET1_   1385       2  208394616  208470284     79       6  1000     -0.64812      0.73084   -2.7312e-06     -0.64812
_SET1_   4705       2  240896789  240964819    164      14  1000       1.4389     0.071743   -2.7312e-06       1.4389
_SET1_   3708       3    4535032    4889524    974     129  1000       1.1928      0.16242   -2.7312e-06       1.1928
_SET1_   5468       3   12329349   12475855    286      18  1000     -0.51204      0.68929   -2.7312e-06     -0.51204
_SET1_   7384       3   48636432   48647391      5       2  1000      -0.1544      0.56458   -2.7312e-06     -0.15439
_SET1_   2876       3   49394609   49395791      2       1  1000      0.29155      0.36839   -2.7312e-06      0.29155
_SET1_   25981      3   52350335   52434513     65       4  1000     -0.69719      0.74631   -2.7312e-06     -0.69719
_SET1_   55081      3  107879659  107941417    304       4  1000     -0.29463      0.59431   -2.7312e-06     -0.29463
_SET1_   4710       3  120315128  120321258     15       4  1000      0.99375       0.1531   -2.7312e-06      0.99376
_SET1_   4711       3  179322575  179342288     29       5  1000      0.91985      0.17007   -2.7312e-06      0.91985
_SET1_   1173       3  183892634  183901879     13       3  1000       0.2833       0.3705   -2.7312e-06       0.2833
_SET1_   5437       3  184079502  184086383     14       4  1000     -0.33007      0.62114   -2.7312e-06     -0.33007
_SET1_   3064       4    3076408    3245687    254      14  1000      0.71361      0.23149   -2.7312e-06      0.71361
_SET1_   10891      4   23793644   24474394    238      42  1000      0.20406      0.44035   -2.7312e-06      0.20406
_SET1_   170712     4   46736844   46911252    320      16  1000     -0.76859      0.76875   -2.7312e-06     -0.76859
