# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = DAZARD_RESPONSE_TO_UV_NHEK_UP (set)
# _SET1_  NGENES = 199
# _SET1_  P-VALUE = 6.21947e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   65121      1   12851546   12856777     25       5  1000       3.3322   0.00036984   -3.6891e-06       3.3322
_SET1_   8503       1   46505812   46642167    195      13  1000       1.9787     0.020688   -3.6891e-06       1.9787
_SET1_   4070       1   59041095   59043166      9       3  1000       3.1198   0.00077454   -3.6891e-06       3.1198
_SET1_   3725       1   59246463   59249785      2       1  1000       1.6277     0.047087   -3.6891e-06       1.6277
_SET1_   1573       1   60358980   60392445     50       8  1000      0.97792      0.15202   -3.6891e-06      0.97792
_SET1_   1647       1   68150860   68154021      7       2  1000   0.00066649      0.48146   -3.6891e-06   0.00067018
_SET1_   3491       1   86046444   86049650      3       1  1000      -1.2435      0.88528   -3.6891e-06      -1.2435
_SET1_   1301       1  103342023  103574052    682      27  1000       1.1121      0.11386   -3.6891e-06       1.1121
_SET1_   5906       1  112162405  112256807    282      19  1000     0.082499      0.44318   -3.6891e-06     0.082503
_SET1_   3158       1  120290619  120311555     42       8  1000      0.49073      0.29843   -3.6891e-06      0.49073
_SET1_   6280       1  153330330  153333503      1       1  1000      -1.1928       0.8789   -3.6891e-06      -1.1928
_SET1_   5743       1  186640944  186649559      7       3  1000     -0.25164       0.5842   -3.6891e-06     -0.25164
_SET1_   1465       1  201452658  201476387     78      11  1000    0.0088965      0.48013   -3.6891e-06    0.0089002
_SET1_   6635       1  203830740  203840280     25       3  1000     -0.82339      0.77705   -3.6891e-06     -0.82339
_SET1_   467        1  212738676  212794119    158      25  1000     0.050998       0.4729   -3.6891e-06     0.051001
_SET1_   2987       1  228327668  228336656     10       3  1000       1.0406       0.1386   -3.6891e-06       1.0406
_SET1_   3398       2    8822113    8824583      2       1  1000      0.91455       0.1674   -3.6891e-06      0.91455
_SET1_   4953       2   10580507   10588680     17       4  1000      0.16449      0.41541   -3.6891e-06       0.1645
_SET1_   25797      2   37571742   37600465     76      14  1000      0.45897      0.31117   -3.6891e-06      0.45898
_SET1_   6711       2   54683454   54898583    521      20  1000      -0.1189      0.51094   -3.6891e-06     -0.11889
_SET1_   6160       2  101618691  101636155     35       7  1000     -0.72807      0.75409   -3.6891e-06     -0.72806
_SET1_   9173       2  102927962  102968497    163      13  1000     -0.88194      0.79635   -3.6891e-06     -0.88194
_SET1_   10018      2  111878491  111926022     59       7  1000      0.15735      0.41763   -3.6891e-06      0.15735
_SET1_   7849       2  113973574  114036527    189      20  1000      0.92279      0.16877   -3.6891e-06      0.92279
_SET1_   29798      2  132479973  132524977    113      10  1000      0.24245      0.38314   -3.6891e-06      0.24245
_SET1_   905        2  135676363  135716915     79       8  1000    -0.011018      0.48205   -3.6891e-06    -0.011014
_SET1_   8942       2  143506497  143799885    348      25  1000     -0.74028      0.75491   -3.6891e-06     -0.74027
_SET1_   4929       2  157180944  157189287      4       2  1000      0.67272      0.24003   -3.6891e-06      0.67272
_SET1_   1746       2  172964166  172967478      3       2  1000      0.64719      0.25004   -3.6891e-06       0.6472
_SET1_   9262       2  196998307  197036336    124       9  1000     0.055675        0.452   -3.6891e-06     0.055678
_SET1_   6168       2  217363520  217366190     12       3  1000       0.3657      0.33642   -3.6891e-06      0.36571
_SET1_   6364       2  228678558  228682280      9       2  1000       -1.507      0.92812   -3.6891e-06       -1.507
_SET1_   3708       3    4535032    4889524    974     129  1000      0.50527      0.34681   -3.6891e-06      0.50527
_SET1_   3921       3   39448204   39454033     32       4  1000     -0.24485      0.57501   -3.6891e-06     -0.24485
_SET1_   10289      3   40351173   40353915      7       2  1000      0.16661      0.41575   -3.6891e-06      0.16662
_SET1_   885        3   42299315   42307662     17       4  1000      0.12412      0.43435   -3.6891e-06      0.12413
_SET1_   29114      3  111717586  111732735     70      14  1000       1.5411     0.058546   -3.6891e-06       1.5411
_SET1_   10063      3  119388372  119396243     21       3  1000       1.7049     0.039248   -3.6891e-06       1.7049
_SET1_   8971       3  129033614  129035120      8       3  1000       1.6209     0.047544   -3.6891e-06       1.6209
_SET1_   4071       3  149086805  149095647     19       3  1000      0.81807      0.19016   -3.6891e-06      0.81807
_SET1_   3827       3  186435098  186462199    135      12  1000      0.24049      0.38549   -3.6891e-06       0.2405
_SET1_   22916      3  196662273  196669464     20       4  1000      0.55728      0.27332   -3.6891e-06      0.55729
_SET1_   521        4     666225     668127      1       1  1000      0.89294       0.1777   -3.6891e-06      0.89294
_SET1_   3576       4   74606223   74609433      4       1  1000      -0.8322      0.78397   -3.6891e-06      -0.8322
_SET1_   2919       4   74735109   74737019      5       2  1000     -0.72312      0.75148   -3.6891e-06     -0.72311
_SET1_   2921       4   74902306   74904490      3       2  1000     -0.13251      0.53886   -3.6891e-06     -0.13251
_SET1_   2920       4   74962752   74964997      1       1  1000     -0.52402       0.6929   -3.6891e-06     -0.52402
_SET1_   10611      4   95373008   95589378    472      24  1000       1.4371     0.065986   -3.6891e-06       1.4371
_SET1_   6164       4  109541722  109551640      7       2  1000       1.4007     0.074744   -3.6891e-06       1.4007
_SET1_   4717       4  140211071  140223705     20       2  1000      0.81748      0.18782   -3.6891e-06      0.81748
_SET1_   27309      4  142142049  142155851     16       2  1000     -0.85946      0.78761   -3.6891e-06     -0.85945
_SET1_   6167       5   40831430   40835387      4       2  1000    -0.031861      0.49999   -3.6891e-06    -0.031858
_SET1_   6228       5   81569139   81574235     13       3  1000      0.86301      0.18156   -3.6891e-06      0.86301
_SET1_   1350       5   85913784   85916583      5       2  1000         1.39     0.075004   -3.6891e-06         1.39
_SET1_   9315       5  111065000  111312628    485      42  1000     -0.73424      0.76248   -3.6891e-06     -0.73423
_SET1_   1839       5  139712428  139726188     26       6  1000     -0.80014      0.77637   -3.6891e-06     -0.80014
_SET1_   6690       5  147204143  147218794      7       2  1000     -0.59971      0.70981   -3.6891e-06      -0.5997
_SET1_   3360       5  147830595  148034090    377      24  1000     -0.23091      0.56962   -3.6891e-06      -0.2309
