# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_RUNX3_REGULATES_BCL2L11_BIM_TRANSCRIPTION (set)
# _SET1_  NGENES = 5
# _SET1_  P-VALUE = 5.91372e-08
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   864       1   25226002   25291648    109      20  1000       1.3432     0.088481   -5.8244e-06       1.3432
_SET1_   10018     2  111878491  111926022     59       7  1000      0.55098      0.27956   -5.8244e-06      0.55099
_SET1_   2309      6  108881026  109005972    120      11  1000       5.3412   2.8919e-17   -5.8244e-06       5.3412
_SET1_   4088     15   67358036   67487533    317      43  1000       5.4018   3.5423e-08   -5.8244e-06       5.4018
_SET1_   4089     18   48556583   48611412     36       3  1000     -0.40594      0.64227   -5.8244e-06     -0.40593

# _SET2_  VARIABLE = REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES (set)
# _SET2_  NGENES = 15
# _SET2_  P-VALUE = 4.0788e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   1647      1   68150860   68154021      7       2  1000       2.2522     0.011677   -5.8244e-06       2.2522
_SET2_   2660      2  190920426  190927455     13       2  1000      -1.0103       0.8349   -5.8244e-06      -1.0102
_SET2_   57060     3   51991470   52001482      4       2  1000       0.9248      0.17473   -5.8244e-06       0.9248
_SET2_   901       4   78078357   78091213     16       4  1000       1.3943     0.078515   -5.8244e-06       1.3943
_SET2_   1026      6   36644237   36655116     32       7  1000      0.17371      0.42248   -5.8244e-06      0.17372
_SET2_   2309      6  108881026  109005972    120      11  1000       5.3412   2.8919e-17   -5.8244e-06       5.3412
_SET2_   857       7  116164839  116201239     83       9  1000       0.4368      0.31745   -5.8244e-06       0.4368
_SET2_   9314      9  110247133  110252047      3       1  1000       1.7688     0.037084   -5.8244e-06       1.7689
_SET2_   1027     12   12870302   12875305      6       3  1000     -0.28303      0.61087   -5.8244e-06     -0.28302
_SET2_   694      12   92534054   92539673      9       4  1000     -0.11201       0.5412   -5.8244e-06       -0.112
_SET2_   2308     13   41129801   41240734    182      10  1000       1.8335     0.029433   -5.8244e-06       1.8336
_SET2_   4088     15   67358036   67487533    317      43  1000       5.4018   3.5423e-08   -5.8244e-06       5.4018
_SET2_   5934     16   53468351   53525560     95       6  1000      0.54342      0.27662   -5.8244e-06      0.54342
_SET2_   4087     18   45359466   45457564    132       6  1000     -0.76236      0.75941   -5.8244e-06     -0.76235
_SET2_   4089     18   48556583   48611412     36       3  1000     -0.40594      0.64227   -5.8244e-06     -0.40593
