# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS (set)
# _SET1_  NGENES = 26
# _SET1_  P-VALUE = 8.92017e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5581       2   45878454   46415129   1547     152  1000      -1.0272        0.848   -8.7947e-08      -1.0272
_SET1_   8527       2  234263149  234380744    204      21  1000      0.24113      0.40311   -8.7947e-08      0.24113
_SET1_   3708       3    4535032    4889524    974     129  1000       1.8058     0.041649   -8.7947e-08       1.8058
_SET1_   5580       3   53195223   53226733     62       9  1000       3.5539   0.00018258   -8.7947e-08       3.5539
_SET1_   57406      3   58223233   58280463    192      16  1000      0.30919      0.36925   -8.7947e-08      0.30919
_SET1_   11343      3  127407905  127542093    364      45  1000      0.63608      0.27228   -8.7947e-08      0.63608
_SET1_   1608       3  185852896  186080023    477      76  1000      -0.4271      0.68895   -8.7947e-08      -0.4271
_SET1_   1609       4     952672     967348     32       6  1000      0.66499      0.24455   -8.7947e-08      0.66499
_SET1_   7222       4  122800183  122872909     88      10  1000     -0.74294       0.7632   -8.7947e-08     -0.74294
_SET1_   57113      5  135548458  135701164    247      17  1000      0.14599       0.4292   -8.7947e-08      0.14599
_SET1_   3710       6   33587951   33664351    262      27  1000      0.24196      0.40373   -8.7947e-08      0.24196
_SET1_   221955     7    6448747    6487837    146      16  1000       1.2612      0.10318   -8.7947e-08       1.2612
_SET1_   1607       7   14184674   14943281   2208     133  1000      -1.5716      0.93698   -8.7947e-08      -1.5716
_SET1_   9162       7  137074385  137531609   1008      58  1000       1.4329     0.072462   -8.7947e-08       1.4329
_SET1_   5588      10    6435558    6622254    387      47  1000     -0.20337      0.58939   -8.7947e-08     -0.20337
_SET1_   8525      11   46354455   46402104     44       8  1000       2.6601    0.0039692   -8.7947e-08       2.6601
_SET1_   747       11   61447905   61514474    107      14  1000       1.2021      0.11237   -8.7947e-08       1.2021
_SET1_   10235     11   64494383   64512928     22       3  1000     -0.37293      0.64771   -8.7947e-08     -0.37293
_SET1_   7225      11  101322295  101454687    501      27  1000      0.74018      0.21496   -8.7947e-08      0.74018
_SET1_   3709      12   26488285   26986131   1288      76  1000      0.34341      0.34906   -8.7947e-08      0.34341
