# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP (set)
# _SET1_  NGENES = 203
# _SET1_  P-VALUE = 6.92792e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9636          1     948847     949920      5       2  1000       1.9818     0.021121   -2.9689e-06       1.9818
_SET1_   64802         1   10003486   10045556     50       5  1000       0.6219       0.2557   -2.9689e-06       0.6219
_SET1_   30814         1   20246800   20250110     11       2  1000     -0.80092      0.77324   -2.9689e-06     -0.80091
_SET1_   9473          1   28199055   28213196     38       7  1000     -0.48601      0.66828   -2.9689e-06     -0.48601
_SET1_   10969         1   43629845   43638241     28       2  1000       -0.453      0.65137   -2.9689e-06       -0.453
_SET1_   10561         1   79115477   79129763     19       4  1000      -1.8702      0.96554   -2.9689e-06      -1.8702
_SET1_   2634          1   89571815   89591842     47       4  1000     -0.15615      0.53973   -2.9689e-06     -0.15615
_SET1_   163351        1   89829436   89853719     61      10  1000     -0.28476      0.59698   -2.9689e-06     -0.28476
_SET1_   1435          1  110453233  110473616     35       9  1000      0.28912      0.37177   -2.9689e-06      0.28912
_SET1_   914           1  117297057  117311851     29       6  1000      0.85849      0.18355   -2.9689e-06      0.85849
_SET1_   10628         1  145438438  145442635      4       1  1000     0.078586      0.45185   -2.9689e-06     0.078589
_SET1_   103           1  154554533  154600456     73       6  1000        1.604     0.048546   -2.9689e-06        1.604
_SET1_   4332          1  158801168  158819270     30       5  1000    -0.033319      0.49212   -2.9689e-06    -0.033316
_SET1_   2214          1  161511549  161520413     12       3  1000       1.2332     0.098343   -2.9689e-06       1.2333
_SET1_   4653          1  171604557  171621773     60       8  1000     0.041874      0.46461   -2.9689e-06     0.041877
_SET1_   26052         1  171810618  172387606   1203      58  1000      0.25734      0.40608   -2.9689e-06      0.25734
