# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BAUS_TFF2_TARGETS_DN (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 9.55379e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9027      2   73867850   73869537      2       1  1000      0.80185      0.18698    1.6364e-06      0.80185
_SET1_   419       4   76932333   77033955    566      19  1000       5.4768    1.383e-08    1.6364e-06       5.4768
_SET1_   10537     6   29523389   29527702     19       3  1000     0.035409      0.45109    1.6364e-06     0.035407
_SET1_   9532      6   57037104   57050013      8       1  1000       1.5409     0.050882    1.6364e-06       1.5409
_SET1_   5950     10   95351593   95361101     42       5  1000      0.97859      0.14379    1.6364e-06      0.97859
_SET1_   7069     11   77774907   77779403     24       3  1000      0.71588      0.21156    1.6364e-06      0.71588
_SET1_   1075     11   88026760   88070941    126      14  1000       2.0649     0.016296    1.6364e-06       2.0649
_SET1_   1656     11  118618472  118661972     86       9  1000     -0.78414      0.75982    1.6364e-06     -0.78414
_SET1_   50865    12   13127798   13153243     58       8  1000       3.5304    0.0001541    1.6364e-06       3.5304
_SET1_   7001     19   12907634   12912724     12       3  1000       1.4085     0.067115    1.6364e-06       1.4085
_SET1_   5121     21   41239347   41301322    243      44  1000       1.6689     0.043703    1.6364e-06       1.6689
