# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = WENG_POR_TARGETS_LIVER_UP (set)
# _SET1_  NGENES = 42
# _SET1_  P-VALUE = 3.54488e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5226       1   10458884   10480565     32       3  1000      0.50246      0.29147   -7.4353e-06      0.50246
_SET1_   1718       1   55315300   55352921    108      11  1000      0.85147       0.1844   -7.4353e-06      0.85147
_SET1_   2944       1  110230418  110240828     26       6  1000    -0.063765       0.5076   -7.4353e-06    -0.063758
_SET1_   2949       1  110254406  110260890     18       5  1000      0.36584      0.34285   -7.4353e-06      0.36585
_SET1_   2224       1  155278539  155290457     10       2  1000      0.15231      0.42319   -7.4353e-06      0.15232
_SET1_   29094      2   64681327   64688517      9       3  1000       1.4652     0.067508   -7.4353e-06       1.4652
_SET1_   7358       4   39500375   39529218     98      11  1000     0.062411      0.45649   -7.4353e-06     0.062418
_SET1_   118429     4   80822771   80994626    414      22  1000        1.051      0.13364   -7.4353e-06        1.051
_SET1_   308        4  122589152  122618147     90      10  1000     -0.72651      0.75279   -7.4353e-06     -0.72651
_SET1_   6307       4  166248818  166264316     58      10  1000       0.4065        0.329   -7.4353e-06      0.40651
_SET1_   3157       5   43287572   43313614     40       3  1000      0.33978      0.34815   -7.4353e-06      0.33979
_SET1_   221357     6   52696540   52710893     36       5  1000       1.3163     0.085417   -7.4353e-06       1.3164
_SET1_   196        7   17338276   17385775     30       6  1000       1.1357      0.12019   -7.4353e-06       1.1357
_SET1_   1365       7   73183327   73184600      2       1  1000     -0.06559      0.52129   -7.4353e-06    -0.065583
_SET1_   948        7   80231504   80308593    198      12  1000      0.42437      0.31514   -7.4353e-06      0.42437
_SET1_   1595       7   91741463   91764059     37       2  1000      0.78381       0.2001   -7.4353e-06      0.78382
_SET1_   440        7   97481429   97501854     59      12  1000       2.1575       0.0143   -7.4353e-06       2.1575
_SET1_   55365      7  150497854  150502208     26       5  1000       0.8733      0.18185   -7.4353e-06      0.87331
_SET1_   4023       8   19796582   19824770     97      14  1000     -0.28082      0.59473   -7.4353e-06     -0.28081
_SET1_   1581       8   59402737   59412720     17       3  1000     -0.12438      0.53442   -7.4353e-06     -0.12437
_SET1_   6713       8  126010720  126034525     84       8  1000      0.78559      0.19999   -7.4353e-06       0.7856
_SET1_   216        9   75515578   75653633    193      20  1000    -0.049878      0.50509   -7.4353e-06    -0.049871
_SET1_   3422      10    1085963    1095061     17       5  1000      0.85113      0.18788   -7.4353e-06      0.85114
_SET1_   1592      10   94833232   94837641      2       1  1000     -0.17085      0.53198   -7.4353e-06     -0.17085
_SET1_   1562      10   96443251   96495947     88       7  1000     -0.30799      0.59884   -7.4353e-06     -0.30798
_SET1_   6319      10  102106772  102124588     41      10  1000       2.4281    0.0069389   -7.4353e-06       2.4281
_SET1_   28970     11   93474769   93496250     57       4  1000     -0.67902       0.7332   -7.4353e-06     -0.67902
_SET1_   6579      12   21417534   21548371    379      26  1000       1.5676     0.052689   -7.4353e-06       1.5676
_SET1_   51380     12   53551447   53575422     15       3  1000      0.67873      0.23205   -7.4353e-06      0.67873
_SET1_   957       14   74426169   74486026    217      18  1000      -0.3867       0.6331   -7.4353e-06     -0.38669
_SET1_   343       16   25228285   25240253     22       7  1000     -0.55877      0.70187   -7.4353e-06     -0.55876
_SET1_   8824      16   66968347   66978999      8       3  1000      -0.3161      0.60626   -7.4353e-06     -0.31609
_SET1_   80777     16   69458498   69500167     98      11  1000      0.89518      0.17335   -7.4353e-06      0.89518
_SET1_   27346     17   26646121   26655711      6       2  1000      0.50599        0.293   -7.4353e-06        0.506
_SET1_   71        17   79476997   79479892     18       3  1000     -0.39197      0.63266   -7.4353e-06     -0.39196
_SET1_   4616      19    2476123    2478257      5       3  1000      0.61367      0.26296   -7.4353e-06      0.61368
_SET1_   1548      19   41349441   41356360     30       8  1000      0.11137      0.44117   -7.4353e-06      0.11138
_SET1_   1555      19   41497138   41524308    117      12  1000       1.2414     0.098984   -7.4353e-06       1.2415
_SET1_   23474     19   44010871   44031408     57       7  1000      -0.1927      0.55871   -7.4353e-06      -0.1927
_SET1_   5621      20    4666797    4682235     24       4  1000       1.0897      0.12829   -7.4353e-06       1.0897
_SET1_   3162      22   35777060   35790207     39       5  1000      0.97149      0.15397   -7.4353e-06       0.9715
_SET1_   3956      22   38071613   38075809      6       2  1000        1.304      0.09135   -7.4353e-06        1.304
