# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = DORSAM_HOXA9_TARGETS_DN (set)
# _SET1_  NGENES = 31
# _SET1_  P-VALUE = 5.49024e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3725       1   59246463   59249785      2       1  1000       1.9841     0.018453   -4.3571e-06       1.9841
_SET1_   9295       1   70671365   70717703     38       3  1000      -1.0946      0.84468   -4.3571e-06      -1.0946
_SET1_   7175       1  186280784  186344883    113      10  1000     -0.55789      0.69588   -4.3571e-06     -0.55789
_SET1_   7428       3   10183319   10195354     33       5  1000       1.6263     0.047412   -4.3571e-06       1.6263
_SET1_   1154       3   50643885   50649262      5       2  1000    -0.033421      0.47659   -4.3571e-06    -0.033416
_SET1_   2624       3  128198265  128212030     25       6  1000      -1.6098      0.94363   -4.3571e-06      -1.6098
_SET1_   8087       3  180630096  180700541     86       7  1000      0.33504      0.34785   -4.3571e-06      0.33505
_SET1_   6731       4   57333370   57369847     92       8  1000      0.15758      0.41622   -4.3571e-06      0.15759
_SET1_   2745       5   95149553   95158577     12       4  1000       2.7767    0.0025943   -4.3571e-06       2.7767
_SET1_   5272       6    2887499    2903546     32      11  1000     0.054686      0.47313   -4.3571e-06      0.05469
_SET1_   948        7   80231504   80308593    198      12  1000     -0.66429      0.73283   -4.3571e-06     -0.66429
_SET1_   4067       8   56792386   56925006    387      27  1000      0.64912       0.2467   -4.3571e-06      0.64913
_SET1_   6386       8   59465566   59495419     52       4  1000     -0.47818      0.66784   -4.3571e-06     -0.47817
_SET1_   4609       8  128748315  128753680     11       3  1000     -0.70593      0.73438   -4.3571e-06     -0.70593
_SET1_   648       10   22610139   22620414      1       1  1000       1.6919      0.03705   -4.3571e-06       1.6919
_SET1_   3481      11    2150346    2179611     66      14  1000      0.97627      0.16034   -4.3571e-06      0.97628
_SET1_   3046      11    5289580    5291373      3       1  1000     -0.19372      0.56253   -4.3571e-06     -0.19371
_SET1_   406       11   13299325   13408813    200      24  1000      0.14566       0.4331   -4.3571e-06      0.14566
_SET1_   3875      12   53342655   53346690      3       2  1000       1.7823     0.034426   -4.3571e-06       1.7824
_SET1_   114882    12   76745577   76953589    282      10  1000     -0.71498       0.7426   -4.3571e-06     -0.71497
_SET1_   55206     12  123773656  123849756    222      11  1000     -0.11965      0.51385   -4.3571e-06     -0.11964
_SET1_   1638      13   95091835   95131936    109      12  1000       1.3914     0.076407   -4.3571e-06       1.3914
_SET1_   4122      15   91447420   91465815     53       8  1000      0.21661      0.39522   -4.3571e-06      0.21662
_SET1_   1186      16    1494934    1525085    139      16  1000     -0.45828      0.66773   -4.3571e-06     -0.45827
_SET1_   5930      16   24550866   24584184     71       7  1000      -0.6374       0.7244   -4.3571e-06     -0.63739
_SET1_   1783      16   66754796   66785526     49       3  1000       1.6594     0.044663   -4.3571e-06       1.6594
_SET1_   26118     17   25621106   25640659     27       4  1000        2.135     0.015035   -4.3571e-06        2.135
_SET1_   11140     19   10501809   10514271     12       3  1000      0.85505      0.18552   -4.3571e-06      0.85506
_SET1_   3726      19   12902310   12904125      1       1  1000      -1.6482       0.9417   -4.3571e-06      -1.6482
_SET1_   2217      19   50015536   50029685     23       3  1000      -0.7041      0.73637   -4.3571e-06     -0.70409
_SET1_   6385      20   43953928   43977064     72       9  1000      -1.1727      0.87429   -4.3571e-06      -1.1727
