# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BIOCARTA_TGFB_PATHWAY (set)
# _SET1_  NGENES = 19
# _SET1_  P-VALUE = 6.9425e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9372      1   52607678   52812358    129       7  1000       1.3457     0.076901   -1.6904e-06       1.3457
_SET1_   7042      1  218518676  218617961    168      27  1000       1.6295     0.047782   -1.6904e-06       1.6295
_SET1_   7048      3   30647994   30735634    246      37  1000       2.0017      0.02146   -1.6904e-06       2.0017
_SET1_   6498      3  170075473  170114637     65       5  1000       1.6787     0.040439   -1.6904e-06       1.6787
_SET1_   324       5  112043202  112181936    206      12  1000    -0.053012      0.49723   -1.6904e-06     -0.05301
_SET1_   6885      6   91223292   91297020    117      12  1000     -0.37073      0.62366   -1.6904e-06     -0.37073
_SET1_   7046      9  101867412  101916474     60       5  1000      -0.1994      0.55274   -1.6904e-06      -0.1994
_SET1_   7043     14   76424440   76449334     34       4  1000      0.13538      0.42133   -1.6904e-06      0.13538
_SET1_   5604     15   66679182   66783882    162      17  1000      0.60223      0.25607   -1.6904e-06      0.60223
_SET1_   4088     15   67358036   67487533    317      43  1000       5.5196    2.126e-16   -1.6904e-06       5.5196
_SET1_   1387     16    3775055    3930121    142      16  1000     -0.36721      0.61882   -1.6904e-06     -0.36721
_SET1_   5595     16   30125426   30134630      7       3  1000      0.03057      0.47047   -1.6904e-06     0.030571
_SET1_   999      16   68771128   68869445    227      15  1000      0.47758      0.29564   -1.6904e-06      0.47759
_SET1_   4087     18   45359466   45457564    132       6  1000       5.4719   1.9543e-33   -1.6904e-06       5.4719
_SET1_   4092     18   46446223   46477081     75      17  1000      0.24862      0.38633   -1.6904e-06      0.24863
_SET1_   4089     18   48556583   48611412     36       3  1000      0.65128      0.23979   -1.6904e-06      0.65128
_SET1_   7040     19   41836812   41859831     32       7  1000      -1.2579      0.88711   -1.6904e-06      -1.2579
_SET1_   10454    22   39795759   39833132     41       3  1000      0.44603      0.30648   -1.6904e-06      0.44603
_SET1_   2033     22   41488614   41576081    128      10  1000       3.1833   0.00058917   -1.6904e-06       3.1833
