# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS (set)
# _SET1_  NGENES = 10
# _SET1_  P-VALUE = 7.41585e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9900       1  149874870  149889434     12       4  1000      0.84915      0.19158   -5.1398e-06      0.84916
_SET1_   127833     1  202559724  202679551    250      34  1000      0.16337      0.42984   -5.1398e-06      0.16338
_SET1_   22987      5   75378997   75649764    881      60  1000     -0.63801       0.7325   -5.1398e-06       -0.638
_SET1_   6804       7   73113535   73134032     26       6  1000     -0.20207       0.5688   -5.1398e-06     -0.20207
_SET1_   6843      12    6571403    6579843     26       5  1000      0.36005      0.34744   -5.1398e-06      0.36006
_SET1_   6857      12   79257773   79845788   1130      54  1000       1.9112     0.025224   -5.1398e-06       1.9112
_SET1_   9899      15   91642996   91844539    533      41  1000       3.1716   0.00069132   -5.1398e-06       3.1716
_SET1_   112755    16   31000577   31021829     31       6  1000     -0.49624      0.67882   -5.1398e-06     -0.49623
_SET1_   6844      17    8062465    8066293      4       2  1000      0.86965      0.18811   -5.1398e-06      0.86966
_SET1_   6616      20   10199477   10288068    172      25  1000       1.6783     0.044609   -5.1398e-06       1.6783
