# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN (set)
# _SET1_  NGENES = 340
# _SET1_  P-VALUE = 4.14816e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6146       1    6245080    6259679     30       5  1000     -0.36489      0.63855   -1.9914e-06     -0.36489
_SET1_   11315      1    8021714    8045342     55       9  1000     -0.57255      0.71295   -1.9914e-06     -0.57255
_SET1_   2023       1    8921059    8939151     26       5  1000     -0.18909      0.56845   -1.9914e-06     -0.18908
_SET1_   5226       1   10458884   10480565     32       3  1000      0.95839      0.16106   -1.9914e-06      0.95839
_SET1_   3925       1   26210670   26233368     22       3  1000      0.51287      0.29357   -1.9914e-06      0.51287
_SET1_   3151       1   26798902   26803133      4       2  1000     -0.45406      0.66749   -1.9914e-06     -0.45406
_SET1_   5928       1   33116749   33151812     84       5  1000      0.27104      0.39199   -1.9914e-06      0.27104
_SET1_   204        1   33473541   33502512     22       1  1000       2.5322     0.005052   -1.9914e-06       2.5322
_SET1_   5690       1   36040259   36107445     66       8  1000       1.5879     0.057049   -1.9914e-06       1.5879
_SET1_   5052       1   45976707   45988562     40       5  1000      0.49987      0.30167   -1.9914e-06      0.49987
_SET1_   10327      1   46016455   46035723     27       3  1000       1.7786      0.03503   -1.9914e-06       1.7786
_SET1_   4678       1   46049660   46084578     35       3  1000       1.2741     0.096446   -1.9914e-06       1.2741
_SET1_   2882       1   53068043   53074723     16       4  1000       1.1564       0.1199   -1.9914e-06       1.1564
_SET1_   6342       1   53392901   53517289    422      16  1000     0.089903      0.46865   -1.9914e-06     0.089905
_SET1_   3725       1   59246463   59249785      2       1  1000       1.2933     0.096398   -1.9914e-06       1.2933
_SET1_   23421      1   63906441   63988944    169      12  1000      0.18966      0.42204   -1.9914e-06      0.18966
_SET1_   26135      1   67873493   67896123     15       3  1000     -0.95029      0.82188   -1.9914e-06     -0.95029
_SET1_   34         1   76190043   76229355    113       8  1000     0.078595      0.46226   -1.9914e-06     0.078597
_SET1_   8634       1  100731714  100758325     42       2  1000    -0.075677      0.52023   -1.9914e-06    -0.075675
