# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BIOCARTA_PRC2_PATHWAY (set)
# _SET1_  NGENES = 12
# _SET1_  P-VALUE = 8.21645e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3065          1   32757708   32799227     22       2  1000       1.7552     0.030327   -7.2361e-06       1.7552
_SET1_   5928          1   33116749   33151812     84       5  1000      0.82481       0.1872   -7.2361e-06      0.82482
_SET1_   6015          6   33176286   33180499      5       2  1000      -1.0583      0.85082   -7.2361e-06      -1.0583
_SET1_   3066          6  114257320  114292359     53       9  1000     -0.79124      0.77553   -7.2361e-06     -0.79123
_SET1_   2146          7  148504464  148581441    105      10  1000     -0.82856      0.78568   -7.2361e-06     -0.82856
_SET1_   100532731    10   22605312   22620414      2       1  1000      0.59941       0.2583   -7.2361e-06      0.59942
_SET1_   648          10   22610139   22620414      1       1  1000       1.4525     0.067071   -7.2361e-06       1.4525
_SET1_   8726         11   85955586   85989785     68       7  1000      0.72847      0.22299   -7.2361e-06      0.72848
_SET1_   7528         14  100705102  100745371     45       4  1000       0.6188      0.25808   -7.2361e-06       0.6188
_SET1_   23512        17   30264044   30328057    144       4  1000      0.18998      0.40587   -7.2361e-06      0.18999
_SET1_   2145         17   40852293   40897095     37       4  1000      0.58203      0.27052   -7.2361e-06      0.58203
_SET1_   8535         17   77806955   77813222     10       4  1000       1.0733      0.13653   -7.2361e-06       1.0733
