# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 6.75381e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   84967      1   36859031   36863493     28       3  1000      0.11216      0.43241    -7.955e-06      0.11217
_SET1_   6635       1  203830740  203840280     25       3  1000     -0.37468      0.62553    -7.955e-06     -0.37467
_SET1_   6637       2   70508510   70520869     19       3  1000     -0.38856      0.63388    -7.955e-06     -0.38855
_SET1_   22916      3  196662273  196669464     20       4  1000     -0.11065      0.52853    -7.955e-06     -0.11065
_SET1_   7884       4    1694527    1714421     36       6  1000      0.37654      0.33888    -7.955e-06      0.37655
_SET1_   134353     5  157170755  157183746     24       4  1000      0.80915      0.19685    -7.955e-06      0.80916
_SET1_   4686       9  100395705  100436030     76       3  1000       1.3131     0.080682    -7.955e-06       1.3131
_SET1_   6636      12   96252709   96260238     22       6  1000       3.0543    0.0010387    -7.955e-06       3.0543
_SET1_   25888     19   50528786   50552033     33       8  1000       0.5886      0.27065    -7.955e-06      0.58861
_SET1_   6628      20    2442281    2451499     11       2  1000        1.179      0.11049    -7.955e-06        1.179
_SET1_   6634      22   24951618   24970932     33       6  1000       3.2125   0.00058097    -7.955e-06       3.2126
