# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = PEDRIOLI_MIR31_TARGETS_DN (set)
# _SET1_  NGENES = 380
# _SET1_  P-VALUE = 5.22311e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   7293       1    1146706    1149703      6       2  1000   -0.0067225       0.4673    4.3421e-06   -0.0067269
_SET1_   142678     1    1550795    1565990     29       5  1000     -0.64431       0.7255    4.3421e-06     -0.64431
_SET1_   80045      1    9163472    9189229     57       8  1000      -1.1328      0.86125    4.3421e-06      -1.1328
_SET1_   23569      1   17634690   17690495    232      17  1000     -0.95056      0.81707    4.3421e-06     -0.95056
_SET1_   127294     1   24382531   24438665    175      19  1000      0.79562      0.20241    4.3421e-06      0.79562
_SET1_   27293      1   28261456   28285663     66       9  1000      0.43352       0.3187    4.3421e-06      0.43351
_SET1_   9204       1   35451766   35497569     86       4  1000      -1.0622      0.82168    4.3421e-06      -1.0622
_SET1_   1441       1   36931644   36948915     26       6  1000       2.5805    0.0043636    4.3421e-06       2.5804
_SET1_   353500     1   39957318   39995541     86      16  1000       1.2343     0.099016    4.3421e-06       1.2343
_SET1_   10487      1   40505912   40538321    100       6  1000       2.6307    0.0033903    4.3421e-06       2.6307
_SET1_   5563       1   57110990   57181008    185      10  1000     -0.82068      0.77973    4.3421e-06     -0.82069
_SET1_   204962     1   75667816   76081698    839      29  1000     -0.84867        0.776    4.3421e-06     -0.84867
_SET1_   2634       1   89571815   89591842     47       4  1000      0.12098      0.43063    4.3421e-06      0.12097
_SET1_   24         1   94458393   94586705    381      56  1000       1.6739     0.044623    4.3421e-06       1.6739
_SET1_   9411       1   94634463   94713251    105      15  1000      0.18125      0.40656    4.3421e-06      0.18125
_SET1_   8556       1  100810598  100985833    362      22  1000       1.4148      0.06663    4.3421e-06       1.4148
_SET1_   7412       1  101185196  101204601     30      13  1000     -0.53082      0.68552    4.3421e-06     -0.53082
_SET1_   343263     1  109834987  109849663     31       7  1000     -0.79351      0.77338    4.3421e-06     -0.79351
_SET1_   388677     1  145176379  145286270     17      11  1000       0.3046      0.37307    4.3421e-06       0.3046
_SET1_   148741     1  145549209  145568526     36       5  1000       1.2618     0.097199    4.3421e-06       1.2618
_SET1_   9722       1  162039581  162339813    761      44  1000      -1.0693      0.84211    4.3421e-06      -1.0693
_SET1_   127933     1  162466964  162499419     67       3  1000       1.0496      0.13584    4.3421e-06       1.0495
_SET1_   92241      1  167599474  167677933    198      42  1000     -0.86938      0.80231    4.3421e-06     -0.86938
_SET1_   6401       1  169691781  169703220     49       6  1000     -0.45902      0.65313    4.3421e-06     -0.45903
_SET1_   9674       1  175126123  175162229     83       8  1000     -0.13359      0.53729    4.3421e-06     -0.13359
_SET1_   4688       1  183524697  183560056     76      14  1000     -0.62944       0.7224    4.3421e-06     -0.62944
_SET1_   5321       1  186798032  186958113    361      33  1000     -0.90153      0.80358    4.3421e-06     -0.90154
_SET1_   1604       1  207494817  207534311     56       4  1000     -0.11263      0.52297    4.3421e-06     -0.11264
_SET1_   55733      1  210501596  210849638   1139      92  1000     -0.35831      0.62112    4.3421e-06     -0.35831
_SET1_   343035     1  211649864  211666259     35       8  1000      0.15981      0.41706    4.3421e-06      0.15981
_SET1_   5629       1  214161278  214214853     66       9  1000      0.22225      0.39054    4.3421e-06      0.22225
_SET1_   3142       1  221052743  221058401     14       4  1000      0.61435      0.25492    4.3421e-06      0.61435
_SET1_   375057     1  226736501  226796915    134      20  1000      0.27323      0.37644    4.3421e-06      0.27323
_SET1_   58480      1  228780394  228882416     54       9  1000     -0.45811      0.65802    4.3421e-06     -0.45812
_SET1_   27185      1  231762561  232177018    895      84  1000      -0.3986      0.64116    4.3421e-06      -0.3986
_SET1_   4811       1  236139130  236228481    239      28  1000    -0.059839      0.51022    4.3421e-06    -0.059843
_SET1_   23596      1  241756452  241803701     92      21  1000       1.2958     0.091751    4.3421e-06       1.2958
_SET1_   51029      1  244816352  244872335     82       7  1000      0.49566      0.29314    4.3421e-06      0.49565
_SET1_   163882     1  246729639  246831884    222      23  1000     -0.18568      0.55834    4.3421e-06     -0.18569
_SET1_   285126     2   27498289   27505214      4       1  1000      -1.0756      0.84489    4.3421e-06      -1.0756
_SET1_   57159      2   27505297   27530307     23       2  1000     -0.85897      0.78694    4.3421e-06     -0.85897
_SET1_   10887      2   68870712   68883244     25       8  1000      0.23006       0.3893    4.3421e-06      0.23005
_SET1_   51652      2   86730553   86790620    113      10  1000      -0.3188      0.60659    4.3421e-06     -0.31881
_SET1_   4862       2  101436613  101613289    480      59  1000       1.2897     0.093101    4.3421e-06       1.2897
_SET1_   376940     2  113033178  113097640    108       7  1000      0.84497        0.186    4.3421e-06      0.84496
