# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN (set)
# _SET1_  NGENES = 1027
# _SET1_  P-VALUE = 1.65581e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   84069         1     901872     910488     37      14  1000       1.7784     0.036733   -6.5794e-06       1.7784
_SET1_   51150         1    1152288    1167447     89       4  1000      0.36016      0.33301   -6.5794e-06      0.36017
_SET1_   643965        1    1361508    1363167      7       2  1000      -1.8886       0.9676   -6.5794e-06      -1.8886
_SET1_   23463         1    6281253    6296044     20       4  1000       2.3473    0.0083894   -6.5794e-06       2.3473
_SET1_   8863          1    7844413    7905241    176      19  1000     -0.32153      0.61588   -6.5794e-06     -0.32152
_SET1_   80176         1    9335202    9429591    287      42  1000     -0.76613       0.7836   -6.5794e-06     -0.76612
_SET1_   23095         1   10270606   10441664    264       6  1000     0.050558      0.44656   -6.5794e-06     0.050564
_SET1_   93611         1   11714432   11723384     21       7  1000       1.5748     0.054597   -6.5794e-06       1.5748
_SET1_   26270         1   11724150   11734411     34       8  1000       1.3137     0.089689   -6.5794e-06       1.3137
_SET1_   23254         1   14219646   15444544   1614     167  1000      0.76708      0.24364   -6.5794e-06      0.76708
_SET1_   55092         1   15479028   15546974    299      21  1000      0.18783      0.41122   -6.5794e-06      0.18784
_SET1_   23400         1   17312453   17338467     33       4  1000     -0.41381      0.64307   -6.5794e-06      -0.4138
_SET1_   11240         1   17393256   17445948    212      10  1000     -0.12179      0.52476   -6.5794e-06     -0.12178
_SET1_   65018         1   20959948   20978004     62       8  1000      0.76004      0.21197   -6.5794e-06      0.76005
_SET1_   10236         1   23635953   23671143     54       7  1000      0.52316      0.28467   -6.5794e-06      0.52316
_SET1_   57185         1   24742245   24799473    151      13  1000      0.64875      0.24536   -6.5794e-06      0.64875
_SET1_   2140          1   28296855   28415173    151      10  1000      -1.2367      0.88196   -6.5794e-06      -1.2367
_SET1_   79570         1   31652592   31712734    249      18  1000     -0.10728      0.52678   -6.5794e-06     -0.10728
_SET1_   1307          1   32117848   32169768     73      12  1000      0.15245       0.4287   -6.5794e-06      0.15246
_SET1_   57648         1   33207492   33240571     34       7  1000       0.5715      0.27273   -6.5794e-06      0.57151
_SET1_   192670        1   36273231   36323491     32       5  1000      0.61979      0.25244   -6.5794e-06       0.6198
_SET1_   26292         1   39328162   39339050     14       4  1000     -0.11508      0.53238   -6.5794e-06     -0.11508
_SET1_   5538          1   40538382   40563142     82       9  1000     -0.77075       0.7669   -6.5794e-06     -0.77074
_SET1_   1263          1   45265638   45271667      7       2  1000      -1.1722      0.87112   -6.5794e-06      -1.1722
_SET1_   4595          1   45794914   45806142     11       4  1000     -0.20153      0.56739   -6.5794e-06     -0.20153
_SET1_   4678          1   46049660   46084578     35       3  1000        2.044     0.017864   -6.5794e-06        2.044
_SET1_   8503          1   46505812   46642167    195      13  1000       1.9071     0.025346   -6.5794e-06       1.9071
_SET1_   64756         1   47100711   47134099    105       7  1000      0.98417      0.14901   -6.5794e-06      0.98418
_SET1_   9813          1   47140831   47184792     86       7  1000     0.033522      0.46653   -6.5794e-06     0.033528
_SET1_   114883        1   52082546   52254891    102       8  1000      0.45785      0.30488   -6.5794e-06      0.45785
_SET1_   115353        1   54411999   54433841     16       2  1000     -0.94077      0.81225   -6.5794e-06     -0.94077
_SET1_   3725          1   59246463   59249785      2       1  1000    -0.096617      0.51938   -6.5794e-06     -0.09661
_SET1_   1573          1   60358980   60392445     50       8  1000       1.1552      0.11644   -6.5794e-06       1.1552
_SET1_   85440         1   62920397   63154039    227       3  1000     -0.68841      0.72272   -6.5794e-06      -0.6884
_SET1_   84455         1   63989013   64051041    126      10  1000      0.31751      0.35773   -6.5794e-06      0.31752
_SET1_   5142          1   66258193   66840262   1265      67  1000      0.54454      0.28864   -6.5794e-06      0.54455
_SET1_   26135         1   67873493   67896123     15       3  1000      0.17222      0.41557   -6.5794e-06      0.17223
_SET1_   79971         1   68564142   68698284    382      53  1000       1.4815     0.073755   -6.5794e-06       1.4815
_SET1_   257194        1   71868625   72748533   1382      65  1000       0.2357      0.39666   -6.5794e-06       0.2357
_SET1_   10026         1   77554666   77685132    283      14  1000       1.8615     0.027466   -6.5794e-06       1.8615
_SET1_   11080         1   78444847   78483648     50      10  1000     -0.81603      0.78364   -6.5794e-06     -0.81603
_SET1_   23507         1   89989933   90063420    133       7  1000     -0.87266      0.79205   -6.5794e-06     -0.87266
_SET1_   84230         1   90098644   90185094    120       6  1000       1.7146     0.037895   -6.5794e-06       1.7146
_SET1_   7049          1   92145900   92371559    610      48  1000      0.93567      0.17451   -6.5794e-06      0.93568
_SET1_   388650        1   93298286   93427079    156       4  1000      0.11482      0.42308   -6.5794e-06      0.11483
_SET1_   163404        1   99355801   99470449    298      28  1000      0.64103      0.25482   -6.5794e-06      0.64104
_SET1_   23443         1  100435345  100492535     79       5  1000      -1.1182      0.85425   -6.5794e-06      -1.1182
_SET1_   163786        1  100549100  100598518     47       5  1000     -0.67729      0.73446   -6.5794e-06     -0.67729
_SET1_   1301          1  103342023  103574052    682      27  1000     -0.46737      0.65785   -6.5794e-06     -0.46737
_SET1_   29957         1  108677344  108742980    175      12  1000      -1.0648      0.84557   -6.5794e-06      -1.0648
_SET1_   6814          1  109289285  109352148    154       5  1000      -1.6337      0.94063   -6.5794e-06      -1.6337
_SET1_   6884          1  109606998  109618624     22       4  1000      -1.0163      0.83518   -6.5794e-06      -1.0163
_SET1_   57535         1  109656585  109749403    281      26  1000     -0.94771      0.82282   -6.5794e-06      -0.9477
_SET1_   127002        1  110026533  110035426      8       2  1000      0.63036      0.25096   -6.5794e-06      0.63036
_SET1_   1435          1  110453233  110473616     35       9  1000      0.99484      0.15358   -6.5794e-06      0.99485
_SET1_   10100         1  115590632  115632121    112      13  1000       0.1461      0.42897   -6.5794e-06       0.1461
_SET1_   10628         1  145438438  145442635      4       1  1000     -0.14486       0.5375   -6.5794e-06     -0.14485
_SET1_   9900          1  149874870  149889434     12       4  1000       0.6027      0.26217   -6.5794e-06       0.6027
_SET1_   23632         1  150229554  150237478      5       3  1000    -0.057406      0.51302   -6.5794e-06      -0.0574
_SET1_   55204         1  150618701  150669672     96       4  1000     -0.14714      0.53178   -6.5794e-06     -0.14713
_SET1_   1513          1  150768684  150780917      9       3  1000      0.68192      0.23727   -6.5794e-06      0.68192
_SET1_   55793         1  150969213  150980854     12       5  1000      0.25925      0.38685   -6.5794e-06      0.25926
_SET1_   58497         1  150980867  151008189     64      14  1000      0.78367       0.2109   -6.5794e-06      0.78368
_SET1_   10962         1  151032151  151040973      9       3  1000     -0.96765      0.82431   -6.5794e-06     -0.96764
_SET1_   5993          1  151313116  151319785      3       2  1000        1.246      0.10183   -6.5794e-06        1.246
_SET1_   6271          1  153600873  153604513      5       1  1000      0.62251        0.252   -6.5794e-06      0.62251
_SET1_   23557         1  153631130  153634328      3       1  1000     -0.49396       0.6756   -6.5794e-06     -0.49396
_SET1_   23623         1  155290640  155300909      1       1  1000      0.16065       0.4244   -6.5794e-06      0.16065
_SET1_   23208         1  155829260  155854990     23       4  1000        -0.73      0.75396   -6.5794e-06     -0.72999
_SET1_   23381         1  156219015  156252676     68       6  1000      0.09499      0.44242   -6.5794e-06     0.094997
_SET1_   9507          1  161159538  161168845     10       3  1000      0.64487      0.24832   -6.5794e-06      0.64488
_SET1_   9019          1  167691187  167761156    157      20  1000     -0.25713      0.59335   -6.5794e-06     -0.25712
_SET1_   23215         1  171454652  171562650    232      14  1000     -0.15543      0.54181   -6.5794e-06     -0.15542
_SET1_   26052         1  171810618  172387606   1203      58  1000      0.52343      0.29057   -6.5794e-06      0.52344
_SET1_   9910          1  174128552  174964445   1348      15  1000     -0.91345      0.77766   -6.5794e-06     -0.91344
_SET1_   7143          1  175291935  175712752   1000      91  1000     -0.18408        0.597   -6.5794e-06     -0.18408
_SET1_   460           1  176826441  177134024    486      41  1000     -0.48531      0.68415   -6.5794e-06     -0.48531
_SET1_   89866         1  177892825  177939188    135      24  1000      0.28275      0.38665   -6.5794e-06      0.28275
_SET1_   55103         1  178694300  178890975    190      15  1000       1.4843     0.063615   -6.5794e-06       1.4843
_SET1_   6646          1  179262849  179327815    230      16  1000       1.4782     0.064198   -6.5794e-06       1.4782
_SET1_   3140          1  181002561  181031074     66      11  1000      0.69638      0.23409   -6.5794e-06      0.69639
_SET1_   51278         1  181057638  181059979      4       2  1000       1.0547      0.13893   -6.5794e-06       1.0547
_SET1_   6041          1  182542769  182558420     25       7  1000      0.56508      0.27688   -6.5794e-06      0.56509
_SET1_   23271         1  200708686  200829832    213      18  1000     -0.76941      0.76839   -6.5794e-06      -0.7694
