# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE (set)
# _SET1_  NGENES = 24
# _SET1_  P-VALUE = 1.49226e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6512      1   53552855   53608304    252      26  1000       1.1838       0.1078   -1.9028e-06       1.1838
_SET1_   8497      1  202995649  203047864    142      19  1000      0.23201      0.38883   -1.9028e-06      0.23201
_SET1_   2744      2  191745547  191830278     83       8  1000       1.4591     0.064179   -1.9028e-06       1.4591
_SET1_   10550     3   69134090   69155239     49       7  1000      0.86227      0.17876   -1.9028e-06      0.86227
_SET1_   10815     4     778745     819945    148      19  1000     0.090031      0.44359   -1.9028e-06     0.090032
_SET1_   6507      5   36606457   36688436    175      37  1000     -0.40657      0.64424   -1.9028e-06     -0.40657
_SET1_   22999     6   72596406   73112845    840      32  1000       1.5332     0.054466   -1.9028e-06       1.5332
_SET1_   6804      7   73113535   73134032     26       6  1000       1.3651     0.077837   -1.9028e-06       1.3651
_SET1_   6505      9    4490427    4587469    262      34  1000       1.5822     0.052057   -1.9028e-06       1.5822
_SET1_   10497     9   35161976   35405334    306      16  1000     -0.67579      0.72784   -1.9028e-06     -0.67579
_SET1_   6812      9  130374486  130454995     67       9  1000       1.2298     0.097705   -1.9028e-06       1.2298
_SET1_   6506     11   35272752   35441610    462      31  1000       1.1675      0.11058   -1.9028e-06       1.1675
_SET1_   8500     11   70116806   70230607    218       6  1000       0.8744      0.17025   -1.9028e-06       0.8744
_SET1_   54407    12   46751971   46766645     23       4  1000     -0.76847      0.76055   -1.9028e-06     -0.76847
_SET1_   27165    12   56864728   56882198     18       4  1000      -1.2915       0.8913   -1.9028e-06      -1.2915
_SET1_   6857     12   79257773   79845788   1130      54  1000    -0.049811      0.49319   -1.9028e-06    -0.049809
_SET1_   8499     12   81652045   82153109    837      46  1000      0.53319      0.27631   -1.9028e-06      0.53319
_SET1_   6844     17    8062465    8066293      4       2  1000       2.2071     0.011939   -1.9028e-06       2.2071
_SET1_   9256     17   56378588   56406152     56       9  1000       1.1172      0.11929   -1.9028e-06       1.1172
_SET1_   6511     19   15060845   15121455    373      32  1000     0.033019      0.46605   -1.9028e-06     0.033021
_SET1_   5864     19   18307609   18314874     12       2  1000     0.090836      0.44155   -1.9028e-06     0.090838
_SET1_   8541     19   49622646   49654287     78      10  1000       1.0321      0.13863   -1.9028e-06       1.0321
_SET1_   57030    19   49932655   49945617     22       7  1000     -0.69467      0.73991   -1.9028e-06     -0.69467
_SET1_   6616     20   10199477   10288068    172      25  1000     0.058656      0.45673   -1.9028e-06     0.058657
