# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = DELACROIX_RAR_TARGETS_UP (set)
# _SET1_  NGENES = 47
# _SET1_  P-VALUE = 5.52352e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9249       1   12627939   12677820    139      24  1000      -1.5661      0.93782    -2.982e-06      -1.5661
_SET1_   23139      1   46269269   46501796    396       9  1000     -0.85764      0.79018    -2.982e-06     -0.85764
_SET1_   1382       1  156669398  156675608      9       3  1000      -1.4036      0.91786    -2.982e-06      -1.4036
_SET1_   4811       1  236139130  236228481    239      28  1000     -0.27036       0.5963    -2.982e-06     -0.27036
_SET1_   344191     2  176944835  176948690      4       2  1000      0.98386      0.16115    -2.982e-06      0.98386
_SET1_   3238       2  176964530  176965488      2       1  1000      0.47193      0.31854    -2.982e-06      0.47193
_SET1_   316        2  201450731  201536218    237      28  1000      0.62794      0.25646    -2.982e-06      0.62794
_SET1_   8553       3    5021097    5026866     11       2  1000      0.45497      0.31656    -2.982e-06      0.45497
_SET1_   5915       3   25215638   25639423   1200      90  1000       1.8145      0.04228    -2.982e-06       1.8145
_SET1_   1356       3  148880197  148939832    127      21  1000       1.0001       0.1526    -2.982e-06       1.0001
_SET1_   4071       3  149086805  149095647     19       3  1000      0.25082       0.3895    -2.982e-06      0.25082
_SET1_   6498       3  170075473  170114637     65       5  1000      -1.4421      0.91897    -2.982e-06      -1.4421
_SET1_   1758       4   88571454   88585513     29       6  1000       1.1157      0.12491    -2.982e-06       1.1157
_SET1_   8817       5  170846667  170884630     63      10  1000     -0.51647      0.68313    -2.982e-06     -0.51647
_SET1_   1843       5  172195093  172198203      3       2  1000       2.0786     0.018931    -2.982e-06       2.0786
_SET1_   3159       6   34204577   34214008      6       2  1000     -0.49294      0.69345    -2.982e-06     -0.49294
_SET1_   1490       6  132269316  132272518      1       1  1000       0.1945       0.4428    -2.982e-06       0.1945
_SET1_   11185      7   30791689   30806152     46       9  1000     -0.20995       0.5684    -2.982e-06     -0.20995
_SET1_   2936       8   30535578   30585486    131      14  1000     -0.99738      0.83137    -2.982e-06     -0.99738
_SET1_   4982       8  119935796  119964383     96      13  1000      0.36408      0.34295    -2.982e-06      0.36408
_SET1_   2219       9  137797711  137809849     24       3  1000       1.9644      0.02277    -2.982e-06       1.9644
_SET1_   29760     10   97951455   98031333    215      39  1000       2.0231     0.021069    -2.982e-06       2.0231
