# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MARIADASON_RESPONSE_TO_BUTYRATE_CURCUMIN_SULINDAC_TSA_1 (set)
# _SET1_  NGENES = 6
# _SET1_  P-VALUE = 5.10367e-06
_SET1_   GENE   CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2353    14  75745477  75748937      6       2  1000      0.71335      0.22906   -1.7197e-06      0.71336
_SET1_   4493    16  56659557  56661024      3       2  1000       1.7814     0.036086   -1.7197e-06       1.7814
_SET1_   4496    16  56703726  56705041      3       1  1000       1.2177      0.11015   -1.7197e-06       1.2177
_SET1_   2896    17  42422491  42430474      8       3  1000      0.62541      0.25618   -1.7197e-06      0.62541
_SET1_   5332    20   9049357   9461463    707      69  1000      0.79679       0.2392   -1.7197e-06      0.79679
_SET1_   4627    22  36677323  36784107    236      28  1000       3.6625    0.0001342   -1.7197e-06       3.6625

# _SET2_  VARIABLE = GHANDHI_BYSTANDER_IRRADIATION_UP (set)
# _SET2_  NGENES = 75
# _SET2_  P-VALUE = 3.5797e-06
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   11080      1   78444847   78483648     50      10  1000       1.2356       0.1098   -1.7197e-06       1.2356
_SET2_   5737       1   78956728   79006386    117      12  1000        1.922     0.027175   -1.7197e-06        1.922
_SET2_   23507      1   89989933   90063420    133       7  1000     -0.41218      0.65022   -1.7197e-06     -0.41217
_SET2_   2730       1   94352590   94375154     49       7  1000       1.5166     0.062943   -1.7197e-06       1.5166
_SET2_   5743       1  186640944  186649559      7       3  1000     -0.52166       0.6921   -1.7197e-06     -0.52166
_SET2_   5321       1  186798032  186958113    361      33  1000      0.34771      0.37522   -1.7197e-06      0.34771
_SET2_   3914       1  209788215  209825820    126      18  1000     0.084649      0.46933   -1.7197e-06     0.084651
_SET2_   50486      1  209848670  209849735      3       2  1000     -0.32408       0.6215   -1.7197e-06     -0.32408
_SET2_   3290       1  209859525  209908295     93      12  1000     0.089906      0.46678   -1.7197e-06     0.089908
_SET2_   57223      2   55774428   55844860    142      13  1000      -0.8015      0.78704   -1.7197e-06      -0.8015
_SET2_   1844       2   96808908   96811206      1       1  1000      -1.5678       0.9352   -1.7197e-06      -1.5678
_SET2_   3552       2  113531492  113542971     25       3  1000     -0.94636      0.81858   -1.7197e-06     -0.94636
_SET2_   3553       2  113587337  113594356     12       3  1000      0.71576      0.22758   -1.7197e-06      0.71577
_SET2_   8942       2  143506497  143799885    348      25  1000      0.39074      0.35598   -1.7197e-06      0.39074
_SET2_   64332      3  101546834  101579869     20       5  1000       1.1193      0.12587   -1.7197e-06       1.1193
_SET2_   84002      3  182971032  182991179     20       4  1000      0.92939      0.17549   -1.7197e-06      0.92939
