# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
79501        1      69091      70008      1       1  1000      0.63237    -6.089e-06      0.63237
100996442    1     142447     174392      1       1  1000      0.88274    -6.089e-06      0.88275
148398       1     859993     879961     74      17  1000      0.74451    -6.089e-06      0.74452
26155        1     879583     894679     36       4  1000     -0.19942    -6.089e-06     -0.19941
339451       1     895967     901099     30       6  1000     -0.32628    -6.089e-06     -0.32627
84069        1     901872     910488     37      14  1000      0.24711    -6.089e-06      0.24712
84808        1     910579     917473     18       4  1000    -0.031716    -6.089e-06     -0.03171
57801        1     934342     936608      4       2  1000      0.75758    -6.089e-06      0.75759
9636         1     948847     949920      5       2  1000        2.114    -6.089e-06        2.114
375790       1     955503     991499    104      11  1000       2.7369    -6.089e-06       2.7369
401934       1    1007126    1009687      5       2  1000      0.49921    -6.089e-06      0.49921
54991        1    1017198    1051736    107       9  1000     0.025002    -6.089e-06     0.025008
254173       1    1109286    1133315    121      13  1000       1.1778    -6.089e-06       1.1778
8784         1    1138888    1142163      7       1  1000     -0.88451    -6.089e-06      -0.8845
7293         1    1146706    1149703      6       2  1000        1.925    -6.089e-06        1.925
51150        1    1152288    1167447     89       4  1000      0.94494    -6.089e-06      0.94495
126792       1    1167629    1170421      3       2  1000       0.6303    -6.089e-06      0.63031
388581       1    1177826    1182102      9       2  1000     0.056864    -6.089e-06     0.056871
118424       1    1189292    1209234     24       5  1000     -0.83288    -6.089e-06     -0.83287
6339         1    1215816    1227409     42      17  1000     0.077019    -6.089e-06     0.077025
116983       1    1227764    1243304     54      11  1000      0.80091    -6.089e-06      0.80091
126789       1    1243962    1247057      2       1  1000     -0.59701    -6.089e-06       -0.597
54973        1    1246965    1260067     18       5  1000      0.66888    -6.089e-06      0.66888
80772        1    1260136    1264276      9       2  1000    -0.025039    -6.089e-06    -0.025033
83756        1    1266726    1269844      6       3  1000       1.5054    -6.089e-06       1.5054
1855         1    1270658    1284509     32       6  1000      0.96822    -6.089e-06      0.96823
54587        1    1288071    1297183     26       5  1000     0.037217    -6.089e-06     0.037223
54998        1    1309110    1310818      3       2  1000      0.31933    -6.089e-06      0.31934
81669        1    1321091    1334718     16       5  1000   -0.0066525    -6.089e-06   -0.0066464
55052        1    1337276    1342693     10       4  1000      0.37853    -6.089e-06      0.37853
441869       1    1353800    1356824      7       2  1000     -0.22363    -6.089e-06     -0.22363
643965       1    1361508    1363167      7       2  1000     -0.55086    -6.089e-06     -0.55085
64856        1    1370903    1378262     16       4  1000     -0.61372    -6.089e-06     -0.61371
219293       1    1378152    1405538     88      11  1000     -0.10272    -6.089e-06     -0.10272
83858        1    1407139    1444852     69       9  1000      0.94319    -6.089e-06      0.94319
