# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA (set)
# _SET1_  NGENES = 27
# _SET1_  P-VALUE = 3.46868e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   84967      1   36859031   36863493     28       3  1000      0.14804      0.42521   -2.9888e-06      0.14804
_SET1_   6635       1  203830740  203840280     25       3  1000      0.80083      0.20156   -2.9888e-06      0.80083
_SET1_   51692      2    9563666    9613239    123      11  1000      0.72065      0.22459   -2.9888e-06      0.72065
_SET1_   6637       2   70508510   70520869     19       3  1000     -0.16026      0.55641   -2.9888e-06     -0.16026
_SET1_   55339      2  128461808  128568761    150      16  1000       1.5765     0.055242   -2.9888e-06       1.5765
_SET1_   22916      3  196662273  196669464     20       4  1000       1.1058      0.12859   -2.9888e-06       1.1058
_SET1_   7884       4    1694527    1714421     36       6  1000      0.27419      0.38088   -2.9888e-06      0.27419
_SET1_   81608      4   54243803   54326103    208      12  1000       1.5121     0.060034   -2.9888e-06       1.5121
_SET1_   134353     5  157170755  157183746     24       4  1000       1.8461     0.030349   -2.9888e-06       1.8461
_SET1_   10898      7   99036563   99054996     35       5  1000     -0.74802      0.76933   -2.9888e-06     -0.74801
_SET1_   29894      8  145618446  145634733     17       2  1000     -0.39578      0.63815   -2.9888e-06     -0.39578
_SET1_   4686       9  100395705  100436030     76       3  1000      0.19494      0.40655   -2.9888e-06      0.19494
_SET1_   23283     10   53455246   53459355     10       2  1000      0.99833      0.15645   -2.9888e-06      0.99834
_SET1_   1479      11   33106130   33183037    131       6  1000       1.5488     0.053532   -2.9888e-06       1.5488
_SET1_   10978     11   57425216   57429337      2       1  1000      0.78055        0.215   -2.9888e-06      0.78055
_SET1_   79869     11   61170120   61197464     21       4  1000      0.42864      0.33205   -2.9888e-06      0.42865
_SET1_   51585     11   82868137   82896836     44       5  1000       -0.577      0.71069   -2.9888e-06       -0.577
_SET1_   6636      12   96252709   96260238     22       6  1000      0.50369      0.30363   -2.9888e-06      0.50369
_SET1_   8106      14   23789397   23795394      8       4  1000       1.6861       0.0469   -2.9888e-06       1.6861
_SET1_   53981     14   92588298   92630543     91       8  1000      -1.0577      0.84637   -2.9888e-06      -1.0577
_SET1_   10914     14   96968713   97033453     77       8  1000       2.4601    0.0064248   -2.9888e-06       2.4601
_SET1_   11051     16   56463048   56485261     29       6  1000      -0.4735      0.67744   -2.9888e-06      -0.4735
_SET1_   8189      19   46318700   46366548    165      10  1000      0.46772      0.30407   -2.9888e-06      0.46772
_SET1_   25888     19   50528786   50552033     33       8  1000        1.418     0.077724   -2.9888e-06        1.418
_SET1_   6628      20    2442281    2451499     11       2  1000    -0.053827      0.51389   -2.9888e-06    -0.053824
_SET1_   1477      20   54967427   54979582     25       7  1000      -1.1902      0.88068   -2.9888e-06      -1.1902
_SET1_   6634      22   24951618   24970932     33       6  1000       0.5524      0.28678   -2.9888e-06       0.5524

# _SET2_  VARIABLE = SHIRAISHI_PLZF_TARGETS_UP (set)
# _SET2_  NGENES = 9
# _SET2_  P-VALUE = 5.1733e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   9541      2  175212878  175260443     83      11  1000    -0.016243      0.49504   -2.9888e-06     -0.01624
_SET2_   9180      5   38845960   38935743    243      34  1000       1.4926     0.069442   -2.9888e-06       1.4926
_SET2_   687       9   72999513   73029573     23       5  1000    -0.066072      0.51694   -2.9888e-06    -0.066069
_SET2_   7262     11    2949503    2950650      2       1  1000      0.65315      0.25804   -2.9888e-06      0.65315
_SET2_   9638     11  125315641  125366206     80      10  1000       1.0135      0.14817   -2.9888e-06       1.0135
_SET2_   4940     12  113376249  113411056     98      10  1000       1.9346     0.024294   -2.9888e-06       1.9346
_SET2_   27033    19   36195389   36207940     17       4  1000        2.556    0.0050543   -2.9888e-06        2.556
_SET2_   11284    19   50364460   50370840      8       3  1000       2.2649     0.011443   -2.9888e-06       2.2649
_SET2_   9054     20   34256610   34287287     45       4  1000       1.0401      0.14305   -2.9888e-06       1.0401
