# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SHIN_B_CELL_LYMPHOMA_CLUSTER_5 (set)
# _SET1_  NGENES = 17
# _SET1_  P-VALUE = 8.39658e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2672      1   92940318   92952433     18       4  1000     0.062092      0.46289    2.2733e-07     0.062092
_SET1_   3231      2  177053307  177055635      2       1  1000       1.4203     0.076308    2.2733e-07       1.4203
_SET1_   59067     4  123533783  123542212     14       5  1000     -0.38507       0.6437    2.2733e-07     -0.38507
_SET1_   3148      4  174252527  174255595      3       1  1000      0.84354      0.19487    2.2733e-07      0.84354
_SET1_   7124      6   31543344   31546113      4       2  1000      0.83593      0.20243    2.2733e-07      0.83593
_SET1_   3569      7   22766766   22771621     14       4  1000      0.81587      0.20073    2.2733e-07      0.81587
_SET1_   3205      7   27202057   27205149      5       2  1000       1.3253     0.091292    2.2733e-07       1.3253
_SET1_   5897     11   36613493   36619829     11       2  1000      -1.0146      0.83783    2.2733e-07      -1.0146
_SET1_   2249     11   69587797   69590171      7       2  1000       1.7904     0.034884    2.2733e-07       1.7904
_SET1_   1019     12   58141510   58146304      4       2  1000      -1.5031      0.93151    2.2733e-07      -1.5031
_SET1_   567      15   45003685   45010357      9       3  1000      0.55122      0.28772    2.2733e-07      0.55122
_SET1_   5923     15   79252289   79383215    346      51  1000      -1.5271      0.94213    2.2733e-07      -1.5271
_SET1_   4261     16   10971055   11018840    128      25  1000       1.6661     0.048082    2.2733e-07       1.6661
_SET1_   9021     17   76352858   76356160      4       2  1000      0.59405      0.27709    2.2733e-07      0.59405
_SET1_   602      19   45246070   45263301     18       6  1000      0.18405       0.4228    2.2733e-07      0.18405
_SET1_   1051     20   48807120   48809227      1       1  1000      0.14391       0.4423    2.2733e-07      0.14391
_SET1_   7441     22   22599200   22599926      7       3  1000     -0.13562      0.55139    2.2733e-07     -0.13562
