# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = COULOUARN_TEMPORAL_TGFB1_SIGNATURE_DN (set)
# _SET1_  NGENES = 132
# _SET1_  P-VALUE = 2.87929e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54206      1    8071779    8086393     24       5  1000       1.0212      0.14639   -9.0435e-07       1.0212
_SET1_   6248       1   15986364   15988217      1       1  1000      -1.8293       0.9651   -9.0435e-07      -1.8293
_SET1_   978        1   20915444   20945401    122      18  1000    -0.033664      0.49877   -9.0435e-07    -0.033663
_SET1_   347735     1   31882412   31907527     71       9  1000      -1.4421      0.91986   -9.0435e-07      -1.4421
_SET1_   6342       1   53392901   53517289    422      16  1000    -0.025509       0.5004   -9.0435e-07    -0.025509
_SET1_   1718       1   55315300   55352921    108      11  1000     -0.13216      0.53788   -9.0435e-07     -0.13216
_SET1_   8613       1   56960419   57045257    224      32  1000       1.2125      0.10655   -9.0435e-07       1.2125
_SET1_   1647       1   68150860   68154021      7       2  1000    -0.016261      0.49648   -9.0435e-07     -0.01626
_SET1_   8991       1  151336778  151345210     12       5  1000    -0.069617      0.51589   -9.0435e-07    -0.069616
_SET1_   6698       1  152956564  152958290      5       1  1000      0.22941      0.39838   -9.0435e-07      0.22941
_SET1_   2224       1  155278539  155290457     10       2  1000      0.19225      0.41387   -9.0435e-07      0.19225
_SET1_   2752       1  182350839  182361341     22       3  1000     -0.55703      0.69951   -9.0435e-07     -0.55703
_SET1_   10216      1  186265405  186283688     33       5  1000      0.18556      0.41407   -9.0435e-07      0.18556
_SET1_   83593      1  206680866  206762616    159      25  1000      0.51145      0.29111   -9.0435e-07      0.51145
_SET1_   8444       1  206808881  206823229     17       4  1000       1.9849     0.021942   -9.0435e-07       1.9849
_SET1_   79762      1  220863628  220872499     20       4  1000       1.4739     0.066932   -9.0435e-07       1.4739
_SET1_   388        2   20646835   20649201      2       1  1000       2.2335     0.012136   -9.0435e-07       2.2335
_SET1_   22924      2   27193525   27250087     44       2  1000     -0.27802      0.59601   -9.0435e-07     -0.27802
_SET1_   678        2   43449541   43453745      5       2  1000      -1.0212      0.84121   -9.0435e-07      -1.0212
_SET1_   114800     2   56411258   56613309    512      39  1000      -0.4913       0.6783   -9.0435e-07      -0.4913
_SET1_   55654      2   96915946   96931751      8       3  1000     -0.90715      0.81099   -9.0435e-07     -0.90715
_SET1_   90         2  158592958  158732374    130      19  1000      0.65722      0.24544   -9.0435e-07      0.65722
_SET1_   659        2  203241033  203432474    248      14  1000   -0.0020194      0.48687   -9.0435e-07   -0.0020185
_SET1_   3417       2  209100951  209120478     13       4  1000      0.35588      0.35317   -9.0435e-07      0.35589
_SET1_   10056      2  223436162  223520827    136      13  1000      0.23855       0.3914   -9.0435e-07      0.23855
_SET1_   2181       2  223725732  223808119    126      10  1000      0.40979      0.32693   -9.0435e-07      0.40979
_SET1_   64284      2  238482965  238499769     85      11  1000       1.5438     0.057601   -9.0435e-07       1.5438
_SET1_   211        3   52232099   52248343     14       2  1000      0.60985      0.26017   -9.0435e-07      0.60985
_SET1_   214        3  105085557  105295757    478      27  1000     -0.46105      0.66576   -9.0435e-07     -0.46105
_SET1_   9819       3  150126101  150177906    100       9  1000      0.17658      0.41521   -9.0435e-07      0.17659
_SET1_   10188      3  195590235  195635880    121      21  1000       0.9605      0.15969   -9.0435e-07       0.9605
_SET1_   10861      4     972861     987228     22       5  1000     -0.21963      0.57442   -9.0435e-07     -0.21963
_SET1_   6452       4    2794750    2842823    142      19  1000     -0.22744      0.57556   -9.0435e-07     -0.22744
_SET1_   7366       4   69512315   69536494     79      18  1000    -0.048303       0.5048   -9.0435e-07    -0.048302
_SET1_   7365       4   69681713   69697741     46       8  1000      0.86074      0.18764   -9.0435e-07      0.86074
_SET1_   6783       4   70706930   70725870     40       8  1000      0.91688      0.17072   -9.0435e-07      0.91689
_SET1_   9693       4  160025224  160281314    370      24  1000       0.4461      0.31437   -9.0435e-07       0.4461
_SET1_   6307       4  166248818  166264316     58      10  1000     -0.84882      0.79184   -9.0435e-07     -0.84882
_SET1_   3248       4  175411328  175444049     98      19  1000       1.6899      0.04224   -9.0435e-07       1.6899
_SET1_   8470       4  186506598  186877870   1413     133  1000      -1.5214      0.93641   -9.0435e-07      -1.5214
_SET1_   6414       5   42799982   42812024     23       4  1000      0.61817       0.2581   -9.0435e-07      0.61817
_SET1_   3157       5   43287572   43313614     40       3  1000     -0.78421      0.77253   -9.0435e-07     -0.78421
_SET1_   51523      5  139028301  139063467     40       5  1000     -0.71548      0.75234   -9.0435e-07     -0.71548
_SET1_   5097       5  141232655  141258361     32      11  1000      0.58515      0.26909   -9.0435e-07      0.58515
_SET1_   2651       6   10521542   10629601    289      23  1000      0.12159      0.43758   -9.0435e-07      0.12159
_SET1_   8341       6   27805544   27821533     19       3  1000       1.4058     0.076379   -9.0435e-07       1.4058
_SET1_   2938       6   52656178   52668664     20       2  1000      0.21203      0.40295   -9.0435e-07      0.21204
_SET1_   3486       7   45951844   45960871     13       4  1000      -1.1028      0.85856   -9.0435e-07      -1.1028
_SET1_   5243       7   87133179   87342639    272      22  1000      -1.0099      0.83515   -9.0435e-07      -1.0099
_SET1_   1595       7   91741463   91764059     37       2  1000   -0.0014836      0.48671   -9.0435e-07   -0.0014827
_SET1_   10165      7   95749532   95951459    180       6  1000      0.98151      0.15353   -9.0435e-07      0.98151
_SET1_   1551       7   99302660   99332853     53       2  1000     -0.04872      0.51197   -9.0435e-07    -0.048719
_SET1_   64598      7  100209725  100213003      5       1  1000      -1.4917      0.92962   -9.0435e-07      -1.4917
_SET1_   51312      8   23386363   23432976    226      18  1000      -1.7204      0.95391   -9.0435e-07      -1.7204
_SET1_   767        8   61101423   61193954    269      19  1000       1.9815     0.021644   -9.0435e-07       1.9815
_SET1_   94241      8   95938200   95961615     38       4  1000       1.4602     0.067482   -9.0435e-07       1.4602
_SET1_   79792      8  144635383  144645232     33       8  1000      -0.6986      0.74679   -9.0435e-07      -0.6986
_SET1_   2875       8  145729465  145732555      2       1  1000      0.46011      0.31415   -9.0435e-07      0.46011
_SET1_   9380       9   37422693   37436990     21       6  1000       2.4329    0.0068875   -9.0435e-07       2.4329
_SET1_   216        9   75515578   75653633    193      20  1000      0.71128      0.22701   -9.0435e-07      0.71128
_SET1_   10912      9   92219913   92221470      3       1  1000      0.53175      0.29474   -9.0435e-07      0.53175
