# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BARIS_THYROID_CANCER_UP (set)
# _SET1_  NGENES = 22
# _SET1_  P-VALUE = 4.11577e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2947      1  110276554  110283660     11       3  1000      0.39324      0.33103   -3.5712e-06      0.39324
_SET1_   2752      1  182350839  182361341     22       3  1000       2.5175    0.0050316   -3.5712e-06       2.5175
_SET1_   5929      1  205055270  205091150     88      10  1000       1.4962     0.059708   -3.5712e-06       1.4962
_SET1_   4179      1  207925383  207968861     69       7  1000      0.02825      0.46329   -3.5712e-06     0.028254
_SET1_   9926      1  211916799  212048531    179      11  1000      0.83275       0.1821   -3.5712e-06      0.83276
_SET1_   88        1  236849754  236927931    245      34  1000       1.3736     0.080268   -3.5712e-06       1.3736
_SET1_   5798      2  220154345  220174295     36       6  1000      0.36091      0.33804   -3.5712e-06      0.36091
_SET1_   6184      3  128338813  128369719     71       6  1000       2.9551    0.0012549   -3.5712e-06       2.9551
_SET1_   1347      6   75947391   75953644      8       2  1000     -0.36659      0.62662   -3.5712e-06     -0.36658
_SET1_   54205     7   25158270   25164980      5       2  1000      0.78606      0.20504   -3.5712e-06      0.78606
_SET1_   4899      7  129251555  129396922    237      22  1000     -0.24156      0.57425   -3.5712e-06     -0.24155
_SET1_   1537      8  145149960  145152428      2       1  1000       2.0486     0.019088   -3.5712e-06       2.0486
_SET1_   1315     11   14479049   14521441     55       4  1000     0.010954      0.46806   -3.5712e-06     0.010958
_SET1_   10963    11   63952206   63972020     35       7  1000       1.7705     0.034136   -3.5712e-06       1.7705
_SET1_   1337     12  120875893  120878545      2       1  1000      -1.7193      0.95449   -3.5712e-06      -1.7193
_SET1_   2073     13  103498191  103528351     62       8  1000       3.5202   0.00017235   -3.5712e-06       3.5202
_SET1_   51382    14   67804581   67826720     54       4  1000     -0.30148      0.59185   -3.5712e-06     -0.30148
_SET1_   2644     15   41056285   41059911      3       1  1000     -0.52382      0.69184   -3.5712e-06     -0.52381
_SET1_   51340    20   20015005   20036690     77       9  1000       1.3779     0.074901   -3.5712e-06       1.3779
_SET1_   8894     20   32676115   32700085     24       5  1000      0.61058      0.25376   -3.5712e-06      0.61058
_SET1_   100      20   43248160   43280376     70      15  1000     0.058559      0.45912   -3.5712e-06     0.058562
_SET1_   468      22   39916569   39918691      1       1  1000      0.43598       0.3258   -3.5712e-06      0.43598
