# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MORI_SMALL_PRE_BII_LYMPHOCYTE_UP (set)
# _SET1_  NGENES = 75
# _SET1_  P-VALUE = 3.56408e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2140       1   28296855   28415173    151      10  1000       1.0828      0.13275   -3.9369e-06       1.0829
_SET1_   79647      1   39456916   39471737     46       5  1000       1.2056      0.10672   -3.9369e-06       1.2056
_SET1_   912        1  158147828  158156217      7       2  1000      -1.0691      0.85013   -3.9369e-06      -1.0691
_SET1_   84824      1  161676762  161684142     22       4  1000      0.48539      0.30079   -3.9369e-06       0.4854
_SET1_   5997       1  192778169  192781407      3       1  1000      0.89032      0.17798   -3.9369e-06      0.89032
_SET1_   7832       1  203274664  203278730     10       4  1000      0.44093      0.31952   -3.9369e-06      0.44094
_SET1_   81559      1  228581373  228594584      9       1  1000      0.50598      0.29605   -3.9369e-06      0.50598
_SET1_   23198      2   54091204   54197977    219      14  1000     -0.43439      0.65764   -3.9369e-06     -0.43439
_SET1_   8446       2   73989325   74007284      9       2  1000    -0.015669      0.49197   -3.9369e-06    -0.015665
_SET1_   26225      2  152657480  152685009     27       4  1000      0.33372       0.3591   -3.9369e-06      0.33372
_SET1_   57007      2  237469424  237491001     22       5  1000    -0.015163      0.49471   -3.9369e-06    -0.015159
_SET1_   2042       3   89156674   89531284    568      20  1000     -0.34108      0.62799   -3.9369e-06     -0.34108
_SET1_   285313     3  151153778  151179272     50       7  1000     -0.27178      0.59466   -3.9369e-06     -0.27178
_SET1_   3592       3  159706623  159713806     12       3  1000       1.4311     0.070878   -3.9369e-06       1.4311
_SET1_   2257       3  191857033  192445388   1452     128  1000      0.21099      0.44458   -3.9369e-06        0.211
_SET1_   768239     4    7432021    7436700     35       7  1000    0.0091991       0.4832   -3.9369e-06    0.0092031
