# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_15Q26_AMPLICON (set)
# _SET1_  NGENES = 21
# _SET1_  P-VALUE = 4.39082e-15
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   91947     15   98503933   98517068     39       8  1000       0.1385      0.42296    2.8004e-06       0.1385
_SET1_   283777    15   98980391   99057611    219      18  1000       1.9624     0.021861    2.8004e-06       1.9624
_SET1_   3480      15   99192272   99507759    702      74  1000       2.7554    0.0028852    2.8004e-06       2.7554
_SET1_   23336     15   99645286   99675800    133      15  1000     -0.55918      0.69358    2.8004e-06     -0.55918
_SET1_   64927     15   99676528   99791431    252      18  1000      0.37912      0.33193    2.8004e-06      0.37912
_SET1_   123355    15   99791567   99930934    355      20  1000      0.64956      0.23968    2.8004e-06      0.64956
_SET1_   4205      15  100106133  100256688    202      16  1000       1.1826      0.10781    2.8004e-06       1.1826
_SET1_   145748    15  100267610  100273766     19       5  1000      0.88909      0.17167    2.8004e-06      0.88909
_SET1_   170691    15  100511643  100882183   1737     114  1000       3.8904   5.1594e-05    2.8004e-06       3.8904
_SET1_   204219    15  100940600  101084925    538      21  1000       2.4992    0.0052084    2.8004e-06       2.4992
_SET1_   55180     15  101109428  101142445    117      11  1000     -0.25551      0.57808    2.8004e-06     -0.25551
_SET1_   140460    15  101142755  101191906     95      11  1000       2.1597     0.013356    2.8004e-06       2.1597
_SET1_   220       15  101419897  101456831     70       9  1000       1.4432     0.066598    2.8004e-06       1.4432
_SET1_   79705     15  101459460  101610317    487      42  1000       2.0414     0.018968    2.8004e-06       2.0414
_SET1_   22856     15  101715928  101792137    200      16  1000       4.2017   1.0321e-05    2.8004e-06       4.2017
_SET1_   55829     15  101811214  101817700     10       4  1000       3.7298   7.5859e-05    2.8004e-06       3.7298
_SET1_   6627      15  101821715  101835481     51       6  1000        4.095   1.6047e-05    2.8004e-06        4.095
_SET1_   5046      15  101844133  102030187    769      91  1000       5.5285   7.4483e-10    2.8004e-06       5.5285
_SET1_   80213     15  102173429  102192594     24       6  1000      0.63272      0.24505    2.8004e-06      0.63271
_SET1_   123283    15  102193955  102264807    116      11  1000      0.62653      0.24674    2.8004e-06      0.62652
_SET1_   390649    15  102358390  102359328      1       1  1000      0.88223       0.1739    2.8004e-06      0.88223

# _SET2_  VARIABLE = REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR (set)
# _SET2_  NGENES = 8
# _SET2_  P-VALUE = 6.9034e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   54936     1   36554453   36559533      7       3  1000       2.7855    0.0022354    2.8004e-06       2.7855
_SET2_   142       1  226548392  226595801    101       7  1000        3.208   0.00053011    2.8004e-06        3.208
_SET2_   5423      8   42195973   42229331     34       3  1000      -0.7824      0.76165    2.8004e-06      -0.7824
_SET2_   8505     10   51026325   51371346    132      12  1000       1.2378     0.097505    2.8004e-06       1.2378
_SET2_   2237     11   61560109   61564716      1       1  1000      0.62437       0.2479    2.8004e-06      0.62436
_SET2_   10038    14   20811773   20826063     55       7  1000       1.7061     0.038566    2.8004e-06       1.7061
_SET2_   328      14   20923290   20925931      2       1  1000      0.48056       0.2941    2.8004e-06      0.48056
_SET2_   3978     19   48618702   48673852    188      12  1000     -0.14082      0.53179    2.8004e-06     -0.14083
