# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN (set)
# _SET1_  NGENES = 39
# _SET1_  P-VALUE = 2.86538e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   11332      1    6324332    6453826    324      17  1000       2.5023    0.0053483    -8.043e-06       2.5024
_SET1_   22883      1    9789079    9884550     85       6  1000       1.5881     0.049651    -8.043e-06       1.5881
_SET1_   23154      1   36023311   36032380     12       3  1000       1.5419     0.055279    -8.043e-06       1.5419
_SET1_   481        1  169075947  169101960    108      18  1000     -0.31067      0.60663    -8.043e-06     -0.31067
_SET1_   55041      2  131862420  131907425     32       2  1000       1.8278     0.029424    -8.043e-06       1.8278
_SET1_   1123       2  175664042  175870671    207      10  1000      0.50973      0.28393    -8.043e-06      0.50974
_SET1_   3488       2  217536828  217560272     42       6  1000      0.42984      0.31471    -8.043e-06      0.42985
_SET1_   79885      3   13521671   13547924     56      16  1000      0.22765        0.396    -8.043e-06      0.22765
_SET1_   5860       4   17488016   17513857     82      10  1000      0.72111      0.21976    -8.043e-06      0.72112
_SET1_   8404       4   88394483   88450798    181      14  1000      0.10897      0.43606    -8.043e-06      0.10898
_SET1_   6414       5   42799982   42812024     23       4  1000     -0.30079      0.59814    -8.043e-06     -0.30079
_SET1_   6678       5  151040657  151066615     57      10  1000      -1.3459       0.9028    -8.043e-06      -1.3459
_SET1_   27430      5  162930070  162946359     35       7  1000      -1.0515      0.84188    -8.043e-06      -1.0515
_SET1_   7941       6   46672053   46703430     40       8  1000      0.10711      0.43813    -8.043e-06      0.10712
_SET1_   2697       6  121756745  121770873     26       5  1000       1.2382     0.098835    -8.043e-06       1.2382
_SET1_   221938     7    4931876    4998844    191      21  1000      0.74182      0.21721    -8.043e-06      0.74183
_SET1_   1191       8   27454434   27472328     35       6  1000     -0.24535      0.57662    -8.043e-06     -0.24534
_SET1_   10397      8  134249414  134309835    164      26  1000   -0.0080863      0.49132    -8.043e-06   -0.0080783
_SET1_   2907       8  145064226  145067596      3       1  1000      -2.3477      0.98942    -8.043e-06      -2.3477
_SET1_   818       10   75572259   75634349     60       5  1000       1.1397      0.11513    -8.043e-06       1.1397
_SET1_   27069     10   85899185   85913311     40       8  1000     0.018111      0.47347    -8.043e-06     0.018119
_SET1_   50632     10  135138928  135150482     16       4  1000       1.1785      0.11014    -8.043e-06       1.1785
_SET1_   1509      11    1773982    1785222     29       5  1000    -0.005553      0.48172    -8.043e-06    -0.005545
_SET1_   1410      11  111779350  111782473      2       1  1000     0.026933      0.47436    -8.043e-06     0.026941
_SET1_   5213      12   48499656   48540187     75       8  1000      -1.0725      0.84546    -8.043e-06      -1.0725
_SET1_   4035      12   57522282   57607142     88      11  1000       1.1008       0.1247    -8.043e-06       1.1008
_SET1_   1634      12   91539035   91576806     35       4  1000     -0.24603      0.57532    -8.043e-06     -0.24602
_SET1_   488       12  110719032  110788898     43       6  1000       1.5007     0.060089    -8.043e-06       1.5007
_SET1_   9445      13   48807274   48836232     34       6  1000      0.56955      0.26758    -8.043e-06      0.56956
_SET1_   57447     14   21484922   21539098    138      38  1000      0.13148      0.44448    -8.043e-06      0.13149
_SET1_   801       14   90863327   90874619     21       5  1000       0.3981      0.32759    -8.043e-06      0.39811
_SET1_   4692      15   23930554   23932450      1       1  1000     -0.20668       0.5707    -8.043e-06     -0.20668
_SET1_   3487      17   38599676   38613982      9       4  1000      0.76004      0.21124    -8.043e-06      0.76005
_SET1_   4905      17   44668035   44834830     74       7  1000       1.9835     0.020652    -8.043e-06       1.9835
_SET1_   1471      20   23608534   23618685     27       2  1000       1.2635     0.092732    -8.043e-06       1.2635
_SET1_   5834      20   25228706   25278648    180      11  1000     -0.29488      0.59367    -8.043e-06     -0.29487
_SET1_   2778      20   57414756   57486250    116      23  1000     -0.38389       0.6376    -8.043e-06     -0.38388
_SET1_   7008      22   41763337   41795332     62       6  1000     -0.30966      0.59953    -8.043e-06     -0.30965
_SET1_   27254     22   41957014   41972670     27       2  1000      0.60505      0.25302    -8.043e-06      0.60505

# _SET2_  VARIABLE = VANTVEER_BREAST_CANCER_METASTASIS_UP (set)
# _SET2_  NGENES = 62
# _SET2_  P-VALUE = 2.8002e-06
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   8659       1   19197924   19229293     97      18  1000     -0.03938      0.50034    -8.043e-06    -0.039372
_SET2_   54896      1   19638740   19658925     58       7  1000       1.1971      0.10515    -8.043e-06       1.1971
_SET2_   2947       1  110276554  110283660     11       3  1000       1.1938      0.10716    -8.043e-06       1.1938
_SET2_   7832       1  203274664  203278730     10       4  1000      0.58155      0.26638    -8.043e-06      0.58156
_SET2_   4148       2   20191813   20212455     38       8  1000      0.83817      0.18775    -8.043e-06      0.83818
_SET2_   84173      2   85581843   85618875     52       9  1000     -0.44954      0.65571    -8.043e-06     -0.44953
_SET2_   91409      2  130896856  130902707     15       3  1000      0.71781      0.22095    -8.043e-06      0.71782
_SET2_   130574     2  150186499  150330662    221      19  1000     -0.78274      0.76977    -8.043e-06     -0.78273
_SET2_   151126     2  180306709  180726232   1175      80  1000      -1.3652       0.9214    -8.043e-06      -1.3652
_SET2_   25924      3   39850405   40301812   1221      52  1000       1.8299     0.034019    -8.043e-06         1.83
_SET2_   51447      3   48725436   48754711     35       4  1000     0.076449      0.44712    -8.043e-06     0.076457
_SET2_   776        3   53529076   53847179    636      66  1000       1.5299     0.066369    -8.043e-06       1.5299
_SET2_   55351      4    5053527    5502728   1767      94  1000       1.3711     0.097584    -8.043e-06       1.3711
_SET2_   5860       4   17488016   17513857     82      10  1000      0.72111      0.21976    -8.043e-06      0.72112
_SET2_   65997      4   53728495   53733002     10       2  1000       1.8602     0.028136    -8.043e-06       1.8602
_SET2_   23158      4  141541936  141677471    255      23  1000       2.1804     0.013225    -8.043e-06       2.1804
_SET2_   8817       5  170846667  170884630     63      10  1000      -1.1938      0.87376    -8.043e-06      -1.1938
_SET2_   57222      5  172261223  172379688    262      38  1000       1.8413     0.031785    -8.043e-06       1.8413
_SET2_   10455      6    4115927    4135831     53       6  1000     -0.70517      0.74189    -8.043e-06     -0.70516
_SET2_   29116      6   16129277   16148479     30       7  1000       -1.653       0.9458    -8.043e-06       -1.653
_SET2_   9601       7  148700154  148725782     61       5  1000     -0.17074      0.54431    -8.043e-06     -0.17073
_SET2_   157574     8   28285925   28347835    135      34  1000     -0.24996      0.59309    -8.043e-06     -0.24996
_SET2_   8840       8  134203282  134243933    105      21  1000     -0.69286      0.74473    -8.043e-06     -0.69285
_SET2_   79792      8  144635383  144645232     33       8  1000     -0.34423      0.61695    -8.043e-06     -0.34422
_SET2_   2203       9   97365415   97402531    133      16  1000      0.44684      0.31133    -8.043e-06      0.44685
_SET2_   56243     10   23983675   24836772   1972     121  1000      0.33907      0.40906    -8.043e-06      0.33908
_SET2_   5949      10   48381487   48390991      9       3  1000      0.37146      0.33893    -8.043e-06      0.37147
_SET2_   57758     11    9041047    9113150    143      29  1000      0.95572      0.16379    -8.043e-06      0.95573
_SET2_   58475     11   60145949   60163427     25       5  1000      0.54207      0.27663    -8.043e-06      0.54208
_SET2_   84866     11  118401803  118417313     36       2  1000      -1.0256      0.83218    -8.043e-06      -1.0256
_SET2_   25875     12   51442082   51454207     30       5  1000       2.0673     0.016993    -8.043e-06       2.0673
_SET2_   3875      12   53342655   53346690      3       2  1000      0.79674      0.20271    -8.043e-06      0.79675
_SET2_   55785     12   95470525   95611240    330      20  1000      0.61378      0.25489    -8.043e-06      0.61379
_SET2_   56994     12  102091417  102122852     75      13  1000        1.131      0.11979    -8.043e-06        1.131
_SET2_   113675    12  113860042  113876081     25       2  1000      0.46682      0.29838    -8.043e-06      0.46683
_SET2_   6926      12  115108059  115121969     22       5  1000       1.9304     0.023852    -8.043e-06       1.9304
_SET2_   35        12  121163544  121177811     37       5  1000      0.36146      0.33856    -8.043e-06      0.36147
_SET2_   196383    12  123899936  123921264     49      10  1000       1.2637        0.095    -8.043e-06       1.2637
_SET2_   2530      14   65877310   66210839    480      20  1000       1.0414      0.13805    -8.043e-06       1.0414
_SET2_   4329      14   74524365   74551196     82       8  1000      0.33089      0.34942    -8.043e-06      0.33089
_SET2_   7043      14   76424440   76449334     34       4  1000      0.49274      0.29164    -8.043e-06      0.49275
_SET2_   85439     14   81726994   81902789    377      27  1000       2.0815     0.017171    -8.043e-06       2.0815
_SET2_   51466     14  100485719  100610573    198      22  1000     -0.24559      0.58241    -8.043e-06     -0.24558
_SET2_   4756      15   73344056   73597547    419      18  1000     -0.73448      0.75284    -8.043e-06     -0.73447
_SET2_   5046      15  101844133  102030187    769      91  1000     -0.62155      0.75395    -8.043e-06     -0.62155
_SET2_   124220    16    2880173    2882285      8       2  1000      0.83536      0.18875    -8.043e-06      0.83537
_SET2_   5193      17   33901814   33905656      5       3  1000       1.5567     0.055396    -8.043e-06       1.5567
_SET2_   163       17   33913918   34053436    257      11  1000       1.9188     0.023885    -8.043e-06       1.9188
_SET2_   79132     17   40253422   40264751     18       2  1000    -0.021935      0.48664    -8.043e-06    -0.021927
_SET2_   146923    17   41132527   41145713      8       2  1000      -0.1888       0.5563    -8.043e-06      -0.1888
_SET2_   5874      18   52385097   52562747    431      23  1000      0.72668      0.22108    -8.043e-06      0.72669
_SET2_   1153      19    1269267    1274809      5       1  1000        1.857     0.028479    -8.043e-06        1.857
_SET2_   199692    19   11708235   11729974     57       4  1000      0.30974      0.35462    -8.043e-06      0.30975
_SET2_   80726     19   18367906   18385319     92       9  1000      0.55387      0.27111    -8.043e-06      0.55388
_SET2_   27113     19   47724079   47736023      5       3  1000     -0.17452      0.55439    -8.043e-06     -0.17451
_SET2_   10859     19   55128384   55149007     87      10  1000        2.553    0.0045863    -8.043e-06        2.553
_SET2_   57593     20    2673524    2740754    188      27  1000      -1.3218        0.902    -8.043e-06      -1.3218
_SET2_   25876     20    3758151    3762113      5       2  1000     -0.23898      0.57767    -8.043e-06     -0.23897
_SET2_   24141     20    9495005    9511171     51       9  1000     -0.20334      0.56141    -8.043e-06     -0.20334
_SET2_   9371      20   30865443   30922814     65       5  1000     -0.78783      0.76619    -8.043e-06     -0.78782
_SET2_   23541     22   30792930   30821291     45       6  1000      -0.6027      0.70811    -8.043e-06     -0.60269
_SET2_   27124     22   31518893   31530683     17       4  1000      0.89968      0.17141    -8.043e-06      0.89969
