# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_SIGNALING_BY_NOTCH3 (set)
# _SET1_  NGENES = 46
# _SET1_  P-VALUE = 7.7386e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   142678     1    1550795    1565990     29       5  1000     0.020353      0.47252   -2.9955e-06     0.020356
_SET1_   26508      1   40089103   40105348     26       9  1000       1.1668      0.11645   -2.9955e-06       1.1668
_SET1_   4904       1   43148060   43168024     20       5  1000     -0.48453      0.67102   -2.9955e-06     -0.48453
_SET1_   51107      1  150237799  150241609      1       1  1000      0.15765       0.4228   -2.9955e-06      0.15765
_SET1_   23385      1  160313063  160328742     28       8  1000       1.0794      0.13378   -2.9955e-06       1.0794
_SET1_   5087       1  164528597  164821067    600      84  1000       0.5834      0.30118   -2.9955e-06       0.5834
_SET1_   5664       1  227057885  227083804     84      10  1000       1.2259      0.10381   -2.9955e-06       1.2259
_SET1_   6233       2   55459039   55462989      7       3  1000      0.19756      0.40655   -2.9955e-06      0.19756
_SET1_   6772       2  191833762  191878976     76      14  1000       1.6231     0.050235   -2.9955e-06       1.6231
_SET1_   8850       3   20081524   20195896    442      33  1000       5.3979    1.185e-21   -2.9955e-06       5.3979
_SET1_   23129      3  129274056  129325582    145      16  1000     -0.82611      0.78966   -2.9955e-06     -0.82611
_SET1_   3280       3  193853931  193856401      2       1  1000       1.5571     0.053996   -2.9955e-06       1.5571
_SET1_   10460      4    1723217    1746905    117       9  1000      -1.3481      0.90295   -2.9955e-06      -1.3481
_SET1_   3516       4   26165077   26436753    410      42  1000      0.27195      0.39191   -2.9955e-06      0.27196
_SET1_   1950       4  110834040  110934118    195      14  1000       1.0428      0.14007   -2.9955e-06       1.0428
_SET1_   55534      4  140637545  141075233    925      95  1000     -0.07424      0.55205   -2.9955e-06    -0.074237
_SET1_   23286      5  167719065  167899308    539      67  1000       1.4089     0.084987   -2.9955e-06       1.4089
_SET1_   54492      5  172068266  172118543    115      16  1000       1.0843      0.13445   -2.9955e-06       1.0843
_SET1_   9794       5  179159833  179208035     67       7  1000       1.2965     0.089058   -2.9955e-06       1.2965
_SET1_   171558     6   42883545   42893583     25       4  1000       1.3338     0.083142   -2.9955e-06       1.3338
_SET1_   2173       6  123100646  123105219     12       4  1000     -0.36718      0.62632   -2.9955e-06     -0.36718
_SET1_   23493      6  126066211  126082415     19       2  1000     -0.87817      0.78917   -2.9955e-06     -0.87817
_SET1_   28514      6  170591288  170599815     17       5  1000     -0.87274      0.80061   -2.9955e-06     -0.87274
_SET1_   1956       7   55086678   55279262    410      58  1000       3.0067    0.0014633   -2.9955e-06       3.0067
_SET1_   23462      8   80676245   80680098      4       2  1000     -0.11889      0.52787   -2.9955e-06     -0.11889
_SET1_   4851       9  139388896  139440238    127      21  1000     -0.27614      0.60126   -2.9955e-06     -0.27614
_SET1_   9148      10  105253735  105352309    204      25  1000     -0.28754      0.60659   -2.9955e-06     -0.28753
_SET1_   84441     11   95711440   96076344    871     107  1000     0.090463      0.49651   -2.9955e-06     0.090466
_SET1_   7316      12  125396192  125399587     13       3  1000     -0.85419      0.79364   -2.9955e-06     -0.85419
_SET1_   9787      14   55614834   55658396     88      10  1000     -0.81767      0.78383   -2.9955e-06     -0.81767
_SET1_   5663      14   73603143   73690399    115      19  1000     -0.23187      0.58857   -2.9955e-06     -0.23187
_SET1_   22938     14   78183942   78227542    129      12  1000    -0.029035      0.49626   -2.9955e-06    -0.029032
_SET1_   3714      14  105607318  105635161     48       5  1000      0.32836      0.35029   -2.9955e-06      0.32837
_SET1_   54567     15   41221531   41231258      5       2  1000       2.2442     0.010611   -2.9955e-06       2.2442
_SET1_   102       15   58887403   59042177    281      14  1000       0.5299      0.28424   -2.9955e-06       0.5299
_SET1_   83464     15   63569749   63601325     56      12  1000      0.58535      0.27299   -2.9955e-06      0.58535
_SET1_   1387      16    3775055    3930121    142      16  1000      -1.1196      0.86601   -2.9955e-06      -1.1196
_SET1_   11060     16   69796187   69975644    383      21  1000      0.73185      0.22038   -2.9955e-06      0.73185
_SET1_   7314      17   16284367   16286059      2       1  1000        1.511     0.053678   -2.9955e-06        1.511
_SET1_   2648      17   40265129   40273382     13       2  1000     -0.45788       0.6567   -2.9955e-06     -0.45788
_SET1_   57534     18   19321290   19450918     87      10  1000       1.2958     0.092231   -2.9955e-06       1.2959
_SET1_   4854      19   15270444   15311792    134      10  1000      0.56321      0.27486   -2.9955e-06      0.56321
_SET1_   7311      19   18674576   18688270     28       2  1000       1.0919      0.12151   -2.9955e-06       1.0919
_SET1_   55851     19   36236478   36238056      3       2  1000      0.04557      0.46533   -2.9955e-06     0.045573
_SET1_   182       20   10618332   10654694     82      18  1000       2.0358     0.020131   -2.9955e-06       2.0358
_SET1_   2033      22   41488614   41576081    128      10  1000       1.1103      0.12407   -2.9955e-06       1.1103
