# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_SIGNALING_BY_BMP (set)
# _SET1_  NGENES = 26
# _SET1_  P-VALUE = 1.05723e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6497      1    2160134    2241652    191      32  1000        1.685       0.0462   -1.6726e-06        1.685
_SET1_   64388     1  240652873  240775462    309      55  1000      0.35161      0.37701   -1.6726e-06      0.35161
_SET1_   27302     2   69092613   69098649      8       2  1000      0.68863      0.23447   -1.6726e-06      0.68864
_SET1_   92        2  148602086  148688396     76       7  1000      0.73218      0.21893   -1.6726e-06      0.73218
_SET1_   659       2  203241033  203432474    248      14  1000       2.5339    0.0050779   -1.6726e-06       2.5339
_SET1_   93        3   38495790   38534633     67       5  1000      0.83134      0.18919   -1.6726e-06      0.83134
_SET1_   11167     3  120113061  120169918    143      17  1000     -0.34454      0.62496   -1.6726e-06     -0.34454
_SET1_   658       4   95679128   96079601   1067      38  1000      0.48947      0.30443   -1.6726e-06      0.48947
_SET1_   7323      4  103715540  103790050    128       4  1000      -1.4149      0.91123   -1.6726e-06      -1.4149
_SET1_   4086      4  146402951  146480328     99      10  1000       2.0873     0.017266   -1.6726e-06       2.0873
_SET1_   9765      5   79703386   79775498    117       4  1000      0.94797      0.15987   -1.6726e-06      0.94797
_SET1_   4090      5  135468536  135518422     94       2  1000       1.4504     0.064327   -1.6726e-06       1.4504
_SET1_   57154     7   98625058   98741743    160      27  1000       2.5028    0.0061495   -1.6726e-06       2.5028
_SET1_   9350      9   14719731   14722715     11       3  1000     -0.36714      0.63424   -1.6726e-06     -0.36713
_SET1_   2658     10   48413092   48416853      7       3  1000     -0.15909      0.55914   -1.6726e-06     -0.15909
_SET1_   7321     10   60094739   60130513     62      10  1000       -1.372      0.91215   -1.6726e-06       -1.372
_SET1_   657      10   88516396   88684945    289      14  1000     -0.22996      0.57531   -1.6726e-06     -0.22996
_SET1_   94       12   52300657   52317145     39       8  1000       1.6367     0.048423   -1.6726e-06       1.6367
_SET1_   269      12   53817594   53825439     19       3  1000      0.86659      0.18592   -1.6726e-06      0.86659
_SET1_   4093     13   37418968   37494409    166      21  1000      0.56139      0.28282   -1.6726e-06      0.56139
_SET1_   4091     15   66994674   67074338    208      27  1000     0.064131       0.4709   -1.6726e-06     0.064133
_SET1_   64750    17   62538400   62658386     82       6  1000     -0.90818      0.81162   -1.6726e-06     -0.90818
_SET1_   4092     18   46446223   46477081     75      17  1000       1.1509      0.12169   -1.6726e-06       1.1509
_SET1_   4089     18   48556583   48611412     36       3  1000       1.0809      0.12874   -1.6726e-06       1.0809
_SET1_   268      19    2249113    2252072      7       3  1000     -0.23836      0.58732   -1.6726e-06     -0.23836
_SET1_   650      20    6748745    6760910     20       5  1000      0.21598      0.40208   -1.6726e-06      0.21598

# _SET2_  VARIABLE = TUOMISTO_TUMOR_SUPPRESSION_BY_COL13A1_UP (set)
# _SET2_  NGENES = 20
# _SET2_  P-VALUE = 1.8221e-06
_SET2_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   6700          1  153028596  153029988      1       1  1000      0.12319       0.4409   -1.6726e-06      0.12319
_SET2_   9045          3   40498783   40503863     10       3  1000      0.12578      0.44101   -1.6726e-06      0.12578
_SET2_   286827        3  160153291  160167626     17       4  1000       1.1982      0.10878   -1.6726e-06       1.1982
_SET2_   10568         4   25656853   25680735     36      11  1000       2.1712     0.014523   -1.6726e-06       2.1712
_SET2_   10605         5   43526369   43557521     49       4  1000      0.65435      0.24011   -1.6726e-06      0.65435
_SET2_   3117          6   32605169   32612152    659      18  1000      0.84799      0.18414   -1.6726e-06      0.84799
_SET2_   3109          6   32902406   32908847      9       3  1000     -0.64636      0.72977   -1.6726e-06     -0.64636
_SET2_   3108          6   32916391   32920900      7       3  1000       1.1306      0.12511   -1.6726e-06       1.1306
_SET2_   1669          8    6793345    6795786      7       2  1000      0.43907      0.31717   -1.6726e-06      0.43908
_SET2_   1667          8    6835171    6837614      3       1  1000       1.7487     0.037455   -1.6726e-06       1.7487
