# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION (set)
# _SET1_  NGENES = 44
# _SET1_  P-VALUE = 3.90744e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   4595       1   45794914   45806142     11       4  1000      -0.5669      0.70979   -3.6547e-06      -0.5669
_SET1_   8290       1  228612546  228613026      1       1  1000       1.6221      0.05294   -3.6547e-06       1.6221
_SET1_   4968       3    9791628    9829468     51       6  1000     -0.18316      0.55876   -3.6547e-06     -0.18316
_SET1_   8930       3  129149787  129159022     19       3  1000       1.3162     0.090606   -3.6547e-06       1.3162
_SET1_   3015       4  100869242  100871512      4       1  1000       0.6507      0.25135   -3.6547e-06      0.65071
_SET1_   55247      4  178230991  178284092    147      26  1000      0.27824      0.38519   -3.6547e-06      0.27824
_SET1_   255626     6   25727137   25727573      4       1  1000       1.4045     0.076712   -3.6547e-06       1.4045
_SET1_   8359       6   26021907   26022278      1       1  1000       2.6495     0.004109   -3.6547e-06       2.6495
_SET1_   8366       6   26027124   26027480      2       1  1000       2.2086     0.012805   -3.6547e-06       2.2086
_SET1_   8335       6   26033320   26033796      2       1  1000      0.87988      0.18598   -3.6547e-06      0.87989
_SET1_   8364       6   26104176   26104565      2       1  1000       0.4598      0.31681   -3.6547e-06       0.4598
_SET1_   8347       6   26113389   26124266     23       4  1000       1.2792     0.094304   -3.6547e-06       1.2792
_SET1_   8334       6   26124370   26139337     42       7  1000        1.088      0.13136   -3.6547e-06       1.0881
_SET1_   3017       6   26157419   26171577     13       3  1000      0.35227      0.35468   -3.6547e-06      0.35228
_SET1_   8344       6   26184024   26184458      2       1  1000     -0.64058      0.73575   -3.6547e-06     -0.64057
_SET1_   3013       6   26199012   26199521      3       1  1000      0.61513      0.26727   -3.6547e-06      0.61514
_SET1_   8343       6   26199787   26200216      2       1  1000      -1.6857      0.95216   -3.6547e-06      -1.6856
_SET1_   8367       6   26204873   26205249      1       1  1000    -0.029163       0.5137   -3.6547e-06     -0.02916
_SET1_   8339       6   26216428   26216872      2       1  1000     -0.83725      0.79848   -3.6547e-06     -0.83725
_SET1_   8361       6   26240654   26241021      1       1  1000     -0.29356       0.6163   -3.6547e-06     -0.29356
_SET1_   8365       6   26281278   26285844     10       3  1000     -0.64533      0.73178   -3.6547e-06     -0.64533
_SET1_   8970       6   27093912   27100743      3       1  1000     -0.44035      0.66459   -3.6547e-06     -0.44035
_SET1_   85236      6   27106072   27114637      3       1  1000      -0.5413      0.70272   -3.6547e-06      -0.5413
_SET1_   8294       6   27106924   27108258      1       1  1000     0.043755       0.4814   -3.6547e-06     0.043758
_SET1_   8340       6   27775257   27775709      2       1  1000       1.3806     0.083497   -3.6547e-06       1.3806
_SET1_   8341       6   27805544   27821533     19       3  1000       1.0512      0.14143   -3.6547e-06       1.0512
_SET1_   8348       6   27861203   27926100      4       1  1000     -0.14611      0.54714   -3.6547e-06     -0.14611
_SET1_   94239      7   44866488   44887725     39       5  1000      -2.0988      0.98044   -3.6547e-06      -2.0988
_SET1_   25913      7  124462440  124570037    261       5  1000       5.3989   3.1106e-10   -3.6547e-06       5.3989
_SET1_   252969     8   11627172   11644854     72      11  1000   -0.0017089      0.48888   -3.6547e-06   -0.0017053
_SET1_   7013       8   73921097   73959987     50       4  1000     -0.31305      0.60466   -3.6547e-06     -0.31305
_SET1_   3014      11  118964580  118966177      3       1  1000       1.6423     0.047458   -3.6547e-06       1.6423
_SET1_   121504    12   14920933   14924093      8       2  1000      -1.4356      0.92019   -3.6547e-06      -1.4356
_SET1_   55766     12   14927270   14930936      9       4  1000     -0.74254      0.76632   -3.6547e-06     -0.74254
_SET1_   23583     12   54574142   54582778     16       2  1000       1.5626     0.054159   -3.6547e-06       1.5626
_SET1_   6996      12  104359593  104382656     84      14  1000     0.084546      0.45769   -3.6547e-06     0.084549
_SET1_   7374      12  109535399  109548798     11       4  1000      0.33559      0.36175   -3.6547e-06      0.33559
_SET1_   26277     14   24703454   24712233      2       1  1000       1.8286       0.0323   -3.6547e-06       1.8286
_SET1_   79661     15   75639331   75647592      5       2  1000      -0.1443      0.54705   -3.6547e-06      -0.1443
_SET1_   4350      16     127018     135850     38       9  1000      0.61552      0.26402   -3.6547e-06      0.61553
_SET1_   4913      16    2089816    2097931      6       2  1000        1.121      0.12825   -3.6547e-06        1.121
_SET1_   65057     16   67691415   67694718      5       2  1000      -1.6772      0.95217   -3.6547e-06      -1.6772
_SET1_   7014      16   69389464   69419891     17       2  1000     0.050206      0.46627   -3.6547e-06     0.050209
_SET1_   54386     16   75681602   75691340     17       4  1000      -1.0921      0.85927   -3.6547e-06      -1.0921
