# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_8P12_P11_AMPLICON (set)
# _SET1_  NGENES = 55
# _SET1_  P-VALUE = 1.34087e-06
_SET1_   GENE     CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   137970     8  35092975  35654068    905      39  1000     -0.13905      0.52623    4.6382e-08     -0.13905
_SET1_   11160      8  37593743  37615319      1       1  1000      0.50121       0.2917    4.6382e-08      0.50121
_SET1_   11212      8  37619680  37637286      7       3  1000      0.43303      0.31522    4.6382e-08      0.43303
_SET1_   25960      8  37654401  37701504     74      18  1000     -0.22827      0.58125    4.6382e-08     -0.22827
_SET1_   55290      8  37701398  37707431      9       2  1000      0.21332        0.392    4.6382e-08      0.21332
_SET1_   80223      8  37716465  37757015     21       6  1000      0.43977        0.314    4.6382e-08      0.43977
_SET1_   137362     8  37791799  37797664      6       1  1000   -0.0015198      0.47251    4.6382e-08   -0.0015198
_SET1_   155        8  37820513  37824184      4       1  1000      0.28924      0.35986    4.6382e-08      0.28924
_SET1_   1978       8  37888020  37917883     25       4  1000      0.32695      0.34903    4.6382e-08      0.32695
_SET1_   9070       8  37962483  37997598     34       3  1000      0.84554      0.17455    4.6382e-08      0.84554
_SET1_   6770       8  38000218  38008783      6       2  1000       1.2103     0.099757    4.6382e-08       1.2103
_SET1_   27257      8  38020839  38034248     19       4  1000     -0.59482      0.70517    4.6382e-08     -0.59482
_SET1_   9530       8  38034106  38070819     44       1  1000     -0.99273      0.81241    4.6382e-08     -0.99273
_SET1_   23259      8  38088861  38120351     18       1  1000     -0.86966      0.78249    4.6382e-08     -0.86966
_SET1_   84513      8  38119035  38126841      4       1  1000      -1.3699      0.90438    4.6382e-08      -1.3699
_SET1_   54904      8  38127217  38239872     88       3  1000     -0.93552      0.79989    4.6382e-08     -0.93552
_SET1_   137994     8  38240041  38267045     24       2  1000     -0.49406      0.66133    4.6382e-08     -0.49406
_SET1_   2260       8  38268656  38326352     64      10  1000       1.5823     0.051515    4.6382e-08       1.5823
