# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS (set)
# _SET1_  NGENES = 35
# _SET1_  P-VALUE = 7.37068e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   55706         1   54231133   54304225     89       6  1000      0.73996      0.20436   -5.9863e-06      0.73997
_SET1_   7175          1  186280784  186344883    113      10  1000       1.6212     0.045236   -5.9863e-06       1.6212
_SET1_   55746         1  229577044  229644088    137       6  1000     -0.48013      0.64931   -5.9863e-06     -0.48012
_SET1_   5903          2  109335902  109402267    113       6  1000     -0.14517      0.52232   -5.9863e-06     -0.14517
_SET1_   129401        2  183982247  184026408    198      18  1000       1.9888     0.019831   -5.9863e-06       1.9888
_SET1_   6396          3   10342613   10362872     53       9  1000       1.0308      0.13944   -5.9863e-06       1.0308
_SET1_   23225         3   13357730   13461819    228      12  1000      0.39895      0.31489   -5.9863e-06      0.39895
_SET1_   3836          3  122140748  122233786    172      15  1000      -1.1778      0.86617   -5.9863e-06      -1.1778
_SET1_   53371         4   77035812   77069668    226       7  1000      0.49884       0.2715   -5.9863e-06      0.49885
_SET1_   291           4  186064417  186071538      8       2  1000      0.54536       0.2836   -5.9863e-06      0.54537
_SET1_   9631          5   37291735   37371228    155      14  1000      0.48277      0.28734   -5.9863e-06      0.48277
_SET1_   9972          6   17615266   17707065    150      15  1000     -0.86274       0.7868   -5.9863e-06     -0.86274
_SET1_   3159          6   34204577   34214008      6       2  1000      0.33696      0.35021   -5.9863e-06      0.33697
_SET1_   348995        6  150045457  150067688     31       2  1000      -0.7764      0.76253   -5.9863e-06     -0.77639
_SET1_   11097         7   23221446   23240630     41       3  1000        1.123      0.11465   -5.9863e-06        1.123
_SET1_   9883          7   72349906   72421979     40       8  1000     0.019987      0.47139   -5.9863e-06     0.019993
_SET1_   100101267     7   75046060   75115565    110      13  1000     0.076407      0.44471   -5.9863e-06     0.076413
_SET1_   23165         7  135242662  135333501    164      20  1000       1.0947      0.12528   -5.9863e-06       1.0947
_SET1_   11168         9   15464064   15511003     77       9  1000       1.2033      0.10023   -5.9863e-06       1.2033
_SET1_   23511         9  131709972  131769375     48       4  1000     -0.63393      0.71614   -5.9863e-06     -0.63392
_SET1_   8021          9  134000948  134110057     75       4  1000       2.0651     0.015982   -5.9863e-06       2.0651
_SET1_   4928         11    3696240    3819022    215      21  1000      0.58725      0.25915   -5.9863e-06      0.58726
_SET1_   23279        11   47799670   47870057    102       8  1000      -0.3273      0.60205   -5.9863e-06     -0.32729
_SET1_   8815         11   65769550   65771617      8       3  1000      -1.7438      0.95723   -5.9863e-06      -1.7438
