# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = JOHANSSON_GLIOMAGENESIS_BY_PDGFB_DN (set)
# _SET1_  NGENES = 21
# _SET1_  P-VALUE = 8.34327e-07
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5590          1    1981909    2116834    431      31  1000       1.7141     0.039703   -2.7904e-06       1.7141
_SET1_   11332         1    6324332    6453826    324      17  1000      -1.0986      0.85314   -2.7904e-06      -1.0985
_SET1_   7781          2   27477440   27501093     28       4  1000      0.71544       0.2282   -2.7904e-06      0.71544
_SET1_   100526767     2   86730553   86948245    327      22  1000      0.38532      0.33269   -2.7904e-06      0.38532
_SET1_   1123          2  175664042  175870671    207      10  1000       1.2919     0.088063   -2.7904e-06       1.2919
_SET1_   131408        3  184053717  184064063     12       5  1000      -1.1399      0.86991   -2.7904e-06      -1.1398
_SET1_   5530          4  101944587  102268655    590      34  1000      0.46651      0.30281   -2.7904e-06      0.46652
_SET1_   27430         5  162930070  162946359     35       7  1000      0.65393      0.24838   -2.7904e-06      0.65393
_SET1_   644150        7   29846170   29956682    277      20  1000      0.37122      0.33825   -2.7904e-06      0.37122
_SET1_   4747          8   24808468   24814383     10       4  1000      0.44552      0.32384   -2.7904e-06      0.44552
_SET1_   90990         8  145691432  145699499      9       2  1000     -0.44725      0.66577   -2.7904e-06     -0.44724
_SET1_   2263         10  123237844  123357972    224      38  1000      -0.3533      0.63796   -2.7904e-06     -0.35329
_SET1_   50632        10  135138928  135150482     16       4  1000       3.0265    0.0011639   -2.7904e-06       3.0265
_SET1_   1500         11   57520756   57586652     67       7  1000      0.40956      0.32631   -2.7904e-06      0.40956
_SET1_   784          12   49208215   49222726     12       4  1000       0.5016      0.30119   -2.7904e-06       0.5016
_SET1_   23416        12   49932834   49952091     30       3  1000       1.4842      0.06431   -2.7904e-06       1.4842
_SET1_   22895        12  113229343  113336686    164      19  1000      0.95534      0.16216   -2.7904e-06      0.95535
_SET1_   7301         15   41851220   41871536     33       6  1000      0.39992      0.33359   -2.7904e-06      0.39992
_SET1_   10776        15   52839384   52861436     54       5  1000       2.0379     0.019039   -2.7904e-06       2.0379
_SET1_   9143         16    2039946    2044276      4       1  1000      0.44115      0.32155   -2.7904e-06      0.44115
_SET1_   84152        17   37783177   37792878     13       3  1000     -0.61377      0.72313   -2.7904e-06     -0.61377
