# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ZEILSTRA_CD44_TARGETS_DN (set)
# _SET1_  NGENES = 9
# _SET1_  P-VALUE = 8.62008e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   8837      2  201980877  202037411     70       5  1000       1.7582     0.034764   -5.7588e-06       1.7582
_SET1_   4671      5   70264310   70320941      6       2  1000      0.54262      0.28095   -5.7588e-06      0.54262
_SET1_   5272      6    2887499    2903546     32      11  1000     -0.15491      0.55386   -5.7588e-06      -0.1549
_SET1_   1616      6   33286335   33290793      7       3  1000     0.090342      0.45019   -5.7588e-06     0.090348
_SET1_   578       6   33540323   33548072     17       4  1000       3.1136   0.00081298   -5.7588e-06       3.1136
_SET1_   834      11  104896235  104905884     35       3  1000     -0.53606      0.68115   -5.7588e-06     -0.53605
_SET1_   51330    16    3070313    3072384      3       1  1000       1.5918     0.051048   -5.7588e-06       1.5918
_SET1_   608      16   12058964   12061925     11       3  1000       2.0424     0.018076   -5.7588e-06       2.0424
_SET1_   5073     16   14529557   14724128    146      11  1000      0.45088      0.30668   -5.7588e-06      0.45088

# _SET2_  VARIABLE = REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES (set)
# _SET2_  NGENES = 11
# _SET2_  P-VALUE = 4.5767e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   4802      1   41157242   41237275    142       9  1000      -2.0514      0.97678   -5.7588e-06      -2.0514
_SET2_   22926     1  161736034  161933860    409      11  1000      0.26134      0.35955   -5.7588e-06      0.26135
_SET2_   4800      6   41040707   41070146     36       5  1000     -0.36314      0.62129   -5.7588e-06     -0.36314
_SET2_   3309      9  127997127  128003666      4       1  1000      0.75764      0.21151   -5.7588e-06      0.75764
_SET2_   1649     12   57910371   57914300      3       1  1000     0.078582      0.44678   -5.7588e-06     0.078588
_SET2_   7184     12  104324112  104341708     61      15  1000       2.5184    0.0055461   -5.7588e-06       2.5184
_SET2_   4801     12  104510858  104532040     20       4  1000       1.4965     0.060733   -5.7588e-06       1.4965
_SET2_   8720     16   84087368   84150517    194      20  1000      0.62858      0.25498   -5.7588e-06      0.62859
_SET2_   811      19   13049414   13055304      3       1  1000        0.354      0.34667   -5.7588e-06        0.354
_SET2_   7494     22   29190548   29196560      6       2  1000      0.45404      0.30648   -5.7588e-06      0.45405
_SET2_   468      22   39916569   39918691      1       1  1000      -1.0449       0.8456   -5.7588e-06      -1.0449

# _SET3_  VARIABLE = REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES (set)
# _SET3_  NGENES = 10
# _SET3_  P-VALUE = 7.6457e-06
_SET3_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET3_   4802      1   41157242   41237275    142       9  1000      -2.0514      0.97678   -5.7588e-06      -2.0514
_SET3_   22926     1  161736034  161933860    409      11  1000      0.26134      0.35955   -5.7588e-06      0.26135
_SET3_   4800      6   41040707   41070146     36       5  1000     -0.36314      0.62129   -5.7588e-06     -0.36314
_SET3_   3309      9  127997127  128003666      4       1  1000      0.75764      0.21151   -5.7588e-06      0.75764
_SET3_   1649     12   57910371   57914300      3       1  1000     0.078582      0.44678   -5.7588e-06     0.078588
_SET3_   7184     12  104324112  104341708     61      15  1000       2.5184    0.0055461   -5.7588e-06       2.5184
_SET3_   4801     12  104510858  104532040     20       4  1000       1.4965     0.060733   -5.7588e-06       1.4965
_SET3_   811      19   13049414   13055304      3       1  1000        0.354      0.34667   -5.7588e-06        0.354
_SET3_   7494     22   29190548   29196560      6       2  1000      0.45404      0.30648   -5.7588e-06      0.45405
_SET3_   468      22   39916569   39918691      1       1  1000      -1.0449       0.8456   -5.7588e-06      -1.0449
