# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = LA_MEN1_TARGETS (set)
# _SET1_  NGENES = 22
# _SET1_  P-VALUE = 5.789e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2152       1   94994732   95007413     18       4  1000       2.4594    0.0057223   -4.6752e-06       2.4594
_SET1_   391059     1  100174206  100232186    210       7  1000     -0.42462      0.63851   -4.6752e-06     -0.42461
_SET1_   4921       1  162602228  162756409    303      22  1000      0.95239      0.16455   -4.6752e-06       0.9524
_SET1_   6004       1  182567758  182573548      4       1  1000      0.99141      0.14465   -4.6752e-06      0.99141
_SET1_   841        2  202098166  202152434    119      18  1000       2.8885    0.0016958   -4.6752e-06       2.8885
_SET1_   3488       2  217536828  217560272     42       6  1000     -0.62436      0.72236   -4.6752e-06     -0.62436
_SET1_   64343      3   28363844   28390915     22       5  1000    -0.059366      0.50117   -4.6752e-06    -0.059362
_SET1_   51170      4   88257691   88312455    163      13  1000     -0.32262      0.60211   -4.6752e-06     -0.32262
_SET1_   8728       5  156822071  157002831    498      27  1000     -0.15734      0.54634   -4.6752e-06     -0.15733
_SET1_   29887      7   26331515   26413949    226      28  1000      0.12653      0.43563   -4.6752e-06      0.12653
_SET1_   9317      10   16478942   16555744    244      18  1000    -0.080011      0.50623   -4.6752e-06    -0.080006
_SET1_   10580     10   97071530   97321171    578      45  1000       1.4062     0.077767   -4.6752e-06       1.4062
_SET1_   112464    11    6340176    6341740      5       3  1000     0.087207       0.4521   -4.6752e-06     0.087212
_SET1_   3678      12   54789045   54813050     17       3  1000      0.43437      0.32145   -4.6752e-06      0.43438
_SET1_   641371    14   74003862   74010503     10       3  1000       1.5562     0.053786   -4.6752e-06       1.5562
_SET1_   8125      15   69070874   69113261     79      15  1000      0.53196      0.28639   -4.6752e-06      0.53197
_SET1_   1381      15   78632666   78640572     12       3  1000     -0.31319      0.60538   -4.6752e-06     -0.31319
_SET1_   26471     16   28548662   28550495      2       1  1000       2.0638     0.017306   -4.6752e-06       2.0638
_SET1_   255877    17    6926368    6933609      8       2  1000     -0.36842      0.63434   -4.6752e-06     -0.36842
_SET1_   3218      17   46689708   46692474      4       2  1000     -0.85352      0.79994   -4.6752e-06     -0.85351
_SET1_   27164     18   76740275   76759770     22       4  1000       2.0271     0.019918   -4.6752e-06       2.0271
_SET1_   1264      19   11649579   11661139     21       5  1000      0.10241      0.44997   -4.6752e-06      0.10241
