# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = TOMIDA_LUNG_CANCER_POOR_SURVIVAL (set)
# _SET1_  NGENES = 5
# _SET1_  P-VALUE = 4.57667e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   92737     2  230222345  230579286    967      92  1000       4.0612   3.1951e-05    -1.379e-06       4.0612
_SET1_   10970    12  106631659  106641713     11       5  1000       1.8371     0.029929    -1.379e-06       1.8371
_SET1_   1603     14   23033807   23058143    132       7  1000       1.6466     0.042596    -1.379e-06       1.6466
_SET1_   1748     17   48046562   48052323     10       2  1000       1.6206     0.046292    -1.379e-06       1.6206
_SET1_   7298     18     657590     673499     75       6  1000      0.39553      0.31868    -1.379e-06      0.39553

# _SET2_  VARIABLE = GUTIERREZ_CHRONIC_LYMPHOCYTIC_LEUKEMIA_UP (set)
# _SET2_  NGENES = 11
# _SET2_  P-VALUE = 4.5331e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   5567      1   84543745   84704181    180      13  1000       2.3315     0.008191    -1.379e-06       2.3315
_SET2_   911       1  158259563  158264564      1       1  1000      0.13097       0.4388    -1.379e-06      0.13097
_SET2_   23175     2   11817705   11967535    367      40  1000       1.1806      0.11555    -1.379e-06       1.1806
_SET2_   3676      2  182321619  182402474    174      17  1000      0.23005      0.38716    -1.379e-06      0.23005
_SET2_   9922      3   12938542   13114652    378      47  1000      0.71965      0.23484    -1.379e-06      0.71965
_SET2_   3512      4   71521258   71532348      3       2  1000       1.3092     0.089615    -1.379e-06       1.3092
_SET2_   2745      5   95149553   95158577     12       4  1000       1.2359     0.098494    -1.379e-06       1.2359
_SET2_   931      11   60223251   60238225     27       5  1000      0.50682       0.2847    -1.379e-06      0.50682
_SET2_   57228    12   51639133   51664202     48       5  1000      0.37426      0.32939    -1.379e-06      0.37427
_SET2_   10154    12   94542499   94701451    424      53  1000      0.21742      0.41673    -1.379e-06      0.21742
_SET2_   5026     17    3575156    3599698     52       6  1000     -0.16929      0.53953    -1.379e-06     -0.16929

# _SET3_  VARIABLE = RATTENBACHER_BOUND_BY_CELF1 (set)
# _SET3_  NGENES = 372
# _SET3_  P-VALUE = 2.362e-06
_SET3_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET3_   984           1    1571100    1590473     34       6  1000      0.99194       0.1462    -1.379e-06      0.99194
_SET3_   63976         1    2985565    3355185   1283     151  1000       1.2872      0.11819    -1.379e-06       1.2872
_SET3_   3604          1    7975931    8003225     35       4  1000      0.20278       0.3943    -1.379e-06      0.20279
