# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = CEBALLOS_TARGETS_OF_TP53_AND_MYC_UP (set)
# _SET1_  NGENES = 20
# _SET1_  P-VALUE = 7.97197e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1491      1   70876901   70905534     56      11  1000      -0.1389      0.54608    -7.701e-06     -0.13889
_SET1_   6675      1  162531296  162570379     53       8  1000     -0.48332      0.67314    -7.701e-06     -0.48331
_SET1_   1604      1  207494817  207534311     56       4  1000     0.016635      0.47056    -7.701e-06     0.016643
_SET1_   6432      2   38970741   38978636      5       1  1000      0.72623       0.2254    -7.701e-06      0.72623
_SET1_   10797     2   74425690   74442425     28       6  1000       0.2078       0.4065    -7.701e-06       0.2078
_SET1_   3336      2  198364721  198368187      3       2  1000       1.9292     0.026721    -7.701e-06       1.9292
_SET1_   2181      2  223725732  223808119    126      10  1000    -0.060816      0.50433    -7.701e-06    -0.060808
_SET1_   2180      4  185676749  185747215    179      19  1000       -0.896      0.80749    -7.701e-06     -0.89599
_SET1_   3638      7  155089486  155101945     39       7  1000     -0.32015      0.61343    -7.701e-06     -0.32014
_SET1_   4609      8  128748315  128753680     11       3  1000      0.65109      0.25136    -7.701e-06      0.65109
_SET1_   10808    13   31710762   31737246     46       5  1000     -0.71757      0.74883    -7.701e-06     -0.71756
_SET1_   4752     13   52706779   52733996     37       3  1000       1.3399     0.081662    -7.701e-06       1.3399
_SET1_   3306     14   65007186   65009955      1       1  1000      0.86021        0.197    -7.701e-06      0.86022
_SET1_   2923     15   44038326   44064804     27       3  1000    -0.064221      0.50776    -7.701e-06    -0.064213
_SET1_   3671     15   74466087   74469212      8       1  1000    -0.089664      0.52046    -7.701e-06    -0.089656
_SET1_   6777     17   40351195   40428478     67       5  1000     -0.22735      0.56831    -7.701e-06     -0.22735
_SET1_   55205    18   56529832   56653709    262      17  1000     -0.43975      0.65287    -7.701e-06     -0.43974
_SET1_   3726     19   12902310   12904125      1       1  1000       1.7417      0.04225    -7.701e-06       1.7417
_SET1_   2354     19   45971253   45978437     18       4  1000       1.7807     0.035109    -7.701e-06       1.7808
_SET1_   4733     22   31795539   31830172     59       9  1000       1.6169      0.04949    -7.701e-06       1.6169
