# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_ION_HOMEOSTASIS (set)
# _SET1_  NGENES = 52
# _SET1_  P-VALUE = 3.10223e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10768     1  110527387  110566364     27       6  1000       1.2424     0.098974   -6.5935e-06       1.2424
_SET1_   845       1  116242624  116311426    302      16  1000      -1.0429       0.8374   -6.5935e-06      -1.0429
_SET1_   476       1  116914802  116948069     50       5  1000      0.35631      0.34233   -6.5935e-06      0.35632
_SET1_   477       1  160085520  160113381     72      14  1000       0.3978      0.32709   -6.5935e-06      0.39781
_SET1_   480       1  160121352  160156767    111      25  1000    -0.025805      0.49358   -6.5935e-06    -0.025798
_SET1_   844       1  160160285  160171676     16       4  1000      0.23945      0.39221   -6.5935e-06      0.23946
_SET1_   481       1  169075947  169101960    108      18  1000       1.1537      0.11466   -6.5935e-06       1.1537
_SET1_   493       1  203595915  203713209    288      35  1000     -0.85475      0.79136   -6.5935e-06     -0.85475
_SET1_   6262      1  237205510  237997288   2366     176  1000       1.3019      0.10682   -6.5935e-06        1.302
_SET1_   2281      2   24272584   24286551     24       5  1000      0.85326      0.18535   -6.5935e-06      0.85326
_SET1_   6546      2   40339286   40739575   1163      66  1000     -0.46092        0.676   -6.5935e-06     -0.46091
_SET1_   3708      3    4535032    4889524    974     129  1000      0.55626      0.30535   -6.5935e-06      0.55627
_SET1_   491       3   10365707   10733131   1063     102  1000     -0.53004      0.71334   -6.5935e-06     -0.53003
_SET1_   483       3  141595424  141645382    149      13  1000       2.2252      0.01122   -6.5935e-06       2.2252
_SET1_   7220      3  142443266  142526730    138      10  1000       1.0436      0.13503   -6.5935e-06       1.0437
_SET1_   817       4  114372188  114683669    690      51  1000     -0.59081      0.71342   -6.5935e-06     -0.59081
_SET1_   815       5  149599054  149669403    140      26  1000       2.2373     0.011222   -6.5935e-06       2.2373
_SET1_   3710      6   33587951   33664351    262      27  1000     -0.32653      0.60935   -6.5935e-06     -0.32652
_SET1_   5350      6  118869442  118881587     15       3  1000       1.2079       0.1075   -6.5935e-06       1.2079
_SET1_   10345     6  123537484  123958428   1095      52  1000       3.1236   0.00083487   -6.5935e-06       3.1236
_SET1_   816       7   44256749   44365230    188      17  1000     -0.64342      0.72215   -6.5935e-06     -0.64341
_SET1_   6717      7   87834430   87856308     29       5  1000      0.94262      0.16192   -6.5935e-06      0.94263
_SET1_   80228     7  102073977  102097268     45       9  1000       2.0722     0.017014   -6.5935e-06       2.0723
_SET1_   444       8   62413115   62627199    414      28  1000      0.05273      0.45877   -6.5935e-06     0.052737
_SET1_   53828    10   43867092   43871783      8       3  1000      0.95198        0.163   -6.5935e-06      0.95199
_SET1_   818      10   75572259   75634349     60       5  1000     -0.41311      0.64117   -6.5935e-06      -0.4131
_SET1_   6786     11    3876933    4114440    493      23  1000     -0.43642       0.6489   -6.5935e-06     -0.43642
_SET1_   3767     11   17406795   17410878      6       2  1000      0.10946       0.4491   -6.5935e-06      0.10946
_SET1_   6588     11  107578101  107582787      4       1  1000     -0.21829      0.58205   -6.5935e-06     -0.21829
_SET1_   486      11  117690790  117699408     32       9  1000      0.44711      0.31211   -6.5935e-06      0.44712
_SET1_   53826    11  117707691  117748201    109      15  1000      0.16246      0.41516   -6.5935e-06      0.16246
_SET1_   10060    12   21950323   22094797    209      20  1000      0.81402      0.19334   -6.5935e-06      0.81403
_SET1_   3709     12   26488285   26986131   1288      76  1000     -0.39911      0.65838   -6.5935e-06      -0.3991
_SET1_   490      12   89981826   90103130    128      16  1000     -0.75915      0.75937   -6.5935e-06     -0.75915
_SET1_   488      12  110719032  110788898     43       6  1000       1.9262     0.024089   -6.5935e-06       1.9262
_SET1_   4842     12  117645921  117799607    386      30  1000      0.88322        0.176   -6.5935e-06      0.88322
_SET1_   84876    12  122064455  122079946     20       3  1000       1.8795     0.027511   -6.5935e-06       1.8795
_SET1_   6547     14   70510934   70655787    393      35  1000      -1.4196      0.91563   -6.5935e-06      -1.4196
_SET1_   801      14   90863327   90874619     21       5  1000      0.36467      0.34311   -6.5935e-06      0.36467
_SET1_   6263     15   33603177   34158304   1797     163  1000      0.87579      0.20728   -6.5935e-06      0.87579
_SET1_   487      16   28889192   28915830     35       6  1000      -1.1004      0.85428   -6.5935e-06      -1.1004
_SET1_   489      17    3827163    3867758    132      14  1000      0.68519      0.22955   -6.5935e-06       0.6852
_SET1_   482      17    7554254    7561089     11       4  1000     -0.19515      0.56572   -6.5935e-06     -0.19515
_SET1_   5566     19   14202500   14228559     25       4  1000       1.7596     0.035586   -6.5935e-06       1.7596
_SET1_   5349     19   35606732   35615228     27       5  1000       1.7752     0.034778   -6.5935e-06       1.7752
_SET1_   5348     19   35629693   35633959      6       1  1000       1.8944     0.028027   -6.5935e-06       1.8944
_SET1_   53822    19   35634154   35645205     22       7  1000       1.6377     0.046817   -6.5935e-06       1.6378
_SET1_   6261     19   38924340   39078204    353      34  1000       0.1736      0.41335   -6.5935e-06      0.17361
_SET1_   478      19   42470628   42498428     11       4  1000      0.84887      0.18929   -6.5935e-06      0.84887
_SET1_   1760     19   46272975   46285815     22       2  1000     -0.11466      0.53155   -6.5935e-06     -0.11465
_SET1_   6543     19   47931274   47975307     78      11  1000      -1.0649      0.84394   -6.5935e-06      -1.0649
_SET1_   7137     19   55663135   55669100     16       5  1000       2.0494     0.018386   -6.5935e-06       2.0494
