# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = GOBERT_CORE_OLIGODENDROCYTE_DIFFERENTIATION (set)
# _SET1_  NGENES = 41
# _SET1_  P-VALUE = 6.35318e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3570       1  154377669  154441926    135      12  1000      0.25748      0.39022    -5.684e-06      0.25748
_SET1_   5997       1  192778169  192781407      3       1  1000       0.4627        0.307    -5.684e-06      0.46271
_SET1_   7135       1  201372895  201390874     31       8  1000      0.98229      0.15943    -5.684e-06       0.9823
_SET1_   9641       1  206643586  206670223     65      15  1000     -0.25964      0.60072    -5.684e-06     -0.25964
_SET1_   57633      3    3841121    3889708    127      16  1000      0.19486      0.41697    -5.684e-06      0.19487
_SET1_   11342      3  149530475  149679926     96      11  1000      0.28137      0.38034    -5.684e-06      0.28138
_SET1_   7368       4  115519611  115598202     89      10  1000       1.4933     0.063748    -5.684e-06       1.4933
_SET1_   133121     4  185009859  185139114    437      46  1000     -0.23731      0.60141    -5.684e-06     -0.23731
_SET1_   900        5  162864573  162872022      6       2  1000      0.49415      0.29912    -5.684e-06      0.49415
_SET1_   9481       6   46620652   46645927     27       4  1000       0.3405      0.35557    -5.684e-06      0.34051
_SET1_   22881      6   90142897   90343553    326      24  1000       1.3485     0.085974    -5.684e-06       1.3485
_SET1_   9053       6  136663419  136871957    232      10  1000      0.29054      0.36466    -5.684e-06      0.29055
_SET1_   9844       7   36892511   37488895   1428     107  1000       2.4035    0.0089384    -5.684e-06       2.4035
_SET1_   1021       7   92234235   92465941    204      25  1000        1.485      0.06794    -5.684e-06        1.485
_SET1_   7586       7   99613204   99642803     27       4  1000     -0.14401      0.54553    -5.684e-06       -0.144
_SET1_   26959      7  106809406  106842974     42       3  1000     -0.28032      0.59289    -5.684e-06     -0.28031
_SET1_   94241      8   95938200   95961615     38       4  1000      0.41014       0.3279    -5.684e-06      0.41015
_SET1_   2131       8  118811602  119124058    635      43  1000      0.91395       0.1787    -5.684e-06      0.91395
_SET1_   10397      8  134249414  134309835    164      26  1000       2.1367     0.016613    -5.684e-06       2.1367
_SET1_   19         9  107543283  107690527    503      59  1000      0.96349      0.17549    -5.684e-06      0.96349
_SET1_   6887       9  108418562  108425393      1       1  1000     0.058068       0.4594    -5.684e-06     0.058073
_SET1_   3371       9  117781854  117880536    265      24  1000      0.11755      0.44983    -5.684e-06      0.11756
_SET1_   10580     10   97071530   97321171    578      45  1000      -1.2758      0.89938    -5.684e-06      -1.2758
_SET1_   64376     10  124750322  124768366     31       5  1000      0.33447      0.35802    -5.684e-06      0.33447
_SET1_   81490     11     450280     491399     78       6  1000     -0.55999      0.69905    -5.684e-06     -0.55999
_SET1_   282679    11   77300680   77321401     37       3  1000       1.3447     0.081697    -5.684e-06       1.3447
_SET1_   85458     11  111797868  111893374     68       7  1000      -1.2814      0.89395    -5.684e-06      -1.2814
_SET1_   57453     11  117298489  117667976   1015      88  1000      0.76854      0.23259    -5.684e-06      0.76855
_SET1_   4978      11  132284875  133402403   2944     236  1000      0.62583      0.27406    -5.684e-06      0.62583
_SET1_   3736      12    5019073    5027422     12       3  1000      0.24519      0.39264    -5.684e-06      0.24519
_SET1_   4938      12  113344739  113357712     23       7  1000       1.2055      0.11031    -5.684e-06       1.2055
_SET1_   84932     14   21927179   21945132     43       4  1000      0.96513      0.15626    -5.684e-06      0.96513
_SET1_   8650      14   73741858   73925288    450      26  1000      0.34348      0.35481    -5.684e-06      0.34349
_SET1_   18        16    8768444    8878432    492      68  1000     -0.44924      0.69192    -5.684e-06     -0.44923
_SET1_   51763     17    1397869    1420182     49       9  1000       1.0908       0.1332    -5.684e-06       1.0908
_SET1_   54828     17   58755172   59470199   1180      48  1000      0.78259      0.20116    -5.684e-06       0.7826
_SET1_   26502     17   80415611   80446143     49       5  1000    -0.016026       0.4926    -5.684e-06     -0.01602
_SET1_   4155      18   74690789   74844774    597      89  1000      0.21604      0.44513    -5.684e-06      0.21604
_SET1_   8455      20    3451665    3631769    376      19  1000      0.42928      0.32153    -5.684e-06      0.42929
_SET1_   57144     20    9518037    9819687    820      65  1000    -0.098977       0.5469    -5.684e-06    -0.098971
_SET1_   1869      20   32263292   32274210      5       2  1000      -1.4053       0.9152    -5.684e-06      -1.4053
