# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = PID_AR_PATHWAY (set)
# _SET1_  NGENES = 59
# _SET1_  P-VALUE = 8.30091e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   984        1    1571100    1590473     34       6  1000       2.1819      0.01283   -7.6267e-07       2.1819
_SET1_   23028      1   23345937   23410184     63       6  1000      0.57365        0.262   -7.6267e-07      0.57365
_SET1_   5052       1   45976707   45988562     40       5  1000       2.0278     0.018617   -7.6267e-07       2.0278
_SET1_   10451      1  108113782  108507545   1048      63  1000      0.40231      0.33589   -7.6267e-07      0.40231
_SET1_   10401      1  145575257  145586546      3       2  1000     -0.71374      0.76181   -7.6267e-07     -0.71374
_SET1_   55818      2   86668271   86719839     72       7  1000     -0.50785      0.67287   -7.6267e-07     -0.50785
_SET1_   2274       2  105977272  106055230    209      33  1000       1.0697      0.13539   -7.6267e-07       1.0697
_SET1_   841        2  202098166  202152434    119      18  1000    -0.057106      0.50478   -7.6267e-07    -0.057105
_SET1_   7520       2  216972381  217071016    204      20  1000       1.6287     0.045743   -7.6267e-07       1.6287
_SET1_   58190      2  219263061  219270664     16       3  1000      0.53397      0.28255   -7.6267e-07      0.53397
_SET1_   1499       3   41236401   41281939     34       2  1000      0.19464      0.39604   -7.6267e-07      0.19465
_SET1_   26060      3   57261765   57307499     59       7  1000      -1.2173       0.8768   -7.6267e-07      -1.2173
_SET1_   7110       3   69068978   69101484     46       5  1000     -0.99446       0.8243   -7.6267e-07     -0.99446
_SET1_   9039       3   69103881   69129524     41       5  1000     -0.85456      0.78648   -7.6267e-07     -0.85456
_SET1_   4117       6   10762956   10838788    115      11  1000     0.094772      0.43829   -7.6267e-07     0.094773
_SET1_   10048      6   13621730   13711796     73       8  1000       1.4483     0.065205   -7.6267e-07       1.4483
_SET1_   896        6   41902671   42016610    286      35  1000      0.52399      0.28837   -7.6267e-07      0.52399
_SET1_   6722       6   43138920   43149244     10       2  1000      0.27209      0.38603   -7.6267e-07      0.27209
_SET1_   24149      6   43303808   43337181     24       4  1000       1.1734      0.11116   -7.6267e-07       1.1734
_SET1_   3092       7   75162619   75368290    561      44  1000      0.49684      0.29602   -7.6267e-07      0.49684
_SET1_   1021       7   92234235   92465941    204      25  1000      0.97136      0.15582   -7.6267e-07      0.97136
_SET1_   4824       8   23536206   23540450      4       1  1000      0.86948       0.1854   -7.6267e-07      0.86948
_SET1_   2185       8   27168999   27316908    339      17  1000      0.43873      0.30076   -7.6267e-07      0.43873
_SET1_   5591       8   48685669   48872743     52       3  1000     -0.74827      0.75489   -7.6267e-07     -0.74827
_SET1_   10499      8   71021997   71316062    342      11  1000      0.24159      0.37137   -7.6267e-07      0.24159
_SET1_   23081      9    6720863    7175648   1777      89  1000      0.73436      0.23144   -7.6267e-07      0.73436
_SET1_   1029       9   21967751   21994490     27       6  1000      0.16793      0.41777   -7.6267e-07      0.16793
_SET1_   2934       9  124030380  124095122    138      13  1000     -0.62501      0.71241   -7.6267e-07     -0.62501
_SET1_   6840      10   29746274   30025864   1028      69  1000     -0.47006      0.67698   -7.6267e-07     -0.47006
_SET1_   8031      10   51565108   51590734     15       3  1000       2.0759     0.017021   -7.6267e-07       2.0759
_SET1_   57178     10   80828751   81076285    643      81  1000     -0.25208      0.61308   -7.6267e-07     -0.25208
_SET1_   595       11   69455873   69469242     19       4  1000     -0.31018      0.60541   -7.6267e-07     -0.31018
_SET1_   2288      12    2904108    2914589      9       3  1000      0.62302      0.26156   -7.6267e-07      0.62302
_SET1_   3178      12   54674480   54680871      3       1  1000      0.50715      0.30151   -7.6267e-07      0.50715
_SET1_   5036      12   56498103   56507694      3       1  1000        1.216      0.11127   -7.6267e-07        1.216
_SET1_   10106     12   58213710   58240747     19       2  1000      0.66069      0.23837   -7.6267e-07      0.66069
_SET1_   5074      12   79985745   80084877     90       7  1000       1.8332     0.029477   -7.6267e-07       1.8332
_SET1_   26524     13   21547175   21635722    219      19  1000      0.49859      0.28828   -7.6267e-07      0.49859
_SET1_   207       14  105235686  105262080     65      15  1000      -0.6198      0.71991   -7.6267e-07      -0.6198
_SET1_   8926      15   25200070   25223729     26       4  1000       2.4894    0.0055998   -7.6267e-07       2.4894
_SET1_   7337      15   25582394   25684190    133       8  1000      -1.0642      0.84026   -7.6267e-07      -1.0642
_SET1_   8554      15   68346572   68483797     99       7  1000     -0.31849      0.59594   -7.6267e-07     -0.31849
_SET1_   7329      16    1357420    1377019     49       7  1000      0.65484      0.23958   -7.6267e-07      0.65484
_SET1_   7041      16   31483476   31489281      3       1  1000       1.4788     0.066994   -7.6267e-07       1.4788
_SET1_   146225    16   66613351   66622178     18       3  1000     -0.35693      0.62677   -7.6267e-07     -0.35693
_SET1_   27043     17    4574679    4607712     85       9  1000     -0.55717      0.69126   -7.6267e-07     -0.55717
_SET1_   5469      17   37560538   37607527     54       3  1000     -0.72334      0.74378   -7.6267e-07     -0.72334
_SET1_   672       17   41196312   41277500    142       4  1000      0.52976      0.26648   -7.6267e-07      0.52976
_SET1_   7050      18    3411925    3458409    124      26  1000       1.1827      0.11272   -7.6267e-07       1.1827
_SET1_   6925      18   52889562   53303252    394      40  1000       1.6478     0.046449   -7.6267e-07       1.6479
_SET1_   51588     19    4007749    4038067    106      11  1000       3.6124   0.00012161   -7.6267e-07       3.6124
_SET1_   10498     19   10982253   11033453     54       5  1000     -0.40218      0.63287   -7.6267e-07     -0.40218
_SET1_   354       19   51358171   51364020     37       8  1000       1.2257      0.10177   -7.6267e-07       1.2257
_SET1_   3817      19   51376689   51383823     25       8  1000     -0.27933      0.59604   -7.6267e-07     -0.27933
_SET1_   23054     20   33302578   33413433    129       8  1000      -1.3863      0.90443   -7.6267e-07      -1.3863
_SET1_   8204      21   16333556   16438224    218      29  1000         2.55     0.004882   -7.6267e-07         2.55
_SET1_   7113      21   42836236   42880085    161      21  1000       1.9454      0.02306   -7.6267e-07       1.9454
_SET1_   23598     22   31721790   31742249     18       5  1000      0.25211       0.3876   -7.6267e-07      0.25211
_SET1_   2547      22   42017250   42060052     70       7  1000      0.48141      0.29801   -7.6267e-07      0.48141

# _SET2_  VARIABLE = NIKOLSKY_BREAST_CANCER_15Q26_AMPLICON (set)
# _SET2_  NGENES = 21
# _SET2_  P-VALUE = 3.4997e-09
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   91947     15   98503933   98517068     39       8  1000      0.88961      0.17445   -7.6267e-07      0.88961
_SET2_   283777    15   98980391   99057611    219      18  1000      -0.9471      0.81188   -7.6267e-07      -0.9471
_SET2_   3480      15   99192272   99507759    702      74  1000      0.15853      0.44517   -7.6267e-07      0.15853
_SET2_   23336     15   99645286   99675800    133      15  1000       1.0433      0.13514   -7.6267e-07       1.0433
_SET2_   64927     15   99676528   99791431    252      18  1000      0.69265       0.2231   -7.6267e-07      0.69265
