# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KIM_MYCN_AMPLIFICATION_TARGETS_DN (set)
# _SET1_  NGENES = 99
# _SET1_  P-VALUE = 7.42705e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5293       1    9711789    9789172    108      20  1000      0.66615      0.25246   -5.4453e-06      0.66616
_SET1_   387597     1  166882441  166944576     53       8  1000        2.118     0.015992   -5.4453e-06        2.118
_SET1_   26750      1  213224588  213446808    129       7  1000     -0.64714      0.72748   -5.4453e-06     -0.64713
_SET1_   51742      1  235330210  235491532    312       7  1000     -0.97482       0.8166   -5.4453e-06     -0.97482
_SET1_   7837       2    1635659    1748291    376      44  1000      0.28131      0.39412   -5.4453e-06      0.28131
_SET1_   729967     2   39103103   39109850     15       3  1000      0.14613      0.43397   -5.4453e-06      0.14614
_SET1_   2034       2   46524541   46613842    193      22  1000    -0.087564      0.52299   -5.4453e-06    -0.087559
_SET1_   51011      2   96068439   96082357      4       1  1000      0.69858      0.23137   -5.4453e-06      0.69858
_SET1_   79031      2  101179418  101193201     33       4  1000      -1.0206      0.83352   -5.4453e-06      -1.0206
_SET1_   84910      2  112812800  112876895    101      15  1000      0.42687      0.32736   -5.4453e-06      0.42687
_SET1_   57669      2  120770604  120936697    194       6  1000     -0.73702      0.75359   -5.4453e-06     -0.73702
_SET1_   25801      2  163200583  163236525     14       5  1000      0.39098      0.35229   -5.4453e-06      0.39098
_SET1_   54431      2  183580768  183644752     79       4  1000       0.8019      0.19583   -5.4453e-06      0.80191
_SET1_   8837       2  201980877  202037411     70       5  1000       0.5631      0.27092   -5.4453e-06      0.56311
_SET1_   580        2  215590370  215674428    288      19  1000      0.41937      0.32441   -5.4453e-06      0.41937
_SET1_   2335       2  216225177  216300890    207      19  1000       1.3856     0.078464   -5.4453e-06       1.3856
_SET1_   56203      3   69156039   69171746     32       4  1000      0.20162      0.43701   -5.4453e-06      0.20162
_SET1_   9666       3  108308337  108413693    118      10  1000      0.44304       0.3157   -5.4453e-06      0.44305
_SET1_   55032      3  112280857  112303286     46       4  1000      0.73063      0.24303   -5.4453e-06      0.73064
_SET1_   205717     3  113367232  113415493     39       2  1000     -0.75948      0.75793   -5.4453e-06     -0.75947
_SET1_   254887     3  113666748  113705706     40       9  1000     -0.64768      0.73372   -5.4453e-06     -0.64768
_SET1_   57577      3  113682984  113775460     76       8  1000     -0.74415      0.76316   -5.4453e-06     -0.74415
_SET1_   8702       3  118930589  118959754     94      12  1000       1.8089     0.034427   -5.4453e-06       1.8089
_SET1_   51300      3  119217324  119243128     81      11  1000     -0.51403      0.69314   -5.4453e-06     -0.51402
_SET1_   2804       3  121382046  121468662    130      12  1000       1.2274        0.106   -5.4453e-06       1.2274
_SET1_   4638       3  123331143  123603149    525      47  1000      0.27471      0.40798   -5.4453e-06      0.27471
_SET1_   64770      3  123616152  123680255    155      14  1000     -0.32986      0.63004   -5.4453e-06     -0.32985
_SET1_   28990      3  130732721  130745698     19       3  1000     -0.24024      0.58385   -5.4453e-06     -0.24024
_SET1_   5523       3  135684515  135866752    221      14  1000      -0.1472      0.54209   -5.4453e-06      -0.1472
_SET1_   80321      3  138213186  138313187    143       7  1000      0.71262      0.22068   -5.4453e-06      0.71262
_SET1_   5922       3  141205891  141334186    114       7  1000     -0.52563      0.68623   -5.4453e-06     -0.52563
_SET1_   7029       3  141663270  141868386    250      17  1000      -1.2144      0.88309   -5.4453e-06      -1.2144
_SET1_   54464      3  142025449  142166904    134       9  1000     -0.11747      0.52956   -5.4453e-06     -0.11747
_SET1_   57018      3  156864291  156878482     25       4  1000      0.37906      0.34526   -5.4453e-06      0.37906
_SET1_   64747      3  158519051  158547508     57      10  1000      0.48705      0.30555   -5.4453e-06      0.48706
_SET1_   23200      3  182511291  182639423    218      10  1000      0.88941      0.17785   -5.4453e-06      0.88942
_SET1_   131583     3  194406622  194409766     11       3  1000      0.40431      0.33351   -5.4453e-06      0.40432
_SET1_   152687     4      53227      88099     46       7  1000      0.45631      0.32439   -5.4453e-06      0.45632
_SET1_   10568      4   25656853   25680735     36      11  1000        1.334      0.09363   -5.4453e-06        1.334
_SET1_   108        5    7396343    7830194    902      67  1000        1.599     0.056363   -5.4453e-06        1.599
_SET1_   8382       5  137450861  137475132     23       3  1000      0.81248      0.19718   -5.4453e-06      0.81248
_SET1_   55776      6   39071840   39082865      9       3  1000      -1.1008      0.85638   -5.4453e-06      -1.1008
_SET1_   22832      6   84833960   84937386    125      12  1000     -0.92598      0.83376   -5.4453e-06     -0.92598
_SET1_   6885       6   91223292   91297020    117      12  1000       1.9517     0.023956   -5.4453e-06       1.9517
_SET1_   8763       6  109687717  109703762     39       5  1000     -0.71715      0.75246   -5.4453e-06     -0.71714
_SET1_   64780      6  109765265  109787171     41       8  1000     -0.89585      0.81232   -5.4453e-06     -0.89585
_SET1_   57480      6  150920999  151164801    744      56  1000      0.92587      0.18268   -5.4453e-06      0.92587
_SET1_   9590       6  151561134  151679694    437      51  1000     -0.90867      0.82262   -5.4453e-06     -0.90867
_SET1_   57492      6  157098980  157531913    695      58  1000         0.25      0.40797   -5.4453e-06         0.25
_SET1_   3696       7   20370345   20455382    241      16  1000    0.0015097       0.4837   -5.4453e-06    0.0015152
_SET1_   23089      7   94285637   94299007     12       3  1000      0.32798      0.37227   -5.4453e-06      0.32798
_SET1_   7991       8   15397596   15624158    776      24  1000      0.98755       0.1494   -5.4453e-06      0.98756
_SET1_   59339      8   38758753   38831431    179      38  1000      0.37099      0.36175   -5.4453e-06        0.371
_SET1_   23213      8   70378859   70573147    406      61  1000       1.1586      0.13003   -5.4453e-06       1.1586
_SET1_   10397      8  134249414  134309835    164      26  1000        1.676     0.046586   -5.4453e-06        1.676
_SET1_   158219     9   15170842   15307358    395      45  1000      0.31408      0.38323   -5.4453e-06      0.31408
_SET1_   10276     10    5454514    5501019     77       6  1000     -0.51793      0.68523   -5.4453e-06     -0.51793
_SET1_   22944     10    7792925    7829990    126      18  1000     0.048914      0.47772   -5.4453e-06      0.04892
_SET1_   57118     10   12391583   12871735   1612     153  1000     0.038135      0.50911   -5.4453e-06      0.03814
_SET1_   10133     10   13141425   13180291     96      17  1000       1.3399      0.08779   -5.4453e-06       1.3399
_SET1_   83641     10   14560556   14816896    854      82  1000      -0.5738       0.7326   -5.4453e-06      -0.5738
_SET1_   648       10   22610139   22620414      1       1  1000       2.0626      0.02626   -5.4453e-06       2.0626
_SET1_   118491    10   75013516   75119425    292       3  1000       1.3694     0.084722   -5.4453e-06       1.3694
_SET1_   63901     11   58910219   58922512     26       3  1000    -0.027531      0.51213   -5.4453e-06    -0.027525
_SET1_   25923     11   63391554   63439533     41       2  1000       2.3185    0.0094286   -5.4453e-06       2.3185
_SET1_   3636      11   71934916   71950191     14       4  1000     -0.10776      0.54663   -5.4453e-06     -0.10776
_SET1_   54477     12   19282626   19529334    568      27  1000       1.4296     0.077483   -5.4453e-06       1.4297
_SET1_   5965      12   21621844   21654603     61       9  1000       1.4061     0.074866   -5.4453e-06       1.4061
_SET1_   3855      12   52626954   52642709     39       7  1000      0.58984      0.26953   -5.4453e-06      0.58984
_SET1_   51643     12   66530717   66563808     73       7  1000     -0.12086      0.53871   -5.4453e-06     -0.12085
_SET1_   144453    12   70037334   70093196    217      16  1000     0.067741      0.45779   -5.4453e-06     0.067746
_SET1_   55266     12   72079878   72097840     22       4  1000       1.3786     0.083294   -5.4453e-06       1.3786
_SET1_   1634      12   91539035   91576806     35       4  1000     -0.32342      0.63465   -5.4453e-06     -0.32342
_SET1_   51019     12  102406717  102455902     59       7  1000      0.26734      0.39083   -5.4453e-06      0.26734
_SET1_   688       13   73629114   73651676     44       9  1000     -0.39289      0.64773   -5.4453e-06     -0.39289
_SET1_   4008      13   76194570   76434006    462      36  1000      0.64253      0.25632   -5.4453e-06      0.64253
_SET1_   84189     13   86366922   86373483      7       2  1000     -0.63703      0.73052   -5.4453e-06     -0.63703
_SET1_   7080      14   36985602   36990894      8       3  1000    -0.082244      0.52837   -5.4453e-06    -0.082239
_SET1_   6095      15   60780483   61521502   1733     189  1000      0.80227      0.22838   -5.4453e-06      0.80227
_SET1_   9187      15   65903618   65953334     69       4  1000     -0.12502      0.54751   -5.4453e-06     -0.12501
_SET1_   80270     16   30995949   31000473      5       2  1000     -0.43026      0.65367   -5.4453e-06     -0.43025
_SET1_   64400     16   53525192   53538323     16       3  1000       1.7351     0.038342   -5.4453e-06       1.7351
_SET1_   79191     16   54317212   54320724      3       2  1000        1.088      0.13704   -5.4453e-06       1.0881
_SET1_   221184    16   57126455   57182281    164      30  1000      0.10346      0.46711   -5.4453e-06      0.10347
_SET1_   51741     16   78133310   79246567   5594     311  1000      0.38851      0.36815   -5.4453e-06      0.38851
_SET1_   9851      17    6481645    6545066    147      12  1000       -1.468      0.92421   -5.4453e-06       -1.468
_SET1_   26022     17   31254928   31268667     29       5  1000     0.021362      0.48895   -5.4453e-06     0.021368
_SET1_   2886      17   37894162   37903538      9       3  1000       1.2854      0.10622   -5.4453e-06       1.2854
_SET1_   1277      17   48261457   48279003     34      10  1000      -0.1455      0.55679   -5.4453e-06     -0.14549
_SET1_   7525      18     721592     812327    216      17  1000      0.82654      0.19692   -5.4453e-06      0.82655
_SET1_   5797      18    7567314    8406859   1804     128  1000      0.42703      0.35437   -5.4453e-06      0.42703
_SET1_   9388      18   47087069   47119278     47       9  1000    0.0020063      0.49242   -5.4453e-06    0.0020117
_SET1_   10362     19    3572936    3579081     10       4  1000      0.31803      0.37734   -5.4453e-06      0.31804
_SET1_   3643      19    7112266    7294011    727      79  1000       -1.172      0.88886   -5.4453e-06       -1.172
_SET1_   284391    19   12175546   12188626     25       3  1000       1.0029      0.15635   -5.4453e-06       1.0029
_SET1_   81931     19   20011722   20046382     75      10  1000       1.6143     0.054737   -5.4453e-06       1.6143
_SET1_   148213    19   23921997   23941693     24       5  1000        3.779   7.0147e-05   -5.4453e-06        3.779
_SET1_   2217      19   50015536   50029685     23       3  1000     -0.37859      0.64979   -5.4453e-06     -0.37859
_SET1_   9582      22   39378352   39388784     18       4  1000      0.35434       0.3507   -5.4453e-06      0.35434
