# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BIOCARTA_IL7_PATHWAY (set)
# _SET1_  NGENES = 16
# _SET1_  P-VALUE = 6.32207e-07
_SET1_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3932     1   32716840   32751766     25       6  1000     -0.77642      0.77856   -8.4101e-06     -0.77641
_SET1_   3716     1   65298906   65432593    242      22  1000       2.8998    0.0018205   -8.4101e-06       2.8998
_SET1_   9111     2  152126982  152146430     60       6  1000       1.1496      0.11618   -8.4101e-06       1.1496
_SET1_   5290     3  178866311  178952500    126       9  1000       0.7175      0.22754   -8.4101e-06      0.71751
_SET1_   3575     5   35856977   35879705     69       6  1000       3.1726   0.00065507   -8.4101e-06       3.1726
_SET1_   5295     5   67511584   67597649    151      25  1000       3.8672   5.4882e-05   -8.4101e-06       3.8672
_SET1_   2534     6  111981535  112194655    443      30  1000     0.022086      0.48874   -8.4101e-06     0.022095
_SET1_   5294     7  106505723  106547592     54      11  1000      0.19982      0.41576   -8.4101e-06      0.19983
_SET1_   2185     8   27168999   27316908    339      17  1000    -0.034906      0.49776   -8.4101e-06    -0.034898
_SET1_   3574     8   79645007   79717758     72       8  1000      0.90398      0.17849   -8.4101e-06      0.90399
_SET1_   1387    16    3775055    3930121    142      16  1000      0.23266      0.41061   -8.4101e-06      0.23267
_SET1_   6777    17   40351195   40428478     67       5  1000     -0.43107       0.6516   -8.4101e-06     -0.43106
_SET1_   6776    17   40439565   40463961     47       5  1000    -0.090886      0.52271   -8.4101e-06    -0.090877
_SET1_   596     18   60790579   60987011    369      61  1000       1.4509     0.080305   -8.4101e-06       1.4509
_SET1_   3718    19   17935591   17958880     58      16  1000      -1.3983      0.91842   -8.4101e-06      -1.3982
_SET1_   2033    22   41488614   41576081    128      10  1000       1.0328      0.14337   -8.4101e-06       1.0328
