# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS (set)
# _SET1_  NGENES = 156
# _SET1_  P-VALUE = 5.81984e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6146       1    6245080    6259679     30       5  1000     -0.61305      0.71927   -6.2052e-06     -0.61304
_SET1_   6135       1   24018269   24022915      3       1  1000       1.1853       0.1113   -6.2052e-06       1.1853
_SET1_   5690       1   36040259   36107445     66       8  1000       1.9346     0.025072   -6.2052e-06       1.9346
_SET1_   6202       1   45241213   45244427      1       1  1000     -0.65007       0.7352   -6.2052e-06     -0.65007
_SET1_   4116       1   53692564   53704282     15       3  1000      0.59301      0.26476   -6.2052e-06      0.59302
_SET1_   23032      1   78161672   78225564     44       6  1000     -0.54546      0.69527   -6.2052e-06     -0.54546
_SET1_   6125       1   93297594   93307481      7       2  1000     -0.25055      0.58593   -6.2052e-06     -0.25054
_SET1_   5686       1  109941653  109969108     32       4  1000     -0.11377       0.5297   -6.2052e-06     -0.11376
_SET1_   9939       1  145507557  145513536      3       2  1000     -0.30161      0.60996   -6.2052e-06      -0.3016
_SET1_   5710       1  151227176  151239955     14       2  1000      0.81836      0.19492   -6.2052e-06      0.81836
_SET1_   5692       1  151372041  151374412      3       1  1000       1.9284     0.024934   -6.2052e-06       1.9284
_SET1_   89884      1  180199433  180244188    159      27  1000      0.31529      0.37579   -6.2052e-06       0.3153
_SET1_   56956      1  197881635  197904606     25       6  1000       2.0611     0.018363   -6.2052e-06       2.0611
_SET1_   6201       2    3622853    3628509     20       4  1000      0.42795      0.32273   -6.2052e-06      0.42796
_SET1_   23198      2   54091204   54197977    219      14  1000     -0.42629      0.65157   -6.2052e-06     -0.42628
_SET1_   6233       2   55459039   55462989      7       3  1000      0.46013      0.31346   -6.2052e-06      0.46013
_SET1_   6160       2  101618691  101636155     35       7  1000       1.8904     0.027509   -6.2052e-06       1.8904
_SET1_   10213      2  162164786  162268228    113      10  1000     -0.54574      0.69527   -6.2052e-06     -0.54573
_SET1_   6168       2  217363520  217366190     12       3  1000    -0.075892       0.5185   -6.2052e-06    -0.075886
_SET1_   5707       2  231921578  232037541    106       7  1000     0.024982       0.4725   -6.2052e-06     0.024988
_SET1_   6161       3   12876444   12883081     21       2  1000     -0.72873      0.75282   -6.2052e-06     -0.72872
_SET1_   6138       3   23958295   23965187      9       3  1000       1.4324     0.071932   -6.2052e-06       1.4324
_SET1_   3921       3   39448204   39454033     32       4  1000       1.2983     0.090456   -6.2052e-06       1.2983
_SET1_   9045       3   40498783   40503863     10       3  1000     -0.37693      0.63594   -6.2052e-06     -0.37692
_SET1_   1605       3   49506136   49573051     79       6  1000    -0.075719      0.51283   -6.2052e-06    -0.075713
_SET1_   9861       3   63996225   64009686     25       6  1000       1.0025      0.15162   -6.2052e-06       1.0025
_SET1_   6092       3   75955845   77699115   4374     201  1000       1.1161      0.14457   -6.2052e-06       1.1161
_SET1_   6091       3   78646388   79817059   1855      65  1000       1.2799     0.095321   -6.2052e-06       1.2799
_SET1_   6152       3  101399934  101405564      5       2  1000     -0.10979      0.53188   -6.2052e-06     -0.10979
_SET1_   200916     3  170582664  170588045     10       2  1000       2.0967      0.01642   -6.2052e-06       2.0967
_SET1_   5708       3  184016886  184026842     10       3  1000      -0.5552      0.70009   -6.2052e-06     -0.55519
_SET1_   1981       3  184032283  184053146     16       5  1000     -0.50376       0.6835   -6.2052e-06     -0.50375
_SET1_   116832     3  186838741  186857263     28       3  1000      0.77232      0.20757   -6.2052e-06      0.77232
_SET1_   22916      3  196662273  196669464     20       4  1000      0.82925      0.19406   -6.2052e-06      0.82926
_SET1_   6165       3  197677023  197682722      9       2  1000       0.1457      0.42874   -6.2052e-06      0.14571
_SET1_   9353       4   20254566   20622184    762      79  1000     -0.38536      0.66898   -6.2052e-06     -0.38536
_SET1_   6133       4   39455744   39460568     14       4  1000      -1.0589      0.84837   -6.2052e-06      -1.0589
_SET1_   6164       4  109541722  109551640      7       2  1000        1.234       0.1024   -6.2052e-06        1.234
_SET1_   6189       4  152020725  152025804      3       2  1000     -0.77704      0.77601   -6.2052e-06     -0.77703
_SET1_   6167       5   40831430   40835387      4       2  1000       1.9013       0.0269   -6.2052e-06       1.9013
_SET1_   3670       5   50678958   50690564     11       2  1000     -0.48247      0.67133   -6.2052e-06     -0.48246
_SET1_   6228       5   81569139   81574235     13       3  1000      0.10661      0.44417   -6.2052e-06      0.10662
_SET1_   2107       5  137841782  137878989     45       7  1000     -0.69897      0.74771   -6.2052e-06     -0.69896
_SET1_   6208       5  149822712  149829351     22       2  1000      0.96897      0.15483   -6.2052e-06      0.96897
_SET1_   51121      5  172385917  172396774     28       5  1000     -0.73324      0.75866   -6.2052e-06     -0.73324
_SET1_   5696       6   32808494   32812712      9       3  1000     -0.11809      0.53532   -6.2052e-06     -0.11809
_SET1_   5698       6   32821927   32827628     15       2  1000     -0.49322      0.67375   -6.2052e-06     -0.49321
_SET1_   6222       6   33239852   33244281      9       2  1000       0.4966      0.29699   -6.2052e-06      0.49661
_SET1_   6204       6   34385231   34393902     11       3  1000      0.21543      0.40269   -6.2052e-06      0.21543
_SET1_   4736       6   35436178   35438558      4       2  1000     -0.36508      0.63292   -6.2052e-06     -0.36507
_SET1_   6206       6  133135708  133142007      8       2  1000     -0.40193      0.64303   -6.2052e-06     -0.40193
_SET1_   5689       6  170844204  170862417     38       3  1000       0.4529      0.30835   -6.2052e-06       0.4529
_SET1_   3199       7   27139973   27142394      1       1  1000      -1.2824       0.8962   -6.2052e-06      -1.2824
_SET1_   5683       7   42956460   42971805     24       2  1000      -1.0903      0.85162   -6.2052e-06      -1.0902
_SET1_   7979       7   96318079   96339203     44       7  1000     -0.51642      0.68624   -6.2052e-06     -0.51641
_SET1_   5701       7  102984852  103009842     24       5  1000      0.80291      0.20272   -6.2052e-06      0.80292
_SET1_   6224       8   56980739   56987140     25       4  1000      0.81401      0.19793   -6.2052e-06      0.81401
_SET1_   6129       8   74202874   74205869      5       2  1000        2.235      0.01177   -6.2052e-06        2.235
_SET1_   6921       8   74857373   74884522     55       5  1000      -2.0531      0.97784   -6.2052e-06       -2.053
_SET1_   6156       8   99053938   99057818      8       2  1000     -0.32979      0.61577   -6.2052e-06     -0.32978
_SET1_   26986      8  101715144  101734969     24       4  1000      -1.0509      0.84489   -6.2052e-06      -1.0509
_SET1_   6132       8  146015152  146017805     12       2  1000      0.49107      0.29874   -6.2052e-06      0.49107
_SET1_   6194       9   19376253   19380272      6       1  1000     -0.73881      0.75741   -6.2052e-06      -0.7388
_SET1_   4686       9  100395705  100436030     76       3  1000     -0.17452      0.54847   -6.2052e-06     -0.17451
_SET1_   5711       9  123578331  123605299     22       3  1000       1.7233     0.038931   -6.2052e-06       1.7233
_SET1_   9355       9  126773889  126795572     44       3  1000      0.77196      0.20569   -6.2052e-06      0.77197
_SET1_   5695       9  127115744  127177752     69       6  1000     0.035243      0.46948   -6.2052e-06     0.035249
_SET1_   11224      9  127620158  127624240      5       2  1000      0.59325      0.26672   -6.2052e-06      0.59325
_SET1_   6136       9  130209953  130213711      7       1  1000       1.6546     0.044638   -6.2052e-06       1.6546
_SET1_   6130       9  136215069  136218280      2       1  1000       1.8801     0.028207   -6.2052e-06       1.8801
_SET1_   8022       9  139088096  139096955     15       4  1000      0.14268      0.43132   -6.2052e-06      0.14268
_SET1_   26019     10   11962021   12085169    189      18  1000      0.62108      0.25945   -6.2052e-06      0.62109
_SET1_   8453      10   35297479   35379570    153       6  1000     -0.87257      0.79349   -6.2052e-06     -0.87257
_SET1_   23053     10   75545334   75561556      5       2  1000     -0.42451      0.65365   -6.2052e-06      -0.4245
