# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = CONRAD_GERMLINE_STEM_CELL (set)
# _SET1_  NGENES = 8
# _SET1_  P-VALUE = 8.30334e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   80705      2   99613724   99771187    277       9  1000      0.12722      0.41961   -2.5958e-06      0.12723
_SET1_   1618       3   16628299   16647006     64       7  1000       1.4975     0.058615   -2.5958e-06       1.4975
_SET1_   11167      3  120113061  120169918    143      17  1000      0.95272      0.15699   -2.5958e-06      0.95273
_SET1_   54514      5   55033845   55112975    149      14  1000      0.67381      0.23167   -2.5958e-06      0.67382
_SET1_   7784       7   76026841   76071388    176      21  1000     -0.66623      0.73186   -2.5958e-06     -0.66623
_SET1_   114960     7  130353486  130372268     34       6  1000       1.5783     0.050017   -2.5958e-06       1.5783
_SET1_   55342      9  125878338  126030855     92      10  1000       1.7751     0.032925   -2.5958e-06       1.7751
_SET1_   9043      17   49039535   49198226    173      14  1000       1.6679     0.041888   -2.5958e-06       1.6679

# _SET2_  VARIABLE = HOLLEMAN_VINCRISTINE_RESISTANCE_ALL_DN (set)
# _SET2_  NGENES = 19
# _SET2_  P-VALUE = 3.0033e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   23400     1   17312453   17338467     33       4  1000       2.1715     0.012402   -2.5958e-06       2.1716
_SET2_   79005     1  151138482  151142773      2       1  1000       0.3289       0.3485   -2.5958e-06       0.3289
_SET2_   3192      1  245013602  245027827     14       4  1000       1.3815     0.074199   -2.5958e-06       1.3815
_SET2_   9168      2   85132763   85133799      1       1  1000       1.3722      0.07693   -2.5958e-06       1.3722
_SET2_   6160      2  101618691  101636155     35       7  1000      0.34856      0.33992   -2.5958e-06      0.34856
_SET2_   6206      6  133135708  133142007      8       2  1000     -0.16751      0.53954   -2.5958e-06      -0.1675
_SET2_   26173     7    1509913    1544018    101       3  1000      0.72151       0.2095   -2.5958e-06      0.72152
_SET2_   6136      9  130209953  130213711      7       1  1000       1.2759     0.088548   -2.5958e-06       1.2759
_SET2_   7431     10   17269934   17279592     13       4  1000     -0.95365      0.81338   -2.5958e-06     -0.95365
_SET2_   6229     10   79793518   79816571     41       5  1000      0.26829      0.36771   -2.5958e-06      0.26829
_SET2_   6181     11     808841     827592     20       5  1000      0.97765      0.14865   -2.5958e-06      0.97766
_SET2_   960      11   35160417   35253949    216      39  1000     -0.54811      0.70232   -2.5958e-06     -0.54811
_SET2_   10235    11   64494383   64512928     22       3  1000       3.5074   0.00017295   -2.5958e-06       3.5074
_SET2_   3146     13   31032877   31191942    342      58  1000      0.43341      0.33677   -2.5958e-06      0.43341
_SET2_   6187     16    2012059    2014827     12       2  1000      0.29926      0.35561   -2.5958e-06      0.29926
_SET2_   6210     16   18794277   18801656      6       2  1000     -0.13933      0.52985   -2.5958e-06     -0.13933
_SET2_   6147     17   27047000   27051374      3       1  1000     -0.29566      0.59159   -2.5958e-06     -0.29565
_SET2_   4831     17   49242796   49249105     10       3  1000     -0.80989      0.77189   -2.5958e-06     -0.80988
_SET2_   51690    19    2321520    2328614     26       5  1000      0.50174      0.28481   -2.5958e-06      0.50175

# _SET3_  VARIABLE = REACTOME_SNRNP_ASSEMBLY (set)
# _SET3_  NGENES = 53
# _SET3_  P-VALUE = 7.3268e-06
