# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = GNATENKO_PLATELET_SIGNATURE (set)
# _SET1_  NGENES = 36
# _SET1_  P-VALUE = 2.47068e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   8407      1  159887897  159895332     10       3  1000       3.2934   0.00047857   -2.8867e-06       3.2934
_SET1_   3020      1  226250408  226259703      5       1  1000    -0.013237      0.50108   -2.8867e-06    -0.013234
_SET1_   7277      2  220114433  220119330      5       1  1000      0.65603      0.25035   -2.8867e-06      0.65603
_SET1_   5757      2  232573235  232578251     11       3  1000    -0.054457       0.5164   -2.8867e-06    -0.054455
_SET1_   2876      3   49394609   49395791      2       1  1000     -0.53199      0.70379   -2.8867e-06     -0.53199
_SET1_   5196      4   74846542   74847841      2       1  1000      0.12529      0.44782   -2.8867e-06       0.1253
_SET1_   6678      5  151040657  151066615     57      10  1000     -0.91191      0.81415   -2.8867e-06      -0.9119
_SET1_   2162      6    6144311    6320924    567      74  1000      -1.3477      0.91681   -2.8867e-06      -1.3477
_SET1_   8334      6   26124370   26139337     42       7  1000     -0.87742      0.80442   -2.8867e-06     -0.87742
_SET1_   3133      6   30457183   30461982      4       2  1000     0.054799      0.47767   -2.8867e-06     0.054802
_SET1_   3107      6   31236526   31239913    161      14  1000     -0.25876      0.59143   -2.8867e-06     -0.25875
_SET1_   60        7    5566779    5570232      9       2  1000     -0.18908      0.56992   -2.8867e-06     -0.18908
_SET1_   1191      8   27454434   27472328     35       6  1000       1.0105       0.1516   -2.8867e-06       1.0105
_SET1_   7094      9   35697334   35732392     27       5  1000      0.54153      0.28794   -2.8867e-06      0.54153
_SET1_   8031     10   51565108   51590734     15       3  1000       1.2507      0.10286   -2.8867e-06       1.2507
_SET1_   6001     10  121259339  121302222    113      17  1000      0.51318      0.29712   -2.8867e-06      0.51319
_SET1_   3043     11    5246696    5248301      5       1  1000      0.43496      0.32776   -2.8867e-06      0.43496
_SET1_   2495     11   61731757   61735132      3       2  1000      0.77948      0.21706   -2.8867e-06      0.77948
_SET1_   1072     11   65622282   65625804     10       2  1000      0.47422      0.31265   -2.8867e-06      0.47422
_SET1_   4900     11  124609829  124617102      7       1  1000       1.5646     0.057185   -2.8867e-06       1.5646
_SET1_   6171     12   56510374   56511616      1       1  1000       1.0284       0.1535   -2.8867e-06       1.0284
_SET1_   4637     12   56552045   56555366      3       1  1000     -0.54358      0.70348   -2.8867e-06     -0.54358
_SET1_   8655     12  120907660  120936298     67       8  1000     -0.27336      0.59819   -2.8867e-06     -0.27335
_SET1_   7316     12  125396192  125399587     13       3  1000      0.64139      0.25427   -2.8867e-06       0.6414
_SET1_   9445     13   48807274   48836232     34       6  1000       1.2565      0.10042   -2.8867e-06       1.2565
_SET1_   27030    14   75480467   75518235     37       2  1000    -0.069281       0.5158   -2.8867e-06    -0.069278
_SET1_   567      15   45003685   45010357      9       3  1000      -1.2466      0.89065   -2.8867e-06      -1.2466
_SET1_   5315     15   72491370   72523901     27       5  1000      0.58569      0.27165   -2.8867e-06       0.5857
_SET1_   6352     17   34198495   34207377     12       2  1000     -0.48703      0.67853   -2.8867e-06     -0.48703
_SET1_   3674     17   42449550   42466873     15       3  1000      0.53087      0.29265   -2.8867e-06      0.53087
_SET1_   10627    18    3247472    3256234     34       4  1000     -0.54245      0.69708   -2.8867e-06     -0.54244
_SET1_   4946     19    2269520    2273487     16       5  1000       1.0817      0.13672   -2.8867e-06       1.0817
_SET1_   11237    20    3912068    3996216    171      11  1000        1.449     0.069007   -2.8867e-06        1.449
_SET1_   2778     20   57414756   57486250    116      23  1000       1.8052     0.035025   -2.8867e-06       1.8052
_SET1_   8940     22   22311397   22337219     64       7  1000    -0.064787      0.51425   -2.8867e-06    -0.064784
_SET1_   7533     22   32340479   32353590     28       4  1000       1.3778     0.080818   -2.8867e-06       1.3778
