# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MARSON_BOUND_BY_E2F4_UNSTIMULATED (set)
# _SET1_  NGENES = 609
# _SET1_  P-VALUE = 4.44684e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54991         1    1017198    1051736    107       9  1000       1.1793      0.11221   -5.7633e-06       1.1793
_SET1_   339448        1    3805697    3816857     35       5  1000     -0.10725      0.52909   -5.7633e-06     -0.10725
_SET1_   261734        1    5922870    6052618    317      13  1000      -1.1872        0.873   -5.7633e-06      -1.1872
_SET1_   8514          1    6052358    6161253    240      40  1000     -0.12829      0.57083   -5.7633e-06     -0.12829
_SET1_   1650          1   20978260   20988037     24       4  1000     -0.17579        0.557   -5.7633e-06     -0.17579
_SET1_   10772         1   24292935   24306953      2       1  1000      0.56163      0.27699   -5.7633e-06      0.56164
_SET1_   115572        1   27331511   27339333      1       1  1000     -0.69594       0.7501   -5.7633e-06     -0.69593
_SET1_   6548          1   27425300   27481621     40       2  1000      0.94031      0.15838   -5.7633e-06      0.94031
_SET1_   6118          1   28218035   28241255     45       2  1000     -0.59391       0.7024   -5.7633e-06     -0.59391
_SET1_   54797         1   28655513   28662478      1       1  1000        0.138       0.4389   -5.7633e-06      0.13801
_SET1_   200081        1   32645293   32663886     14       2  1000     -0.29944      0.59507   -5.7633e-06     -0.29943
_SET1_   204           1   33473541   33502512     22       1  1000    -0.072847      0.50181   -5.7633e-06    -0.072841
_SET1_   79830         1   35525387   35581460     76       8  1000     -0.80357      0.77342   -5.7633e-06     -0.80357
_SET1_   6421          1   35641981   35658766     39       5  1000      0.54074      0.26808   -5.7633e-06      0.54074
_SET1_   63967         1   36185819   36235568     36       4  1000      0.68698       0.2306   -5.7633e-06      0.68698
_SET1_   127700        1   36883507   36916086    135       7  1000     -0.58765       0.7037   -5.7633e-06     -0.58765
_SET1_   54955         1   38147242   38158007     39       4  1000     -0.50723      0.67946   -5.7633e-06     -0.50723
_SET1_   55143         1   38158073   38175391     37       5  1000      -1.0707      0.85023   -5.7633e-06      -1.0706
_SET1_   10465         1   43123706   43142429     23       5  1000     -0.43065      0.65743   -5.7633e-06     -0.43065
_SET1_   991           1   43824626   43828874      3       2  1000      -1.7484      0.95818   -5.7633e-06      -1.7484
_SET1_   112950        1   43849579   43855483      2       1  1000      -1.5653      0.93752   -5.7633e-06      -1.5653
_SET1_   11004         1   45205396   45233439     43       5  1000       1.3711     0.079423   -5.7633e-06       1.3711
_SET1_   4595          1   45794914   45806142     11       4  1000       -1.088      0.85636   -5.7633e-06       -1.088
_SET1_   114034        1   45805342   45809650      1       1  1000      -1.3656        0.911   -5.7633e-06      -1.3656
_SET1_   10420         1   45809555   45956840    187      11  1000    -0.022647      0.49407   -5.7633e-06    -0.022641
_SET1_   25974         1   45965856   45976739     18       4  1000        1.063       0.1376   -5.7633e-06        1.063
_SET1_   4678          1   46049660   46084578     35       3  1000      0.16852       0.4143   -5.7633e-06      0.16853
_SET1_   8438          1   46713367   46744145     19       5  1000    -0.097347      0.52973   -5.7633e-06    -0.097342
_SET1_   6491          1   47715811   47779819    193      15  1000     -0.51412       0.6884   -5.7633e-06     -0.51412
_SET1_   51060         1   52485803   52521843     29       4  1000      0.35833      0.33781   -5.7633e-06      0.35834
_SET1_   91408         1   52521857   52556388     46       4  1000     -0.95234      0.80942   -5.7633e-06     -0.95233
_SET1_   4998          1   52838501   52870143     21       4  1000     -0.13367      0.53665   -5.7633e-06     -0.13367
_SET1_   84950         1   52870219   52883992      7       2  1000     0.046773      0.46628   -5.7633e-06     0.046779
_SET1_   4116          1   53692564   53704282     15       3  1000     -0.69376      0.74574   -5.7633e-06     -0.69375
_SET1_   55706         1   54231133   54304225     89       6  1000      0.39737      0.32751   -5.7633e-06      0.39738
_SET1_   25973         1   55222571   55230226     20       4  1000      0.14287      0.43166   -5.7633e-06      0.14287
_SET1_   7398          1   62901975   62917475     23       2  1000    -0.067995      0.50672   -5.7633e-06     -0.06799
_SET1_   23421         1   63906441   63988944    169      12  1000      0.51002      0.29429   -5.7633e-06      0.51002
_SET1_   55635         1   68939835   68962799     51       7  1000     -0.13344      0.54176   -5.7633e-06     -0.13344
_SET1_   55631         1   70610485   70671361     57       5  1000    0.0055365      0.47915   -5.7633e-06    0.0055423
_SET1_   9295          1   70671365   70717703     38       3  1000      0.54089      0.27449   -5.7633e-06       0.5409
_SET1_   8317          1   91966338   91991321     35       6  1000     -0.30383      0.60919   -5.7633e-06     -0.30383
_SET1_   163786        1  100549100  100598518     47       5  1000       1.3351     0.084159   -5.7633e-06       1.3351
_SET1_   10717         1  114437370  114447741     11       3  1000     -0.40009      0.64524   -5.7633e-06     -0.40009
_SET1_   64858         1  114447915  114456708     10       3  1000     -0.81691      0.78523   -5.7633e-06      -0.8169
_SET1_   81611         1  150190717  150208504     20       4  1000      0.30948      0.36734   -5.7633e-06      0.30948
_SET1_   126626        1  151042784  151091007     80       8  1000        1.825     0.031411   -5.7633e-06        1.825
_SET1_   65123         1  153700526  153746555     45       5  1000      0.72542      0.22264   -5.7633e-06      0.72543
_SET1_   6464          1  154934774  154946959      7       1  1000       1.9051     0.024685   -5.7633e-06       1.9051
_SET1_   80308         1  154955770  154965587      9       1  1000       2.1779     0.011196   -5.7633e-06       2.1779
_SET1_   10712         1  155216996  155225274     19       1  1000     -0.16568      0.53974   -5.7633e-06     -0.16568
_SET1_   10067         1  155225770  155232176      7       1  1000     -0.25887      0.58303   -5.7633e-06     -0.25887
_SET1_   100527963     1  156182779  156213123     72       7  1000       1.9328     0.024602   -5.7633e-06       1.9328
_SET1_   164118        1  156549519  156556562     16       3  1000        1.042      0.13937   -5.7633e-06       1.0421
_SET1_   93183         1  159997462  160001783      3       2  1000      -2.6459      0.99564   -5.7633e-06      -2.6459
_SET1_   5824          1  160246599  160254941      3       1  1000     -0.94961      0.81988   -5.7633e-06      -0.9496
