# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = APPIERTO_RESPONSE_TO_FENRETINIDE_UP (set)
# _SET1_  NGENES = 38
# _SET1_  P-VALUE = 4.76374e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   81669      1    1321091    1334718     16       5  1000   -0.0068696      0.48647   -1.5658e-06   -0.0068681
_SET1_   22887      1   42642210   42801548    195       6  1000      0.10808      0.43271   -1.5658e-06      0.10808
_SET1_   5567       1   84543745   84704181    180      13  1000      0.64516       0.2459   -1.5658e-06      0.64516
_SET1_   3491       1   86046444   86049650      3       1  1000      0.16848      0.40633   -1.5658e-06      0.16848
_SET1_   6814       1  109289285  109352148    154       5  1000       1.0493      0.13263   -1.5658e-06       1.0493
_SET1_   51706      1  202931001  202936404     10       3  1000      -2.3476      0.98919   -1.5658e-06      -2.3476
_SET1_   4811       1  236139130  236228481    239      28  1000       1.3722     0.083126   -1.5658e-06       1.3722
_SET1_   79894      1  249132409  249143716     11       3  1000      0.58067      0.26721   -1.5658e-06      0.58067
_SET1_   2571       2  171673200  171717661     81      10  1000      0.10763      0.44132   -1.5658e-06      0.10763
_SET1_   84812      2  219472488  219501909     42       5  1000    -0.087887       0.5145   -1.5658e-06    -0.087885
_SET1_   4071       3  149086805  149095647     19       3  1000      0.99389      0.14755   -1.5658e-06       0.9939
_SET1_   7037       3  195776155  195809032     95       8  1000      0.22482      0.39184   -1.5658e-06      0.22482
_SET1_   7345       4   41258898   41270446     30       6  1000       1.5941     0.050766   -1.5658e-06       1.5941
_SET1_   23037      5   31639345   32111038   1551     177  1000       1.4752     0.084667   -1.5658e-06       1.4752
_SET1_   3308       5  132387662  132440709    100       6  1000       1.9161     0.024503   -1.5658e-06       1.9161
_SET1_   79616      5  159678666  159739602    152      17  1000       1.0686      0.13749   -1.5658e-06       1.0686
_SET1_   6046       6   32936437   32949282     34      10  1000       0.5411      0.28408   -1.5658e-06       0.5411
_SET1_   10142      7   91570181   91739987    251       4  1000     -0.56295      0.68647   -1.5658e-06     -0.56295
_SET1_   29979      9   86274878   86323168    119      10  1000       0.9423      0.16173   -1.5658e-06       0.9423
_SET1_   23223     10   99116458   99161127    166       5  1000      -0.7609      0.75661   -1.5658e-06      -0.7609
_SET1_   4314      11  102706528  102714342     20       4  1000       2.1567     0.013534   -1.5658e-06       2.1567
_SET1_   3312      11  122928200  122933074     19       5  1000       1.3632     0.080262   -1.5658e-06       1.3632
_SET1_   4256      12   15034115   15038853      6       1  1000     -0.55402      0.68471   -1.5658e-06     -0.55402
_SET1_   55605     12   39687030   39837192    172      11  1000      0.86284      0.18388   -1.5658e-06      0.86284
_SET1_   3854      12   52840435   52845910     16       4  1000     0.034566      0.46548   -1.5658e-06     0.034568
_SET1_   63874     14   23067147   23081265     46      11  1000      0.19756      0.40838   -1.5658e-06      0.19756
_SET1_   10598     14   77924373   77935815     43       5  1000       1.2596     0.094001   -1.5658e-06       1.2596
_SET1_   4643      15   59428168   59665071    587      49  1000       1.0504      0.15064   -1.5658e-06       1.0504
_SET1_   7249      16    2097472    2138713     44      13  1000     -0.51624      0.68811   -1.5658e-06     -0.51624
_SET1_   3687      16   31366488   31394320     35       9  1000       1.2888     0.092044   -1.5658e-06       1.2888
_SET1_   63826     17    2207244    2228553     25       5  1000       1.4608     0.065168   -1.5658e-06       1.4608
_SET1_   6357      17   32683471   32685629      2       1  1000      0.90078      0.16627   -1.5658e-06      0.90078
_SET1_   342979    19   14164179   14172908      7       4  1000      0.63471       0.2516   -1.5658e-06      0.63471
_SET1_   9518      19   18496968   18499986     13       4  1000    -0.067884      0.50718   -1.5658e-06    -0.067882
_SET1_   5704      19   40476912   40487671     24       5  1000    -0.017718      0.49643   -1.5658e-06    -0.017717
_SET1_   91663     19   54369611   54379689     22       5  1000       1.5611     0.054973   -1.5658e-06       1.5611
_SET1_   6385      20   43953928   43977064     72       9  1000     -0.40463      0.64028   -1.5658e-06     -0.40463
_SET1_   5688      20   60711783   60718514     18       3  1000      0.53388      0.27932   -1.5658e-06      0.53388
