# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION (set)
# _SET1_  NGENES = 250
# _SET1_  P-VALUE = 4.21317e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2563       1    1950768    1962192     22       4  1000        1.649     0.045204   -3.3257e-06        1.649
_SET1_   3362       1   19991780   20006055     30       5  1000      0.35692      0.34289   -3.3257e-06      0.35693
_SET1_   3352       1   23518388   23521222      4       2  1000      0.81912      0.19549   -3.3257e-06      0.81912
_SET1_   1269       1   24197005   24285549    251      17  1000     -0.51797      0.68078   -3.3257e-06     -0.51797
_SET1_   5724       1   28473677   28520447     29       4  1000      0.59937      0.25841   -3.3257e-06      0.59938
_SET1_   4985       1   29138654   29190208    140      15  1000     -0.95938      0.81758   -3.3257e-06     -0.95938
_SET1_   3061       1   32083290   32093214     21       3  1000        1.709      0.03931   -3.3257e-06        1.709
_SET1_   2899       1   37261128   37499844    391      39  1000       1.5177     0.059909   -3.3257e-06       1.5177
_SET1_   3953       1   65886335   66103176    537      21  1000     -0.84714      0.78781   -3.3257e-06     -0.84714
_SET1_   5733       1   71318036   71513497    535      38  1000      0.91528      0.16945   -3.3257e-06      0.91528
_SET1_   5737       1   78956728   79006386    117      12  1000     -0.18862      0.55639   -3.3257e-06     -0.18862
_SET1_   23566      1   85279086   85358896    162      34  1000      0.16123      0.41792   -3.3257e-06      0.16123
_SET1_   1901       1  101702305  101707076     10       4  1000       2.4891    0.0058654   -3.3257e-06       2.4891
_SET1_   140        1  112025970  112106602    250      37  1000      -1.2257      0.88176   -3.3257e-06      -1.2257
_SET1_   7252       1  115572445  115576930     15       1  1000     -0.40845      0.63855   -3.3257e-06     -0.40844
_SET1_   1141       1  154540257  154552354     13       4  1000      -1.0976       0.8554   -3.3257e-06      -1.0975
_SET1_   134        1  203096833  203136533     94      18  1000      0.82881       0.1909   -3.3257e-06      0.82881
_SET1_   553        1  206224283  206231482     32       4  1000       1.1883      0.11056   -3.3257e-06       1.1883
_SET1_   1131       1  239549876  240078750   1007      80  1000      -1.3631      0.91013   -3.3257e-06      -1.3631
_SET1_   23620      2   11798304   11810329     20       5  1000       2.0052     0.020268   -3.3257e-06       2.0052
_SET1_   3973       2   48913913   48982880    218      32  1000       1.4966     0.061734   -3.3257e-06       1.4966
_SET1_   2492       2   49189296   49381666    643      26  1000    -0.047491       0.5009   -3.3257e-06    -0.047488
_SET1_   6869       2   75273590   75426645    356      36  1000      -1.1111       0.8569   -3.3257e-06      -1.1111
_SET1_   151        2   96778623   96782281      4       2  1000       1.5177     0.060084   -3.3257e-06       1.5177
_SET1_   6344       2  120197419  120282028    246      24  1000      0.97301      0.15487   -3.3257e-06      0.97301
