# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_LYSOSPHINGOLIPID_AND_LPA_RECEPTORS (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 2.99247e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23566      1   85279086   85358896    162      34  1000       1.5312      0.06412   -4.3865e-06       1.5312
_SET1_   163404     1   99355801   99470449    298      28  1000      0.54845      0.28384   -4.3865e-06      0.54845
_SET1_   9890       1   99729848   99775140     91      11  1000       1.4139     0.073571   -4.3865e-06       1.4139
_SET1_   1901       1  101702305  101707076     10       4  1000      0.30614       0.3761   -4.3865e-06      0.30615
_SET1_   1903       9   91606324   91620070     17       7  1000     -0.30913      0.61272   -4.3865e-06     -0.30912
_SET1_   54886      9  103791031  104087417    702      53  1000        1.093      0.13582   -4.3865e-06       1.0931
_SET1_   1902       9  113635542  113801523    406      28  1000       1.6954     0.041362   -4.3865e-06       1.6954
_SET1_   57121     12    6728001    6745297     19       6  1000       1.7117     0.041607   -4.3865e-06       1.7117
_SET1_   79948     19     812488     821952     43       9  1000     -0.75017       0.7643   -4.3865e-06     -0.75017
_SET1_   8698      19    3178250    3180335      4       2  1000      0.42364      0.32783   -4.3865e-06      0.42364
_SET1_   9294      19   10332109   10341948     16       4  1000      0.19431      0.40894   -4.3865e-06      0.19431
_SET1_   53637     19   10623418   10628668     11       5  1000        1.113      0.12846   -4.3865e-06        1.113
_SET1_   64748     19   11466062   11476374     11       4  1000      0.44962      0.31804   -4.3865e-06      0.44963
_SET1_   9170      19   19734464   19739039      4       1  1000     -0.12105      0.52829   -4.3865e-06     -0.12104
