# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_MITOTIC_SPINDLE_CHECKPOINT (set)
# _SET1_  NGENES = 107
# _SET1_  P-VALUE = 8.41756e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   378708     1   10489944   10510239     47       4  1000       1.6322      0.04329   -4.4469e-06       1.6322
_SET1_   55920      1   17733251   17766250     49       5  1000      0.45265      0.29903   -4.4469e-06      0.45265
_SET1_   10726      1   27248187   27273362     12       3  1000       1.1078      0.12922   -4.4469e-06       1.1078
_SET1_   55143      1   38158073   38175391     37       5  1000      0.80835      0.19354   -4.4469e-06      0.80835
_SET1_   991        1   43824626   43828874      3       2  1000     -0.37759      0.64094   -4.4469e-06     -0.37758
_SET1_   11004      1   45205396   45233439     43       5  1000      0.56961      0.26865   -4.4469e-06      0.56962
_SET1_   23421      1   63906441   63988944    169      12  1000     -0.22222      0.56171   -4.4469e-06     -0.22221
_SET1_   11243      1  156182779  156209868     69       6  1000     0.058956      0.44972   -4.4469e-06     0.058961
_SET1_   83540      1  163291723  163325553    116       9  1000      0.67198      0.22703   -4.4469e-06      0.67198
_SET1_   91687      1  173768688  173794325     39       5  1000       1.8394     0.031453   -4.4469e-06       1.8394
_SET1_   5525       1  212458879  212535205    163      19  1000      0.50572      0.29547   -4.4469e-06      0.50572
_SET1_   25936      1  212899495  212965139    187      10  1000     -0.12079      0.51454   -4.4469e-06     -0.12079
_SET1_   1063       1  214776522  214837914    152      12  1000      0.29796      0.36642   -4.4469e-06      0.29797
_SET1_   55746      1  229577044  229644088    137       6  1000     -0.63689      0.71455   -4.4469e-06     -0.63688
_SET1_   25909      1  247002400  247094726    163      15  1000     -0.81847      0.77476   -4.4469e-06     -0.81847
_SET1_   79172      2   25016175   25045245     67       9  1000      0.80325      0.19494   -4.4469e-06      0.80326
_SET1_   1058       2   27008857   27023935     37       3  1000       0.3977      0.31651   -4.4469e-06      0.39771
_SET1_   7514       2   61705069   61765440     81       5  1000      0.51116      0.27359   -4.4469e-06      0.51116
_SET1_   5903       2  109335902  109402267    113       6  1000       0.7521       0.2065   -4.4469e-06      0.75211
_SET1_   699        2  111395275  111435684     17       1  1000    -0.024574      0.49989   -4.4469e-06     -0.02457
_SET1_   64682      2  112525214  112641765    216      11  1000     -0.18681      0.53844   -4.4469e-06      -0.1868
