# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KEGG_DORSO_VENTRAL_AXIS_FORMATION (set)
# _SET1_  NGENES = 24
# _SET1_  P-VALUE = 2.20765e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   4853       1  120454176  120639880    131      10  1000      0.42688      0.30907   -4.6757e-06      0.42688
_SET1_   56776      1  240255185  240638491   1152      72  1000      0.15711      0.46316   -4.6757e-06      0.15712
_SET1_   6654       2   39208690   39347686    248      10  1000    -0.028276      0.47338   -4.6757e-06    -0.028272
_SET1_   4855       6   32162620   32191844     93      15  1000     -0.42618      0.65385   -4.6757e-06     -0.42618
_SET1_   51513      6   36321998   36355577    111      25  1000      0.20965      0.41022   -4.6757e-06      0.20965
_SET1_   1956       7   55086678   55279262    410      58  1000       2.1343     0.018595   -4.6757e-06       2.1343
_SET1_   55124      8   22132810   22215560    106       6  1000      0.47504      0.29967   -4.6757e-06      0.47504
_SET1_   4851       9  139388896  139440238    127      21  1000     -0.18046      0.56619   -4.6757e-06     -0.18045
_SET1_   143689    11   94279876   94354587    154      15  1000     0.079162      0.45287   -4.6757e-06     0.079167
_SET1_   2113      11  128328656  128457453    222      36  1000     -0.12942      0.55669   -4.6757e-06     -0.12942
_SET1_   2120      12   11802788   12048336    509      70  1000       1.1064      0.15085   -4.6757e-06       1.1064
_SET1_   3845      12   25358180   25403870    116       9  1000      0.67527      0.23551   -4.6757e-06      0.67528
_SET1_   9271      12  130822433  130856877     88      14  1000       1.4617     0.066199   -4.6757e-06       1.4617
_SET1_   6655      14   50583846   50698596    240      15  1000       1.4294     0.069509   -4.6757e-06       1.4294
_SET1_   5604      15   66679182   66783882    162      17  1000       1.0218      0.14426   -4.6757e-06       1.0218
_SET1_   64506     15   83211948   83316762    153      12  1000       1.4656     0.065889   -4.6757e-06       1.4656
_SET1_   5595      16   30125426   30134630      7       3  1000      -0.3971       0.6377   -4.6757e-06     -0.39709
_SET1_   84501     16   89894883   89937727    140      13  1000      0.79111      0.20177   -4.6757e-06      0.79111
_SET1_   2885      17   73314157   73401790    168       7  1000     -0.48428      0.65951   -4.6757e-06     -0.48428
_SET1_   56907     18   12446511   12661456    480      28  1000       3.1836   0.00067717   -4.6757e-06       3.1836
_SET1_   4854      19   15270444   15311792    134      10  1000      0.25722      0.37179   -4.6757e-06      0.25723
_SET1_   2114      21   40177231   40196879     36       7  1000      0.52478      0.28572   -4.6757e-06      0.52479
_SET1_   5594      22   22113946   22221970    175      13  1000      -1.0066       0.8323   -4.6757e-06      -1.0066
_SET1_   440822    22   25115001   25170687    156      16  1000        1.098      0.13004   -4.6757e-06        1.098
