# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION (set)
# _SET1_  NGENES = 120
# _SET1_  P-VALUE = 4.91282e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   832        1   19665267   19812066    435      20  1000     -0.77545      0.76415    -2.621e-06     -0.77545
_SET1_   11004      1   45205396   45233439     43       5  1000      -1.6493      0.94809    -2.621e-06      -1.6493
_SET1_   829        1  113162075  113214241     58       6  1000      0.48709      0.30172    -2.621e-06      0.48709
_SET1_   1520       1  150702672  150738433     42       4  1000      0.44969      0.31435    -2.621e-06       0.4497
_SET1_   1513       1  150768684  150780917      9       3  1000      0.13759      0.44041    -2.621e-06       0.1376
_SET1_   22920      1  169890461  170043882    178      19  1000      0.26349      0.38592    -2.621e-06      0.26349
_SET1_   26052      1  171810618  172387606   1203      58  1000     -0.14902      0.53389    -2.621e-06     -0.14901
_SET1_   1510       1  206317459  206332104     21       3  1000      0.68783      0.24051    -2.621e-06      0.68784
_SET1_   375        1  228270361  228286913     18       4  1000     -0.54795      0.70558    -2.621e-06     -0.54794
_SET1_   3797       2   26149455   26205443    114      15  1000      0.12767       0.4417    -2.621e-06      0.12767
_SET1_   1639       2   74588281   74619214     31       6  1000      0.18504      0.42717    -2.621e-06      0.18505
_SET1_   10120      2   98272402   98280561     12       3  1000      0.71577      0.23358    -2.621e-06      0.71577
_SET1_   112714     2  130949318  130956034     12       2  1000    -0.038926      0.50653    -2.621e-06    -0.038923
_SET1_   113457     2  132233580  132240507     22       2  1000      -1.3709      0.91318    -2.621e-06      -1.3709
_SET1_   1781       2  172543919  172606668     72       7  1000     0.096366      0.44986    -2.621e-06     0.096368
_SET1_   7277       2  220114433  220119330      5       1  1000     0.010673      0.49748    -2.621e-06     0.010675
_SET1_   130340     2  224616403  224702319    321      21  1000      0.71812      0.22233    -2.621e-06      0.71813
_SET1_   6396       3   10342613   10362872     53       9  1000      0.88835      0.18185    -2.621e-06      0.88835
_SET1_   51143      3   32567463   32612373     57       8  1000     -0.93368      0.82039    -2.621e-06     -0.93368
_SET1_   56992      3   44803209   44894748     70       6  1000      0.71516      0.22595    -2.621e-06      0.71516
_SET1_   7879       3  128444975  128533641    125      11  1000      0.79945      0.20564    -2.621e-06      0.79945
_SET1_   1173       3  183892634  183901879     13       3  1000     -0.96577      0.82765    -2.621e-06     -0.96577
_SET1_   22872      4   83739814   83812419    157       8  1000      -1.1859      0.87302    -2.621e-06      -1.1859
_SET1_   1062       4  104026963  104119566    144       8  1000      0.53146      0.28338    -2.621e-06      0.53146
_SET1_   10427      4  110354969  110461615    153       8  1000      0.35167      0.35164    -2.621e-06      0.35168
_SET1_   9871       4  119643978  119759838    149      13  1000     -0.30453      0.60462    -2.621e-06     -0.30453
_SET1_   1519       4  156845270  156875048     96      15  1000    0.0087646      0.48844    -2.621e-06    0.0087672
_SET1_   3796       5   61601989   61683011    150      10  1000      0.67483      0.23731    -2.621e-06      0.67483
_SET1_   11127      5  132028323  132073265     75       5  1000      0.82006      0.19678    -2.621e-06      0.82006
_SET1_   51128      5  133936839  133968533     10       3  1000       2.0406     0.020591    -2.621e-06       2.0406
_SET1_   10802      5  133984472  134063601     40       7  1000        1.539     0.060681    -2.621e-06        1.539
_SET1_   10112      5  137514408  137523404      4       1  1000   -0.0015103      0.49544    -2.621e-06   -0.0015077
_SET1_   972        5  149781200  149792543     14       5  1000       3.3817   0.00036653    -2.621e-06       3.3817
_SET1_   51164      5  150088309  150138657     80       2  1000       1.7674     0.036492    -2.621e-06       1.7674
_SET1_   285643     5  154393260  154397685      3       1  1000     -0.80902      0.79037    -2.621e-06     -0.80902
_SET1_   821        5  179125019  179158642     53       6  1000      -0.0762      0.51741    -2.621e-06    -0.076198
_SET1_   7280       6    3153900    3157783      5       2  1000      0.64594      0.25702    -2.621e-06      0.64595
_SET1_   347733     6    3224495    3227968      4       2  1000       1.1659      0.12097    -2.621e-06       1.1659
_SET1_   3122       6   32407619   32412823     50       7  1000       2.5724    0.0046658    -2.621e-06       2.5724
_SET1_   3127       6   32485151   32498006    580      18  1000      0.34321      0.33948    -2.621e-06      0.34321
_SET1_   3123       6   32546546   32557613    567      20  1000      0.36774      0.33225    -2.621e-06      0.36774
_SET1_   3117       6   32605169   32612152    659      18  1000        1.706     0.037256    -2.621e-06        1.706
_SET1_   3119       6   32627241   32634466    630      24  1000      0.34712      0.34042    -2.621e-06      0.34713
_SET1_   3118       6   32709156   32714664     94      12  1000      -1.0329      0.84358    -2.621e-06      -1.0329
_SET1_   3120       6   32723837   32731330     55       4  1000      -0.3195      0.61028    -2.621e-06      -0.3195
_SET1_   3112       6   32780540   32784825     26       6  1000      0.12498      0.44483    -2.621e-06      0.12498
_SET1_   3109       6   32902406   32908847      9       3  1000     0.034205      0.47989    -2.621e-06     0.034208
_SET1_   3108       6   32916391   32920900      7       3  1000     0.051032      0.48099    -2.621e-06     0.051034
_SET1_   3111       6   32971959   32977389     38      10  1000       0.7486      0.22257    -2.621e-06       0.7486
_SET1_   3113       6   33032346   33048555    371      10  1000     -0.52401      0.67968    -2.621e-06       -0.524
_SET1_   3115       6   33043703   33057473    281      12  1000     -0.77463      0.76505    -2.621e-06     -0.77462
_SET1_   89953      6   43027372   43042833     20       3  1000      -1.3968      0.91722    -2.621e-06      -1.3968
_SET1_   1780       7   95401818   95739634    742      64  1000      0.11716      0.44362    -2.621e-06      0.11716
_SET1_   1174       7  100797685  100804557     28       4  1000        2.032     0.019897    -2.621e-06        2.032
_SET1_   830        7  116502533  116559315     68       6  1000       -1.534      0.93408    -2.621e-06       -1.534
_SET1_   1508       8   11700033   11725646     95      11  1000       -1.229      0.88436    -2.621e-06       -1.229
_SET1_   10671      8   30013813   30041155     39       5  1000     -0.45145      0.67002    -2.621e-06     -0.45145
_SET1_   6456       9   17578953   17797122    898      51  1000      0.25395      0.38076    -2.621e-06      0.25395
_SET1_   11258      9   34613542   34620520      5       2  1000       1.2551      0.10426    -2.621e-06       1.2551
_SET1_   1211       9   36190853   36212059     40       6  1000       -1.001      0.83926    -2.621e-06       -1.001
_SET1_   1514       9   90340974   90346384      6       3  1000       1.2249      0.10925    -2.621e-06       1.2249
_SET1_   1515       9   99791959   99801925      9       1  1000     -0.94916      0.82523    -2.621e-06     -0.94916
_SET1_   1759       9  130965634  131017528     99      15  1000     0.090093      0.45669    -2.621e-06     0.090096
_SET1_   10383      9  140135711  140138159      2       1  1000       0.6964      0.24989    -2.621e-06       0.6964
_SET1_   347688    10      92828      95178     11       4  1000      0.59284      0.27095    -2.621e-06      0.59284
_SET1_   79861     10    5435061    5446793     33       4  1000     -0.39092       0.6435    -2.621e-06     -0.39091
_SET1_   3799      10   32297938   32345371     74       7  1000      0.45261      0.31498    -2.621e-06      0.45261
_SET1_   9632      10   75504039   75531933     26       3  1000     -0.30734      0.61261    -2.621e-06     -0.30734
_SET1_   3832      10   94352825   94415152    161      13  1000      0.82666      0.19694    -2.621e-06      0.82666
_SET1_   10121     10  104238986  104262580     67       4  1000     0.001668      0.48344    -2.621e-06    0.0016706
_SET1_   161       11     925809    1012245    254       7  1000      0.87883      0.17276    -2.621e-06      0.87884
_SET1_   1509      11    1773982    1785222     29       5  1000     -0.27588       0.6039    -2.621e-06     -0.27588
_SET1_   81930     11   28042163   28129746     77       7  1000      0.89362      0.17767    -2.621e-06      0.89362
_SET1_   64837     11   66024765   66035332     10       2  1000       0.7208      0.22995    -2.621e-06      0.72081
_SET1_   8722      11   66330935   66336047     11       3  1000     0.061907      0.47074    -2.621e-06     0.061909
_SET1_   6712      11   66449967   66496716     17       6  1000       1.5738     0.056698    -2.621e-06       1.5738
_SET1_   1075      11   88026760   88070941    126      14  1000      -0.3306      0.61854    -2.621e-06      -0.3306
_SET1_   3902      12    6881670    6887621      9       4  1000      0.77608      0.21602    -2.621e-06      0.77608
_SET1_   93661     12   18891045   18892122      1       1  1000      0.60464       0.2748    -2.621e-06      0.60464
_SET1_   10376     12   49521565   49525304      7       1  1000       0.5148      0.29559    -2.621e-06       0.5148
