# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = HASLINGER_B_CLL_WITH_CHROMOSOME_12_TRISOMY (set)
# _SET1_  NGENES = 20
# _SET1_  P-VALUE = 3.53459e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   11243     1  156182779  156209868     69       6  1000       1.5901     0.046489    -4.506e-06       1.5901
_SET1_   3512      4   71521258   71532348      3       2  1000     -0.35422      0.63734    -4.506e-06     -0.35421
_SET1_   10670     9   19049372   19051023      2       1  1000        2.005     0.021501    -4.506e-06        2.005
_SET1_   7414     10   75757836   75879918    203      18  1000       1.8992     0.025592    -4.506e-06       1.8992
_SET1_   10445    12   49952077   49961928      6       1  1000     -0.47705      0.66682    -4.506e-06     -0.47705
_SET1_   3071     12   54891495   54936899     68      17  1000     0.087066       0.4543    -4.506e-06      0.08707
_SET1_   8914     12   56810157   56843200     87       7  1000       1.4427      0.06238    -4.506e-06       1.4427
_SET1_   8445     12   68042512   68056444     27       6  1000       1.2985     0.086547    -4.506e-06       1.2985
_SET1_   11010    12   75874513   75895716     44       5  1000     -0.56564      0.68371    -4.506e-06     -0.56564
_SET1_   4618     12   81101408   81103257      4       1  1000      0.74904      0.20665    -4.506e-06      0.74904
_SET1_   490      12   89981826   90103130    128      16  1000       2.0102      0.02009    -4.506e-06       2.0102
_SET1_   6636     12   96252709   96260238     22       6  1000       2.3644    0.0079355    -4.506e-06       2.3644
_SET1_   23325    12  105501492  105562912    115      11  1000       0.5288      0.27393    -4.506e-06       0.5288
_SET1_   11137    12  108079590  108106257     69       9  1000     -0.55491      0.68639    -4.506e-06     -0.55491
_SET1_   9815     12  110367607  110434194     91       9  1000     -0.19468      0.55866    -4.506e-06     -0.19468
_SET1_   10094    12  110872695  110888222     21       3  1000       1.4216     0.068489    -4.506e-06       1.4216
_SET1_   8683     12  120899471  120907558     20       6  1000     -0.33186      0.60947    -4.506e-06     -0.33186
_SET1_   51433    12  121746048  121792012     63      10  1000      0.88337      0.18019    -4.506e-06      0.88337
_SET1_   9026     12  123319045  123347508     72       6  1000     -0.52194      0.67622    -4.506e-06     -0.52193
_SET1_   23141    12  133302254  133338451    121      19  1000      0.82044      0.19486    -4.506e-06      0.82045
