# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_DN (set)
# _SET1_  NGENES = 46
# _SET1_  P-VALUE = 7.44161e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   126626     1  151042784  151091007     80       8  1000      -0.1108      0.52688   -4.4182e-06      -0.1108
_SET1_   57127      1  156338980  156355013     49       9  1000      0.19293      0.40393   -4.4182e-06      0.19293
_SET1_   28951      2   12856998   12882860     52       8  1000       1.2078      0.10316   -4.4182e-06       1.2078
_SET1_   8884       2   27422455   27435175     16       3  1000       1.6229     0.048226   -4.4182e-06       1.6229
_SET1_   151126     2  180306709  180726232   1175      80  1000       1.3942     0.086511   -4.4182e-06       1.3942
_SET1_   116255     2  223536457  223575005     96      15  1000    -0.073424      0.50943   -4.4182e-06    -0.073419
_SET1_   92370      3  140950682  141013486    198      19  1000    -0.066553      0.51057   -4.4182e-06    -0.066548
_SET1_   4311       3  154797436  154901518    179      35  1000      0.63683      0.25401   -4.4182e-06      0.63684
_SET1_   441027     4   83404329   83483595    146      26  1000     0.030077      0.47727   -4.4182e-06     0.030081
_SET1_   23600      5   33987091   34008220     55       9  1000      0.39096      0.33089   -4.4182e-06      0.39096
_SET1_   11082      5   54273695   54281414     14       2  1000       0.5527      0.27276   -4.4182e-06       0.5527
_SET1_   26049      5   74073399   74163832    149       8  1000       1.1569      0.11362   -4.4182e-06       1.1569
_SET1_   7025       5   92919043   92930319      4       1  1000     -0.27073      0.59503   -4.4182e-06     -0.27073
_SET1_   57451      5  166406083  167691162   1926     178  1000      0.74529      0.25419   -4.4182e-06      0.74529
_SET1_   153579     5  180467203  180488523     51       7  1000      0.51113      0.28431   -4.4182e-06      0.51113
_SET1_   117247     6  111408728  111544608    199      17  1000     -0.83771      0.78626   -4.4182e-06     -0.83771
_SET1_   80129      6  151815175  151942328    491      37  1000      0.14802      0.43484   -4.4182e-06      0.14803
_SET1_   2887       7   50657760   50861159    572      25  1000      0.24267      0.38999   -4.4182e-06      0.24267
_SET1_   51085      7   73007524   73038903     45       5  1000     -0.37658      0.62908   -4.4182e-06     -0.37658
_SET1_   155066     7  149570053  149577787     34       3  1000      -0.2237      0.56283   -4.4182e-06     -0.22369
_SET1_   157285     8    8175258    8243941    200      22  1000       2.5318    0.0050448   -4.4182e-06       2.5318
_SET1_   8555       9   99252807   99382112    144      14  1000      0.57468      0.27259   -4.4182e-06      0.57468
_SET1_   84263      9  115142189  115234685    253      12  1000     -0.54862      0.69048   -4.4182e-06     -0.54861
_SET1_   1759       9  130965634  131017528     99      15  1000      0.65075      0.24428   -4.4182e-06      0.65075
_SET1_   84457     10   60936348   61007815     95       6  1000     0.086473      0.45095   -4.4182e-06     0.086478
_SET1_   159195    10   75257296   75335433     79       6  1000      -1.4522      0.92278   -4.4182e-06      -1.4522
_SET1_   3481      11    2150346    2179611     66      14  1000       -1.017      0.83401   -4.4182e-06       -1.017
_SET1_   220001    11   61025758   61062788     31       5  1000      0.52611      0.29123   -4.4182e-06      0.52612
_SET1_   3992      11   61567097   61584529     19       2  1000     -0.60954      0.70894   -4.4182e-06     -0.60953
_SET1_   23086     11  108376158  108464492    181      23  1000     -0.43124      0.65228   -4.4182e-06     -0.43123
_SET1_   8549      12   71832931   71980090    409      26  1000      0.45115      0.31681   -4.4182e-06      0.45115
_SET1_   55504     13   24144509   24250244    279      24  1000      0.17409      0.41475   -4.4182e-06      0.17409
_SET1_   4752      13   52706779   52733996     37       3  1000      0.30851      0.35501   -4.4182e-06      0.30852
_SET1_   23002     14   59655329   59838123    344      22  1000        1.475     0.064456   -4.4182e-06        1.475
_SET1_   1152      14  103985995  103989196      5       2  1000     -0.37859      0.62758   -4.4182e-06     -0.37858
_SET1_   54822     15   50849351   50979012    321      11  1000       1.3987     0.072365   -4.4182e-06       1.3987
_SET1_   85407     16   50582241   50674771     84       9  1000      -0.3041      0.60581   -4.4182e-06      -0.3041
_SET1_   162515    17    6944949    6947242      7       2  1000       1.5755     0.055489   -4.4182e-06       1.5755
_SET1_   284058    17   44107282   44302740    613       6  1000      0.59936       0.2548   -4.4182e-06      0.59936
_SET1_   3131      17   53342321   53402426    106      20  1000      0.81621      0.19591   -4.4182e-06      0.81621
_SET1_   51        17   73937588   73975515     96      13  1000      0.21697      0.39975   -4.4182e-06      0.21698
_SET1_   79058     17   79935426   79975282     45       7  1000      0.73703       0.2169   -4.4182e-06      0.73703
_SET1_   9480      18   55102917   55158530    192      21  1000     -0.67209      0.73927   -4.4182e-06     -0.67209
_SET1_   54675     20    5986739    6020699     68       8  1000      0.45307      0.30681   -4.4182e-06      0.45308
_SET1_   64849     20   45186462   45313124    241      45  1000      -1.1503      0.87154   -4.4182e-06      -1.1503
_SET1_   84133     22   29279755   29453476    239      22  1000      -1.6649      0.94734   -4.4182e-06      -1.6649
