# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE (set)
# _SET1_  NGENES = 37
# _SET1_  P-VALUE = 5.93971e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   4595       1   45794914   45806142     11       4  1000     -0.30042      0.61602   -1.0256e-06     -0.30042
_SET1_   8290       1  228612546  228613026      1       1  1000        1.278      0.09986   -1.0256e-06        1.278
_SET1_   4968       3    9791628    9829468     51       6  1000      -0.3535      0.63504   -1.0256e-06      -0.3535
_SET1_   3015       4  100869242  100871512      4       1  1000     0.020801      0.48801   -1.0256e-06     0.020802
_SET1_   55247      4  178230991  178284092    147      26  1000     -0.72012      0.76822   -1.0256e-06     -0.72012
_SET1_   255626     6   25727137   25727573      4       1  1000    -0.014087      0.50225   -1.0256e-06    -0.014086
_SET1_   8359       6   26021907   26022278      1       1  1000      0.52794       0.2965   -1.0256e-06      0.52794
_SET1_   8366       6   26027124   26027480      2       1  1000     -0.93465      0.82432   -1.0256e-06     -0.93465
_SET1_   8335       6   26033320   26033796      2       1  1000       1.5719     0.057505   -1.0256e-06       1.5719
_SET1_   8364       6   26104176   26104565      2       1  1000       1.0196      0.15315   -1.0256e-06       1.0196
_SET1_   8347       6   26113389   26124266     23       4  1000      0.38642      0.34714   -1.0256e-06      0.38643
_SET1_   8334       6   26124370   26139337     42       7  1000      0.36963      0.35415   -1.0256e-06      0.36963
_SET1_   3017       6   26157419   26171577     13       3  1000      0.34702      0.36098   -1.0256e-06      0.34702
_SET1_   8344       6   26184024   26184458      2       1  1000      -1.3847      0.91617   -1.0256e-06      -1.3847
_SET1_   3013       6   26199012   26199521      3       1  1000      0.25713      0.39135   -1.0256e-06      0.25713
_SET1_   8343       6   26199787   26200216      2       1  1000     -0.45055      0.67273   -1.0256e-06     -0.45055
_SET1_   8367       6   26204873   26205249      1       1  1000       1.3941     0.079071   -1.0256e-06       1.3941
_SET1_   8339       6   26216428   26216872      2       1  1000      0.82133      0.20181   -1.0256e-06      0.82133
_SET1_   8361       6   26240654   26241021      1       1  1000       1.0305       0.1462   -1.0256e-06       1.0305
_SET1_   8365       6   26281278   26285844     10       3  1000  -0.00097206       0.4987   -1.0256e-06  -0.00097103
_SET1_   8970       6   27093912   27100743      3       1  1000      0.66664      0.25009   -1.0256e-06      0.66664
_SET1_   85236      6   27106072   27114637      3       1  1000     -0.18703      0.57001   -1.0256e-06     -0.18703
_SET1_   8294       6   27106924   27108258      1       1  1000      0.38952       0.3377   -1.0256e-06      0.38952
_SET1_   8340       6   27775257   27775709      2       1  1000      -1.6742      0.95174   -1.0256e-06      -1.6742
_SET1_   8341       6   27805544   27821533     19       3  1000      0.20659      0.41316   -1.0256e-06      0.20659
_SET1_   8348       6   27861203   27926100      4       1  1000      -1.0948      0.85247   -1.0256e-06      -1.0948
_SET1_   94239      7   44866488   44887725     39       5  1000    0.0089096      0.49314   -1.0256e-06    0.0089106
_SET1_   25913      7  124462440  124570037    261       5  1000     -0.83078      0.79078   -1.0256e-06     -0.83077
_SET1_   7013       8   73921097   73959987     50       4  1000     -0.17611       0.5653   -1.0256e-06     -0.17611
_SET1_   3014      11  118964580  118966177      3       1  1000     0.049335      0.47816   -1.0256e-06     0.049336
_SET1_   121504    12   14920933   14924093      8       2  1000      -1.5811      0.94233   -1.0256e-06      -1.5811
_SET1_   55766     12   14927270   14930936      9       4  1000      0.20231      0.41899   -1.0256e-06      0.20231
_SET1_   26277     14   24703454   24712233      2       1  1000      0.99365      0.15944   -1.0256e-06      0.99365
_SET1_   4350      16     127018     135850     38       9  1000      0.19621      0.41975   -1.0256e-06      0.19621
_SET1_   65057     16   67691415   67694718      5       2  1000      0.07736      0.46632   -1.0256e-06     0.077361
_SET1_   7014      16   69389464   69419891     17       2  1000     -0.61779      0.72759   -1.0256e-06     -0.61779
_SET1_   54386     16   75681602   75691340     17       4  1000     0.017773      0.48685   -1.0256e-06     0.017774
