# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_17Q11_Q21_AMPLICON (set)
# _SET1_  NGENES = 130
# _SET1_  P-VALUE = 1.42673e-06
_SET1_   GENE     CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23098     17  26698683  26728062     47       5  1000      0.17536      0.41287   -8.5684e-07      0.17536
_SET1_   113235    17  26721661  26733230     10       2  1000     -0.49087      0.67723   -8.5684e-07     -0.49087
_SET1_   9058      17  26800664  26824799     22       6  1000      0.36872      0.33872   -8.5684e-07      0.36872
_SET1_   8456      17  26833249  26865175     63       7  1000    -0.063418      0.50654   -8.5684e-07    -0.063417
_SET1_   9094      17  26873725  26879647      1       1  1000      0.66156       0.2375   -8.5684e-07      0.66156
_SET1_   94005     17  26880405  26898887      9       2  1000    -0.085407      0.51151   -8.5684e-07    -0.085406
_SET1_   10615     17  26904583  26926056      5       3  1000     -0.35303      0.61497   -8.5684e-07     -0.35303
_SET1_   124923    17  26934799  26941377      1       1  1000     -0.73107       0.7422   -8.5684e-07     -0.73107
_SET1_   9703      17  26941458  26972177     13       3  1000      0.74264      0.21014   -8.5684e-07      0.74264
_SET1_   6388      17  26975374  26989207      4       2  1000      0.39534      0.32559   -8.5684e-07      0.39534
_SET1_   6830      17  26989221  27029255     23       3  1000     -0.55753      0.68745   -8.5684e-07     -0.55753
_SET1_   147011    17  27030214  27039127      6       2  1000     -0.77685      0.76299   -8.5684e-07     -0.77685
_SET1_   83871     17  27041299  27045286      1       1  1000      -3.0809        0.999   -8.5684e-07      -3.0809
_SET1_   6147      17  27047000  27051374      3       1  1000     -0.83032       0.7662   -8.5684e-07     -0.83032
_SET1_   116238    17  27051366  27053949      3       1  1000      0.31323      0.35241   -8.5684e-07      0.31323
_SET1_   284086    17  27055822  27069784     11       3  1000      0.77415      0.20521   -8.5684e-07      0.77415
_SET1_   9618      17  27071023  27077976      5       1  1000      0.48112       0.2985   -8.5684e-07      0.48112
_SET1_   55731     17  27082996  27169857    108       4  1000      0.12037       0.4261   -8.5684e-07      0.12037
_SET1_   26284     17  27182043  27188072     12       1  1000     -0.32926       0.6041   -8.5684e-07     -0.32925
_SET1_   2319      17  27206356  27224715     19       3  1000       1.2731     0.094028   -8.5684e-07       1.2731
_SET1_   147015    17  27224799  27230089      6       2  1000     -0.10589       0.5188   -8.5684e-07     -0.10589
_SET1_   57649     17  27232264  27278622     22       3  1000      0.12951      0.42532   -8.5684e-07      0.12951
_SET1_   124925    17  27281923  27333458     46       6  1000     -0.28102      0.58989   -8.5684e-07     -0.28102
_SET1_   51268     17  27369918  27384245     15       4  1000      0.33798      0.34541   -8.5684e-07      0.33798
_SET1_   399687    17  27400528  27507432    157      12  1000    -0.028808      0.49636   -8.5684e-07    -0.028807
_SET1_   9220      17  27400539  27402627      1       1  1000       0.2989       0.3616   -8.5684e-07       0.2989
_SET1_   1411      17  27573875  27581512      9       2  1000       2.3531      0.00786   -8.5684e-07       2.3531
_SET1_   57532     17  27582854  27621166     66       8  1000       2.2175     0.011573   -8.5684e-07       2.2175
_SET1_   57551     17  27717943  27878921    239      12  1000     0.051378      0.46255   -8.5684e-07     0.051379
_SET1_   116236    17  27887679  27894042      5       3  1000       1.2256      0.10481   -8.5684e-07       1.2256
_SET1_   90313     17  27894198  27900175      6       2  1000    -0.079993      0.51627   -8.5684e-07    -0.079992
_SET1_   28964     17  27900487  27916610     16       3  1000    -0.073836       0.5152   -8.5684e-07    -0.073835
_SET1_   124930    17  27920527  27941779     13       4  1000      0.86324      0.18608   -8.5684e-07      0.86324
_SET1_   84940     17  27941774  27949926      5       1  1000       1.1612      0.11598   -8.5684e-07       1.1612
_SET1_   85464     17  27952956  28257231    271       7  1000        1.301     0.087926   -8.5684e-07        1.301
_SET1_   374786    17  28256874  28435470    185       8  1000       1.3932     0.075085   -8.5684e-07       1.3932
_SET1_   84081     17  28443821  28513493     91       5  1000       1.8601     0.028509   -8.5684e-07       1.8601
_SET1_   6532      17  28521337  28562986     56       9  1000       3.5546   0.00016603   -8.5684e-07       3.5546
_SET1_   642       17  28575213  28619184     43       5  1000       2.7632    0.0024393   -8.5684e-07       2.7633
_SET1_   388364    17  28643351  28661065     22       3  1000       1.3373     0.085216   -8.5684e-07       1.3373
_SET1_   1362      17  28705942  28796675     72       3  1000     0.029897      0.47194   -8.5684e-07     0.029897
_SET1_   9527      17  28804426  28853832     47       4  1000      0.57049      0.27187   -8.5684e-07      0.57049
_SET1_   26083     17  28884124  28890511      5       1  1000      0.11447      0.44095   -8.5684e-07      0.11447
_SET1_   4642      17  30819628  31203902    688      61  1000       2.8395    0.0021031   -8.5684e-07       2.8395
_SET1_   26022     17  31254928  31268667     29       5  1000       1.6258     0.046036   -8.5684e-07       1.6258
_SET1_   124912    17  31318882  31324895     35      14  1000        4.194    1.234e-05   -8.5684e-07        4.194
_SET1_   40        17  31340105  32483825   3232     245  1000       5.4467   5.0265e-16   -8.5684e-07       5.4467
_SET1_   6347      17  32582296  32584222      3       1  1000    -0.040924      0.49914   -8.5684e-07    -0.040923
_SET1_   6368      17  34340096  34345005     12       2  1000       2.6915    0.0028739   -8.5684e-07       2.6915
_SET1_   6362      17  34391643  34398841     14       4  1000        1.376      0.07751   -8.5684e-07        1.376
_SET1_   6348      17  34415602  34417506      5       1  1000     -0.38714      0.63098   -8.5684e-07     -0.38714
_SET1_   6351      17  34431220  34433014     12       2  1000     -0.36224      0.62258   -8.5684e-07     -0.36224
_SET1_   31        17  35441927  35766902    320      18  1000      0.95487      0.15625   -8.5684e-07      0.95487
_SET1_   284099    17  35732928  35749812     22       9  1000       1.7218     0.039814   -8.5684e-07       1.7218
_SET1_   6871      17  35766977  35839830    147      11  1000        1.444     0.068642   -8.5684e-07        1.444
