# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_DISEASES_ASSOCIATED_WITH_N_GLYCOSYLATION_OF_PROTEINS (set)
# _SET1_  NGENES = 16
# _SET1_  P-VALUE = 1.62477e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   29929      1   63833261   63904233    124      11  1000     0.048212      0.47599   -6.4769e-06     0.048219
_SET1_   199857     1   95448279   95538512    119      15  1000      0.14344      0.44169   -6.4769e-06      0.14345
_SET1_   7841       2   74688184   74692537      2       1  1000       -0.115      0.54876   -6.4769e-06       -0.115
_SET1_   91869      3   53122499   53164480     92       6  1000      0.72632      0.22765   -6.4769e-06      0.72633
_SET1_   10195      3  183960117  183967313      4       1  1000      0.76075      0.22292   -6.4769e-06      0.76075
_SET1_   2683       9   33110636   33167356    146      11  1000      0.68116      0.24355   -6.4769e-06      0.68117
_SET1_   85365      9  101978707  101984246      1       1  1000       2.2027      0.01435   -6.4769e-06       2.2027
_SET1_   11253      9  139981379  140003639     57       9  1000      0.23692      0.40303   -6.4769e-06      0.23693
_SET1_   79053     11   77811988   77850699    219       8  1000       2.5124    0.0056874   -6.4769e-06       2.5124
_SET1_   79796     11  111652919  111742305     71       6  1000      -1.5622      0.93854   -6.4769e-06      -1.5622
_SET1_   1798      11  118967213  118973124     11       3  1000       1.3081     0.094221   -6.4769e-06       1.3081
_SET1_   440138    13   52586523   52603784     18       3  1000      0.56366      0.28277   -6.4769e-06      0.56366
_SET1_   4247      14   50087460   50090199      1       1  1000      0.36936       0.3565   -6.4769e-06      0.36936
_SET1_   56052     16    5121810    5137380     52       8  1000      -1.3048      0.90218   -6.4769e-06      -1.3048
_SET1_   9526      17    7486965    7491530      5       3  1000      0.20096      0.42144   -6.4769e-06      0.20096
_SET1_   79087     22   50296852   50312106     69       6  1000    -0.077304       0.5265   -6.4769e-06    -0.077297
