# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = WAKABAYASHI_ADIPOGENESIS_PPARG_BOUND_8D (set)
# _SET1_  NGENES = 619
# _SET1_  P-VALUE = 1.74869e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   388581        1    1177826    1182102      9       2  1000      0.40101       0.3227   -4.4011e-06      0.40101
_SET1_   142678        1    1550795    1565990     29       5  1000  -0.00013548       0.4857   -4.4011e-06  -0.00013107
_SET1_   90326         1    6684925    6695646     22       3  1000       0.2752      0.37809   -4.4011e-06       0.2752
_SET1_   2023          1    8921059    8939151     26       5  1000     -0.17841      0.55425   -4.4011e-06      -0.1784
_SET1_   80176         1    9335202    9429591    287      42  1000     -0.71557      0.76346   -4.4011e-06     -0.71557
_SET1_   199953        1    9648932    9674935     29       4  1000     -0.61739      0.71359   -4.4011e-06     -0.61739
_SET1_   84328         1    9982168   10003460     35       5  1000       1.3658     0.077517   -4.4011e-06       1.3658
_SET1_   2475          1   11166588   11322614    285       6  1000      0.89766      0.16564   -4.4011e-06      0.89766
_SET1_   29914         1   11333255   11348491     14       1  1000    -0.004928      0.47343   -4.4011e-06   -0.0049236
_SET1_   842           1   15817896   15851407    104       5  1000      -1.1431       0.8646   -4.4011e-06      -1.1431
_SET1_   23341         1   15853343   15898228     81       5  1000      -1.1992      0.87609   -4.4011e-06      -1.1992
_SET1_   84196         1   22004791   22109688    142      15  1000      -1.0517      0.84461   -4.4011e-06      -1.0517
_SET1_   9923          1   22778344   22857650    101       9  1000     -0.64538      0.72796   -4.4011e-06     -0.64538
_SET1_   55721         1   32671236   32674288      5       1  1000      0.39842      0.31913   -4.4011e-06      0.39843
_SET1_   204           1   33473541   33502512     22       1  1000     -0.28363      0.59332   -4.4011e-06     -0.28363
_SET1_   113451        1   33546711   33586132     19       2  1000     -0.15389      0.54517   -4.4011e-06     -0.15389
_SET1_   26523         1   36335412   36395211     47       6  1000      0.50049      0.28091   -4.4011e-06       0.5005
_SET1_   2275          1   38462439   38471199     10       5  1000      0.26246      0.38622   -4.4011e-06      0.26246
_SET1_   6487          1   44173204   44396837    489      23  1000      0.31333      0.36388   -4.4011e-06      0.31333
_SET1_   51249         1   46153847   46160110      9       1  1000     0.048879      0.46613   -4.4011e-06     0.048883
_SET1_   23139         1   46269269   46501796    396       9  1000     -0.22305       0.5687   -4.4011e-06     -0.22305
_SET1_   11124         1   50906935   51425936    473      19  1000      0.56703      0.26942   -4.4011e-06      0.56704
_SET1_   114883        1   52082546   52254891    102       8  1000     -0.37336       0.6232   -4.4011e-06     -0.37335
_SET1_   1376          1   53662101   53679869     23       4  1000     -0.11597      0.53293   -4.4011e-06     -0.11596
_SET1_   5236          1   64058947   64125916    184      30  1000      0.19607      0.41675   -4.4011e-06      0.19608
_SET1_   79971         1   68564142   68698284    382      53  1000      0.65738      0.26023   -4.4011e-06      0.65738
_SET1_   1491          1   70876901   70905534     56      11  1000      0.14923      0.42564   -4.4011e-06      0.14923
_SET1_   2634          1   89571815   89591842     47       4  1000      0.84795      0.18626   -4.4011e-06      0.84796
_SET1_   115361        1   89646831   89664633     37       6  1000      0.52762      0.28576   -4.4011e-06      0.52762
_SET1_   163351        1   89829436   89853719     61      10  1000      0.36532      0.34271   -4.4011e-06      0.36532
_SET1_   54874         1   93913688   94020218     68       7  1000       1.0472      0.13758   -4.4011e-06       1.0472
_SET1_   2152          1   94994732   95007413     18       4  1000      0.40857      0.33053   -4.4011e-06      0.40857
_SET1_   126969        1   95285898   95360803    240      38  1000      0.27112      0.39207   -4.4011e-06      0.27113
_SET1_   25950         1   95699711   95712781     27       7  1000       1.0985      0.12776   -4.4011e-06       1.0985
_SET1_   54873         1  100111431  100160097    118      14  1000      0.38461       0.3341   -4.4011e-06      0.38461
_SET1_   55599         1  104068323  104097861     25       4  1000        0.335      0.35511   -4.4011e-06        0.335
_SET1_   55119         1  109234932  109244425      2       1  1000     -0.21339      0.57311   -4.4011e-06     -0.21339
_SET1_   127002        1  110026533  110035426      8       2  1000      -0.6392      0.72689   -4.4011e-06      -0.6392
_SET1_   2946          1  110210644  110226619     30       7  1000     -0.08611      0.52315   -4.4011e-06    -0.086106
_SET1_   2944          1  110230418  110240828     26       6  1000      0.72465      0.21976   -4.4011e-06      0.72465
_SET1_   2949          1  110254406  110260890     18       5  1000      -1.1491      0.86575   -4.4011e-06      -1.1491
_SET1_   79961         1  111728591  111747160     36      12  1000     -0.87116      0.80095   -4.4011e-06     -0.87116
_SET1_   4343          1  113217048  113243368     38       5  1000        1.018      0.14544   -4.4011e-06        1.018
_SET1_   9869          1  150898815  150937389     34       3  1000     -0.87665      0.79834   -4.4011e-06     -0.87664
_SET1_   29956         1  150937649  150947479     13       2  1000     -0.94751      0.81926   -4.4011e-06     -0.94751
_SET1_   58497         1  150980867  151008189     64      14  1000      -1.8269       0.9634   -4.4011e-06      -1.8269
_SET1_   6097          1  151778547  151804348     48       9  1000     -0.36487      0.63051   -4.4011e-06     -0.36486
_SET1_   3570          1  154377669  154441926    135      12  1000      0.62845      0.25351   -4.4011e-06      0.62845
_SET1_   51043         1  154975106  154991001     13       4  1000     -0.84312      0.79256   -4.4011e-06     -0.84311
_SET1_   9181          1  155916431  155953396     36       4  1000      0.41335      0.32142   -4.4011e-06      0.41336
_SET1_   4209          1  156433513  156470634     40       3  1000      0.10156       0.4408   -4.4011e-06      0.10156
_SET1_   912           1  158147828  158156217      7       2  1000     -0.97269      0.82528   -4.4011e-06     -0.97268
_SET1_   93183         1  159997462  160001783      3       2  1000     0.082145      0.45223   -4.4011e-06      0.08215
_SET1_   223           1  165631449  165667900    140      13  1000     -0.21806      0.57423   -4.4011e-06     -0.21806
_SET1_   9910          1  174128552  174964445   1348      15  1000      0.98607       0.1484   -4.4011e-06      0.98607
_SET1_   9068          1  178818670  178840215     17       4  1000      -1.0306      0.84061   -4.4011e-06      -1.0306
_SET1_   10092         1  183595328  183605076     44       2  1000       2.1151     0.014176   -4.4011e-06       2.1151
_SET1_   23612         1  201434607  201438299      8       4  1000       2.2723     0.010388   -4.4011e-06       2.2723
_SET1_   89796         1  201508243  201796102    415      41  1000    0.0075001      0.49616   -4.4011e-06    0.0075046
_SET1_   1118          1  203185207  203198860     32       5  1000     -0.75999      0.76519   -4.4011e-06     -0.75999
_SET1_   50486         1  209848670  209849735      3       2  1000      -0.2081      0.56556   -4.4011e-06      -0.2081
_SET1_   163859        1  226170403  226187099     10       3  1000      0.11936      0.43913   -4.4011e-06      0.11936
_SET1_   58            1  229566992  229569858      5       2  1000      0.92976      0.16916   -4.4011e-06      0.92976
_SET1_   8443          1  231376919  231413719     51       2  1000      0.55319      0.27633   -4.4011e-06      0.55319
_SET1_   10806         1  243419307  243663393    339      24  1000     -0.32092       0.6142   -4.4011e-06     -0.32092
_SET1_   79894         1  249132409  249143716     11       3  1000       1.2609     0.093209   -4.4011e-06       1.2609
_SET1_   9475          2   11319894   11484711    230      12  1000   -0.0037607        0.485   -4.4011e-06   -0.0037563
_SET1_   23175         2   11817705   11967535    367      40  1000     0.083187      0.46449   -4.4011e-06     0.083191
_SET1_   57539         2   20110024   20189884    140      13  1000      0.44402      0.31378   -4.4011e-06      0.44402
_SET1_   3030          2   26413504   26467665     90       2  1000       1.6928     0.039566   -4.4011e-06       1.6928
_SET1_   3032          2   26467616   26513333     62       5  1000        1.641      0.04505   -4.4011e-06        1.641
_SET1_   64080         2   28004266   28113223    152       8  1000     -0.60779      0.70964   -4.4011e-06     -0.60778
_SET1_   9577          2   28113482   28561768    711      37  1000     -0.98524      0.83311   -4.4011e-06     -0.98523
_SET1_   2355          2   28615704   28637516     25       4  1000     -0.63709       0.7275   -4.4011e-06     -0.63709
_SET1_   57448         2   32581735   32843966    154      14  1000       2.0767     0.017357   -4.4011e-06       2.0767
_SET1_   151393        2   38152462   38294285    398      21  1000     -0.70591      0.74993   -4.4011e-06     -0.70591
_SET1_   64225         2   38522027   38604432    249      16  1000     -0.72422      0.74907   -4.4011e-06     -0.72421
_SET1_   6654          2   39208690   39347686    248      10  1000     -0.14949      0.52912   -4.4011e-06     -0.14949
_SET1_   27436         2   42396490   42559688    391      15  1000     -0.34911      0.62087   -4.4011e-06     -0.34911
_SET1_   678           2   43449541   43453745      5       2  1000     -0.29833      0.60407   -4.4011e-06     -0.29832
_SET1_   5581          2   45878454   46415129   1547     152  1000      0.72902      0.26425   -4.4011e-06      0.72903
_SET1_   57217         2   47168313   47303275    441      41  1000        -1.52      0.93503   -4.4011e-06        -1.52
_SET1_   6711          2   54683454   54898583    521      20  1000     -0.72819      0.75429   -4.4011e-06     -0.72819
_SET1_   112942        2   55746740   55772216     48       8  1000      -1.7302      0.95405   -4.4011e-06      -1.7302
_SET1_   57223         2   55774428   55844860    142      13  1000      -1.4275      0.91748   -4.4011e-06      -1.4275
_SET1_   55577         2   71295408   71305998     32       9  1000      0.75297       0.2124   -4.4011e-06      0.75297
_SET1_   8291          2   71680347   71913895    590      72  1000       2.4349    0.0082702   -4.4011e-06       2.4349
_SET1_   22934         2   88991176   89050452    107       5  1000      0.15336      0.41217   -4.4011e-06      0.15336
_SET1_   64969         2   95752952   95787754      6       2  1000       1.4262     0.072212   -4.4011e-06       1.4262
_SET1_   7549          2   95831165   95850065      8       1  1000       1.1996      0.10722   -4.4011e-06       1.1996
_SET1_   56910         2   96850597   96874573     26       5  1000      0.17255      0.41121   -4.4011e-06      0.17255
_SET1_   3987          2  109150811  109303702    302      11  1000       1.0764        0.131   -4.4011e-06       1.0764
_SET1_   2995          2  127413426  127454251    140      21  1000      0.18156      0.42018   -4.4011e-06      0.18157
_SET1_   55660         2  153508107  153574628    114      10  1000     -0.86273      0.79294   -4.4011e-06     -0.86272
_SET1_   151188        2  153574407  153617767     74      10  1000     -0.68843      0.74041   -4.4011e-06     -0.68842
_SET1_   83879         2  174219561  174233718     38       7  1000     -0.51123       0.6807   -4.4011e-06     -0.51123
_SET1_   6670          2  174771187  174830430    104      12  1000     -0.84101      0.78841   -4.4011e-06     -0.84101
_SET1_   4780          2  178095031  178129859     36       5  1000    -0.087102      0.52002   -4.4011e-06    -0.087098
_SET1_   51661         2  179328391  179343646     12       2  1000      -0.5029      0.67497   -4.4011e-06      -0.5029
_SET1_   285025        2  179694484  179914841    467      42  1000    -0.095879      0.53649   -4.4011e-06    -0.095875
_SET1_   3329          2  198351308  198364998     14       3  1000     -0.16644      0.55255   -4.4011e-06     -0.16644
_SET1_   3336          2  198364721  198368187      3       2  1000     -0.79627      0.77695   -4.4011e-06     -0.79627
_SET1_   151246        2  201390865  201448818    105      12  1000      -1.2912      0.89462   -4.4011e-06      -1.2912
_SET1_   22807         2  213864408  214016379    317      19  1000      0.27158      0.38035   -4.4011e-06      0.27158
_SET1_   3549          2  219919142  219925238     11       2  1000    -0.094583      0.52152   -4.4011e-06    -0.094579
_SET1_   79840         2  219940046  220025587    142       8  1000     -0.31723      0.60606   -4.4011e-06     -0.31723
_SET1_   10290         2  220299552  220358354     70      10  1000      0.40184      0.33214   -4.4011e-06      0.40184
_SET1_   130560        2  231860839  231884572    141      10  1000      -0.9575      0.82083   -4.4011e-06     -0.95749
_SET1_   130916        2  242026509  242041747     40       7  1000      0.45509      0.30469   -4.4011e-06      0.45509
_SET1_   78987         3    9975478    9987097     19       2  1000     -0.18065      0.55208   -4.4011e-06     -0.18065
_SET1_   131474        3   14153577   14166371     23       6  1000       1.1479      0.11859   -4.4011e-06       1.1479
_SET1_   79188         3   14166440   14185180     30       7  1000       1.3816     0.077813   -4.4011e-06       1.3817
_SET1_   54995         3   25831563   25836025      4       1  1000     -0.21837       0.5704   -4.4011e-06     -0.21837
_SET1_   64343         3   28363844   28390915     22       5  1000     -0.76139      0.76584   -4.4011e-06     -0.76139
_SET1_   2720          3   33038100   33138694    344      30  1000     -0.69486      0.74711   -4.4011e-06     -0.69485
_SET1_   259173        3   46710485   46735194     59       8  1000      -1.0085      0.83505   -4.4011e-06      -1.0085
_SET1_   259236        3   46742823   46752413     24       6  1000     -0.83059      0.78485   -4.4011e-06     -0.83059
_SET1_   51246         3   48509197   48542259     38       4  1000     -0.83796      0.78226   -4.4011e-06     -0.83796
_SET1_   11180         3   49044637   49053386      4       1  1000     -0.11887      0.53621   -4.4011e-06     -0.11886
_SET1_   11334         3   50362341   50365668      1       1  1000      0.64689       0.2204   -4.4011e-06      0.64689
_SET1_   211           3   52232099   52248343     14       2  1000    -0.073642      0.51765   -4.4011e-06    -0.073637
_SET1_   80335         3   52288438   52312659     22       3  1000      0.34307       0.3487   -4.4011e-06      0.34307
