# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_DN (set)
# _SET1_  NGENES = 53
# _SET1_  P-VALUE = 1.8458e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3925          1   26210670   26233368     22       3  1000     -0.52592      0.68268   -7.8678e-06     -0.52591
_SET1_   284654        1   38076821   38100595     38       7  1000       1.4628     0.065893   -7.8678e-06       1.4628
_SET1_   284716        1   42846468   42889900    134       8  1000       1.2546     0.092869   -7.8678e-06       1.2546
_SET1_   1996          1   50513686   50669442    145      22  1000      0.15576      0.42732   -7.8678e-06      0.15577
_SET1_   5396          1  170633313  170708541     74      13  1000      0.71476      0.22448   -7.8678e-06      0.71477
_SET1_   116372        2  133402337  133429070     67       5  1000      0.40932      0.31712   -7.8678e-06      0.40933
_SET1_   7277          2  220114433  220119330      5       1  1000     0.030563      0.48482   -7.8678e-06     0.030571
_SET1_   1295          3   99357440   99518061    272      21  1000     -0.22253      0.57068   -7.8678e-06     -0.22252
_SET1_   29114         3  111717586  111732735     70      14  1000      0.48964      0.29881   -7.8678e-06      0.48965
_SET1_   2596          3  115342151  115440334    225      43  1000      0.96621      0.16985   -7.8678e-06      0.96621
_SET1_   10417         4    1160720    1202750     88      17  1000      0.17434      0.42015   -7.8678e-06      0.17434
_SET1_   1400          4    5822491    5894785    194      32  1000      0.72684      0.22956   -7.8678e-06      0.72685
_SET1_   3166          4    8847803    8873543     55      11  1000     -0.68444      0.74129   -7.8678e-06     -0.68444
_SET1_   10409         5   17216932   17276954     78      14  1000     -0.39198      0.63744   -7.8678e-06     -0.39197
_SET1_   8507          5   73923231   73937249     23       4  1000      0.21944      0.39765   -7.8678e-06      0.21945
_SET1_   167410        5   96427574   96478520     48       5  1000       2.0337     0.018266   -7.8678e-06       2.0337
_SET1_   7045          5  135364584  135399507     67       5  1000       1.8534     0.027469   -7.8678e-06       1.8534
