# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SCHLOSSER_MYC_AND_SERUM_RESPONSE_SYNERGY (set)
# _SET1_  NGENES = 32
# _SET1_  P-VALUE = 2.05465e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6723      1   11114649   11120091      7       2  1000       1.9192     0.024109   -5.4434e-06       1.9192
_SET1_   4725      1   39491967   39500308     34       5  1000      0.89302      0.17515   -5.4434e-06      0.89303
_SET1_   10067     1  155225770  155232176      7       1  1000     -0.65143       0.7143   -5.4434e-06     -0.65143
_SET1_   8407      1  159887897  159895332     10       3  1000      0.18918      0.40103   -5.4434e-06      0.18919
_SET1_   9887      1  183441506  183523328     69       9  1000     -0.41812      0.65033   -5.4434e-06     -0.41812
_SET1_   92703     1  202976520  202993976     22       3  1000      0.75773      0.20599   -5.4434e-06      0.75774
_SET1_   22796     1  230778202  230829731    152      22  1000      0.35924      0.35913   -5.4434e-06      0.35924
_SET1_   55752     4   77870895   77961307    189      13  1000     -0.29039      0.60317   -5.4434e-06     -0.29039
_SET1_   23367     5  154062224  154197167    119      12  1000      0.20967         0.41   -5.4434e-06      0.20968
_SET1_   2356      9  130565137  130576799     17       4  1000      0.81358      0.19525   -5.4434e-06      0.81358
_SET1_   7570     10   45496273   45500777      9       2  1000    0.0037247      0.47309   -5.4434e-06    0.0037302
_SET1_   23401    10   99092254   99094458      3       2  1000    -0.072299      0.50441   -5.4434e-06    -0.072293
_SET1_   23647    11    6495913    6502709      4       2  1000       0.3915      0.32076   -5.4434e-06       0.3915
_SET1_   11007    11   65657875   65659106      1       1  1000      0.80396       0.2081   -5.4434e-06      0.80397
_SET1_   10988    12   95867822   95909615    101      10  1000     0.046754      0.47246   -5.4434e-06     0.046759
_SET1_   9112     14  105886186  105937066     54      11  1000      0.69845      0.23957   -5.4434e-06      0.69845
_SET1_   4833     16     446752     450754     21       3  1000     0.088531      0.44108   -5.4434e-06     0.088537
_SET1_   55794    16   68055177   68057770      1       1  1000     0.044496       0.4526   -5.4434e-06     0.044501
_SET1_   1973     17    7476024    7482324     14       4  1000      0.83819      0.18884   -5.4434e-06       0.8382
_SET1_   6182     17   79670400   79674556     15       4  1000       1.5208      0.05894   -5.4434e-06       1.5208
_SET1_   5831     17   79890260   79895203      3       1  1000       3.1383   0.00078095   -5.4434e-06       3.1383
_SET1_   55658    19     647526     663313     38      13  1000     -0.32192      0.62125   -5.4434e-06     -0.32191
_SET1_   6449     19    2754711    2783363     69       4  1000      0.92694      0.16398   -5.4434e-06      0.92695
_SET1_   56926    19    3185875    3209573     87       7  1000      -1.0272      0.83696   -5.4434e-06      -1.0272
_SET1_   8570     19    6413115    6424822      8       2  1000       0.7161       0.2148   -5.4434e-06      0.71611
_SET1_   2193     19   13033284   13044558     11       2  1000       0.9194      0.16155   -5.4434e-06       0.9194
_SET1_   93436    19   19144387   19168987     26       3  1000      -1.4177      0.91369   -5.4434e-06      -1.4177
_SET1_   5438     19   36604611   36606206      2       1  1000       1.0151      0.13461   -5.4434e-06       1.0151
_SET1_   6183     19   39421348   39423660      7       1  1000      -0.4107      0.63791   -5.4434e-06     -0.41069
_SET1_   6626     19   41256725   41271297     26       7  1000      -0.6513      0.73122   -5.4434e-06     -0.65129
_SET1_   10452    19   45394477   45406946     29       5  1000      0.73415      0.21596   -5.4434e-06      0.73415
_SET1_   3985     22   31608225   31676066    109      14  1000      0.70569      0.23572   -5.4434e-06      0.70569

# _SET2_  VARIABLE = RIGGINS_TAMOXIFEN_RESISTANCE_UP (set)
# _SET2_  NGENES = 56
# _SET2_  P-VALUE = 3.1103e-07
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   54361      1   22443798   22470474     54       8  1000     -0.63845      0.72795   -5.4434e-06     -0.63844
