# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SMID_BREAST_CANCER_RELAPSE_IN_BONE_DN (set)
# _SET1_  NGENES = 280
# _SET1_  P-VALUE = 5.2876e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2023       1    8921059    8939151     26       5  1000      -1.2836      0.89169   -4.6197e-06      -1.2836
_SET1_   10630      1   13910252   13944452     86      20  1000     -0.35526      0.62154   -4.6197e-06     -0.35526
_SET1_   11240      1   17393256   17445948    212      10  1000     -0.71784      0.73743   -4.6197e-06     -0.71784
_SET1_   81569      1   18081808   18153558    172      17  1000       1.1066      0.12079   -4.6197e-06       1.1067
_SET1_   25932      1   25071760   25170815     63       3  1000      -1.0558      0.83762   -4.6197e-06      -1.0558
_SET1_   864        1   25226002   25291648    109      20  1000     -0.19887       0.5587   -4.6197e-06     -0.19887
_SET1_   1043       1   26644411   26647014     12       3  1000     -0.29079      0.59994   -4.6197e-06     -0.29078
_SET1_   27293      1   28261456   28285663     66       9  1000       1.8937     0.025266   -4.6197e-06       1.8937
_SET1_   2707       1   35246790   35251967     12       4  1000      -1.3292      0.90214   -4.6197e-06      -1.3292
_SET1_   4802       1   41157242   41237275    142       9  1000     -0.22978        0.562   -4.6197e-06     -0.22977
_SET1_   4904       1   43148060   43168024     20       5  1000    -0.033742      0.49575   -4.6197e-06    -0.033737
_SET1_   5792       1   43991708   44089343    213      15  1000     -0.17509      0.54063   -4.6197e-06     -0.17509
_SET1_   10158      1   47649261   47655771     14       5  1000    -0.074426       0.5178   -4.6197e-06    -0.074421
_SET1_   3595       1   67773047   67862583    193      14  1000       2.5183    0.0047949   -4.6197e-06       2.5183
_SET1_   11080      1   78444847   78483648     50      10  1000     -0.35126      0.62004   -4.6197e-06     -0.35125
_SET1_   5737       1   78956728   79006386    117      12  1000      -1.5683      0.93379   -4.6197e-06      -1.5683
