# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_DIGESTION_AND_ABSORPTION (set)
# _SET1_  NGENES = 26
# _SET1_  P-VALUE = 8.66088e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6518       1    9097005    9131763     94      12  1000       1.1349      0.12015   -2.9667e-06       1.1349
_SET1_   6248       1   15986364   15988217      1       1  1000       1.2052       0.1128   -2.9667e-06       1.2052
_SET1_   2981       1   42619092   42621495      4       2  1000       1.5439     0.059045   -2.9667e-06       1.5439
_SET1_   2980       1   42628362   42630395      2       1  1000      0.84662      0.19365   -2.9667e-06      0.84662
_SET1_   280        1  104095894  104122156     18       5  1000       1.0292      0.14517   -2.9667e-06       1.0292
_SET1_   279        1  104159999  104168400      1       1  1000     -0.13963       0.5527   -2.9667e-06     -0.13962
_SET1_   276        1  104193695  104207174      3       1  1000       1.7836      0.03529   -2.9667e-06       1.7836
_SET1_   278        1  104287833  104301312      1       1  1000     -0.64696       0.7389   -2.9667e-06     -0.64696
_SET1_   27159      1  111833474  111863188    180      16  1000       1.6927     0.040958   -2.9667e-06       1.6927
_SET1_   1118       1  203185207  203198860     32       5  1000       1.1505      0.11711   -2.9667e-06       1.1505
_SET1_   3938       2  136545415  136594750     98       8  1000       1.0136      0.14336   -2.9667e-06       1.0136
_SET1_   248        2  233320833  233325455      9       2  1000       1.5873     0.052635   -2.9667e-06       1.5873
_SET1_   6476       3  164696686  164796283    174       8  1000      0.22525      0.38491   -2.9667e-06      0.22525
_SET1_   6514       3  170714137  170744768     58       3  1000       1.0371      0.13625   -2.9667e-06       1.0371
_SET1_   1208       6   35762759   35765121      7       2  1000       1.0932        0.131   -2.9667e-06       1.0932
_SET1_   29881      7   44552134   44580914     40       5  1000     -0.76804      0.76578   -2.9667e-06     -0.76804
_SET1_   8972       7  141695676  141806547    422      48  1000     -0.56698      0.70914   -2.9667e-06     -0.56697
_SET1_   1056       9  135936741  135947250      3       1  1000     -0.13979      0.54568   -2.9667e-06     -0.13979
_SET1_   8513      10   90424146   90438572     25       6  1000     -0.76318      0.76819   -2.9667e-06     -0.76317
_SET1_   119548    10  118187424  118237469    131      15  1000     -0.47573      0.66803   -2.9667e-06     -0.47573
_SET1_   5406      10  118305428  118327367     21       3  1000     -0.48166      0.67034   -2.9667e-06     -0.48165
_SET1_   5407      10  118350478  118368687     54      11  1000    -0.056748       0.5108   -2.9667e-06    -0.056745
_SET1_   5408      10  118380465  118404654     86      10  1000     0.079893      0.45117   -2.9667e-06     0.079896
_SET1_   11181     11  118528942  118550381     37       3  1000       1.1924      0.10675   -2.9667e-06       1.1924
_SET1_   2984      12   14765566   14849519     97      13  1000     -0.27025      0.59197   -2.9667e-06     -0.27025
_SET1_   6523      22   32439019   32509016     43       8  1000       2.6343    0.0038158   -2.9667e-06       2.6343
