# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = VANDESLUIS_COMMD1_TARGETS_GROUP_3_DN (set)
# _SET1_  NGENES = 34
# _SET1_  P-VALUE = 4.5803e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   4237       1   17300997   17308081     14       3  1000      0.57723      0.26074    -7.672e-06      0.57723
_SET1_   7412       1  101185196  101204601     30      13  1000      0.98726      0.15744    -7.672e-06      0.98726
_SET1_   1382       1  156669398  156675608      9       3  1000     -0.78417      0.77419    -7.672e-06     -0.78416
_SET1_   5997       1  192778169  192781407      3       1  1000      0.20052      0.40128    -7.672e-06      0.20053
_SET1_   3238       2  176964530  176965488      2       1  1000     -0.43652       0.6541    -7.672e-06     -0.43651
_SET1_   92369      3  140770743  140867453    183      18  1000     0.059813       0.4596    -7.672e-06      0.05982
_SET1_   1356       3  148880197  148939832    127      21  1000       5.5111   1.0536e-21    -7.672e-06       5.5111
_SET1_   7345       4   41258898   41270446     30       6  1000      0.10556      0.43939    -7.672e-06      0.10557
_SET1_   133022     4  118004710  118006736      1       1  1000      0.34515       0.3604    -7.672e-06      0.34515
_SET1_   8293       5   70196490   70214357      2       1  1000      0.67195      0.23582    -7.672e-06      0.67196
_SET1_   7025       5   92919043   92930319      4       1  1000      0.14649      0.42514    -7.672e-06       0.1465
_SET1_   9315       5  111065000  111312628    485      42  1000      0.84749      0.18957    -7.672e-06       0.8475
_SET1_   7045       5  135364584  135399507     67       5  1000       -1.036      0.83078    -7.672e-06       -1.036
_SET1_   7280       6    3153900    3157783      5       2  1000      0.85829      0.18303    -7.672e-06       0.8583
_SET1_   4223       7   15650837   15726308    196      15  1000     -0.71316      0.74083    -7.672e-06     -0.71315
_SET1_   2020       7  155250824  155257526     27       7  1000    -0.085145       0.5174    -7.672e-06    -0.085138
_SET1_   10655      9    1049858    1057554     32       8  1000     0.019683      0.47576    -7.672e-06     0.019691
_SET1_   441478     9  140194083  140196703      2       1  1000       1.5496      0.05746    -7.672e-06       1.5496
_SET1_   9638      11  125315641  125366206     80      10  1000      0.77985      0.20117    -7.672e-06      0.77986
_SET1_   51266     12   10145660   10153381     32       3  1000        2.158     0.012624    -7.672e-06        2.158
_SET1_   114088    14   51441979   51562422    406      36  1000      0.89393      0.17537    -7.672e-06      0.89394
_SET1_   29106     15   51973550   52013223     66       8  1000      0.27433      0.36853    -7.672e-06      0.27434
_SET1_   9543      15   65619465   65670378     85      15  1000      0.36458      0.34311    -7.672e-06      0.36459
_SET1_   1381      15   78632666   78640572     12       3  1000      -1.0049       0.8307    -7.672e-06      -1.0049
_SET1_   374659    15   91474148   91475792      3       1  1000      0.35556       0.3439    -7.672e-06      0.35557
_SET1_   10232     16     810765     818865     32       8  1000       1.0435       0.1411    -7.672e-06       1.0436
_SET1_   58189     16   84328244   84363450    211      37  1000      0.24869      0.39979    -7.672e-06      0.24869
_SET1_   10381     16   89988417   90002505     52      10  1000      0.48252      0.30182    -7.672e-06      0.48253
_SET1_   4239      17   19286755   19290532      3       1  1000      0.95765      0.16133    -7.672e-06      0.95765
_SET1_   7448      17   26694298   26697373      6       2  1000     0.022676      0.47313    -7.672e-06     0.022684
_SET1_   55702     19    4247111    4269085     70       3  1000     -0.18065      0.53614    -7.672e-06     -0.18064
_SET1_   10683     19   39989557   39999121     25       3  1000       1.1245      0.11624    -7.672e-06       1.1245
_SET1_   6939      20     584637     590910     13       5  1000     -0.15206        0.545    -7.672e-06     -0.15205
_SET1_   5121      21   41239347   41301322    243      44  1000      0.44738      0.32811    -7.672e-06      0.44738
