# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_UP (set)
# _SET1_  NGENES = 76
# _SET1_  P-VALUE = 2.52771e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3399       1   23884421   23886285      8       3  1000      0.10126      0.44363   -4.0456e-06      0.10127
_SET1_   6886       1   47681962   47697938     23       4  1000       1.1269      0.11889   -4.0456e-06       1.1269
_SET1_   9829       1   65720133   65881552    374      23  1000      0.86039      0.17595   -4.0456e-06       0.8604
_SET1_   5087       1  164528597  164821067    600      84  1000      0.15919       0.4333   -4.0456e-06      0.15919
_SET1_   3075       1  196621008  196716634    208      14  1000     -0.11626      0.51768   -4.0456e-06     -0.11626
_SET1_   5664       1  227057885  227083804     84      10  1000      0.64321       0.2395   -4.0456e-06      0.64321
_SET1_   8853       2    9346894    9545812    427      25  1000      0.95758      0.15186   -4.0456e-06      0.95758
_SET1_   4436       2   47630206   47739716    196      14  1000       1.4263     0.067128   -4.0456e-06       1.4263
_SET1_   55704      2   55514978   55647057    428      17  1000     0.049197      0.44807   -4.0456e-06     0.049201
_SET1_   79843      2  225243415  225266711     47       7  1000      0.39852       0.3231   -4.0456e-06      0.39852
_SET1_   26018      3   66429221   66551446    283      30  1000      0.96801      0.15207   -4.0456e-06      0.96801
_SET1_   3355       3   87841929   88043964      7       3  1000       1.6107     0.049444   -4.0456e-06       1.6107
_SET1_   7707       3  124944513  125094198    233       8  1000       1.7031     0.037183   -4.0456e-06       1.7031
_SET1_   5352       3  145787225  145879282    215       8  1000      0.91839      0.15933   -4.0456e-06      0.91839
_SET1_   5274       3  167453432  167543357    269      17  1000       1.5391     0.053459   -4.0456e-06       1.5391
_SET1_   2122       3  168801287  169381563   1392      97  1000      0.58162      0.27653   -4.0456e-06      0.58162
_SET1_   8743       3  172223298  172241297     60       8  1000       0.3308      0.34742   -4.0456e-06      0.33081
_SET1_   8087       3  180630096  180700541     86       7  1000     -0.41813      0.63653   -4.0456e-06     -0.41813
_SET1_   8821       4  142949181  143767604   1724      70  1000      -2.1459      0.98206   -4.0456e-06      -2.1459
_SET1_   23037      5   31639345   32111038   1551     177  1000      -0.4317      0.67006   -4.0456e-06      -0.4317
_SET1_   4883       5   32710284   32791830    167      19  1000     -0.17303       0.5436   -4.0456e-06     -0.17302
_SET1_   2150       5   76114833   76131140     29       4  1000     -0.34935      0.61543   -4.0456e-06     -0.34935
_SET1_   1393       5   76248680   76265299     24       6  1000      -1.5311       0.9305   -4.0456e-06      -1.5311
_SET1_   5921       5   86564070   86687743     63       6  1000      0.74421       0.2093   -4.0456e-06      0.74421
_SET1_   4015       5  121398890  121414206     15       3  1000     -0.59734      0.70756   -4.0456e-06     -0.59733
_SET1_   8339       6   26216428   26216872      2       1  1000     -0.35855      0.62887   -4.0456e-06     -0.35854
_SET1_   7718       6   28048482   28057341     17       2  1000     -0.14829      0.53795   -4.0456e-06     -0.14829
_SET1_   3117       6   32605169   32612152    659      18  1000      -0.3478      0.60336   -4.0456e-06     -0.34779
